forecast_date;target_end_date;target;location;type;quantile;value;scenario_id
2021-01-04;2021-01-09;1 wk ahead inc death;PL;point;NA;5396,154627;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,01;5126,346896;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,025;5153,327669;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,05;5180,308442;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,1;5204,291352;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,15;5225,609493;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,2;5244,558953;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,25;5261,402917;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,3;5276,375329;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,35;5289,68414;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,4;5301,514194;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,45;5312,029798;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,5;5396,154627;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,55;5410,871413;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,6;5425,588198;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,65;5440,304983;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,7;5455,021769;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,75;5469,738554;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,8;5484,455339;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,85;5499,172125;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,9;5513,88891;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,95;5528,605695;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,975;5543,322481;forecast
2021-01-04;2021-01-09;1 wk ahead inc death;PL;quantile;0,99;5558,039266;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;point;NA;5931,45651;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,01;5634,883685;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,025;5664,540968;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,05;5691,232522;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,1;5715,254921;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,15;5736,87508;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,2;5756,333223;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,25;5773,845552;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,3;5789,606647;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,35;5803,791634;forecast
2021-01-04;2021-01-16;2 wk ahead inc death;PL;quantile;0,4;5816,558121;forecast
