"location","forecast_date","target_end_date","target","type","quantile","value","scenario_id"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.01,3609,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.025,4139,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.05,4595,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.1,5112,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.15,5465,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.2,5750,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.25,6000,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.3,6234,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.35,6451,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.4,6662,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.45,6877,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.5,7090,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.55,7314,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.6,7549,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.65,7805,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.7,8077,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.75,8391,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.8,8757,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.85,9218,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.9,9843,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.95,10914,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.975,12015,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","quantile",0.99,13548,"forecast"
"DE",2021-07-12,2021-07-17,"1 wk ahead inc case","point",NA,7090,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.01,3057,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.025,3860,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.05,4615,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.1,5600,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.15,6344,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.2,6974,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.25,7562,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.3,8113,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.35,8674,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.4,9223,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.45,9794,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.5,10388,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.55,11018,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.6,11712,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.65,12480,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.7,13357,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.75,14419,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.8,15662,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.85,17329,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.9,19740,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.95,24325,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.975,29513,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","quantile",0.99,37754,"forecast"
"DE",2021-07-12,2021-07-24,"2 wk ahead inc case","point",NA,10388,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.01,2529,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.025,3520,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.05,4582,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.1,6095,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.15,7334,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.2,8476,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.25,9587,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.3,10682,"forecast"
"DE",2021-07-12,2021-07-31,"3 wk ahead inc case","quantile",0.35,11822,"forecast"
