scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,point,NA,6308
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.01,4009
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.025,4302
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.05,4582
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.1,4933
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.15,5176
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.2,5364
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.25,5528
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.3,5713
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.35,5859
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.4,6013
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.45,6154
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.5,6308
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.55,6446
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.6,6613
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.65,6781
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.7,6959
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.75,7138
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.8,7384
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.85,7642
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.9,7977
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.95,8523
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.975,9063
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,AT,quantile,0.99,9625
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,point,NA,16220
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.01,7264
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.025,8369
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.05,9267
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.1,10535
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.15,11514
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.2,12265
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.25,12920
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.3,13603
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.35,14278
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.4,14930
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.45,15618
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.5,16220
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.55,16907
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.6,17532
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.65,18202
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.7,19071
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.75,19873
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.8,20862
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.85,22111
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.9,23844
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.95,26468
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.975,28822
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BE,quantile,0.99,31900
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,point,NA,2998
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.01,347
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.025,452
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.05,588
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.1,834
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.15,1076
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.2,1327
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.25,1582
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.3,1837
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.35,2092
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.4,2388
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.45,2691
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.5,2998
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.55,3377
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.6,3748
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.65,4160
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.7,4623
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.75,5246
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.8,5998
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.85,6929
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.9,8282
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.95,10408
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.975,12785
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,BG,quantile,0.99,15390
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,point,NA,8974
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.01,2252
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.025,2850
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.05,3411
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.1,4307
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.15,5027
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.2,5691
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.25,6265
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.3,6821
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.35,7350
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.4,7879
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.45,8388
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.5,8974
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.55,9569
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.6,10174
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.65,10848
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.7,11534
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.75,12354
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.8,13244
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.85,14498
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.9,15938
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.95,18471
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.975,21163
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CH,quantile,0.99,23812
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CY,point,NA,1825
forecast,2021-05-09,1 wk ahead inc case,2021-05-15,CY,quantile,0.01,1146
