forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.75,380,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.75,363,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.75,374,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.75,387,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.8,388,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.8,374,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.8,390,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.8,406,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.85,397,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.85,388,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.85,410,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.85,432,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.9,410,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.9,409,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.9,439,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.9,469,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.95,437,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.95,443.05,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.95,485.05,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.95,535.05,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.975,460,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.975,478,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.975,536.049999999999,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.975,597.025,Belgium
