scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,point,NA,9193
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.01,6653
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.025,7034
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.05,7403
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.1,7798
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.15,8048
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.2,8251
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.25,8426
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.3,8594
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.35,8751
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.4,8903
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.45,9049
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.5,9193
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.55,9344
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.6,9487
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.65,9652
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.7,9807
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.75,9985
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.8,10179
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.85,10402
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.9,10689
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.95,11150
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.975,11556
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,AT,quantile,0.99,11965
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,point,NA,8992
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.01,1269
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.025,1978
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.05,2580
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.1,3505
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.15,4235
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.2,4957
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.25,5590
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.3,6272
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.35,6884
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.4,7566
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.45,8238
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.5,8992
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.55,9771
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.6,10599
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.65,11520
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.7,12494
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.75,13655
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.8,14997
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.85,16667
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.9,18955
forecast,2021-08-22,1 wk ahead inc case,2021-08-28,BE,quantile,0.95,22390
