"","scenario","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"52","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.55,283,"Belgium"
"53","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.6,323,"Belgium"
"54","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.6,302,"Belgium"
"55","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.6,299,"Belgium"
"56","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.6,295,"Belgium"
"57","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.65,329,"Belgium"
"58","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.65,310,"Belgium"
"59","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.65,311,"Belgium"
"60","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.65,310,"Belgium"
"61","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.7,335,"Belgium"
"62","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.7,318,"Belgium"
"63","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.7,325,"Belgium"
"64","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.7,328,"Belgium"
"65","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.75,342,"Belgium"
"66","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.75,327,"Belgium"
"67","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.75,337,"Belgium"
"68","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.75,348,"Belgium"
"69","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.8,349,"Belgium"
