scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BG,quantile,0.75,1029
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BG,quantile,0.8,1085
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BG,quantile,0.85,1152
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BG,quantile,0.9,1236
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BG,quantile,0.95,1371
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BG,quantile,0.975,1492
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BG,quantile,0.99,1663
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,point,NA,4201
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.01,1726
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.025,2065
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.05,2365
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.1,2729
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.15,2993
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.2,3208
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.25,3395
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.3,3570
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.35,3719
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.4,3883
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.45,4034
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.5,4201
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.55,4380
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.6,4559
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.65,4737
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.7,4925
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.75,5160
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.8,5382
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.85,5699
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.9,6113
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.95,6736
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.975,7326
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CH,quantile,0.99,8232
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,point,NA,6720
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.01,4669
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.025,4970
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.05,5201
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.1,5506
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.15,5747
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.2,5925
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.25,6075
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.3,6219
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.35,6349
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.4,6476
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.45,6599
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.5,6720
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.55,6848
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.6,6958
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.65,7098
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.7,7238
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.75,7394
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.8,7579
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.85,7804
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.9,8094
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.95,8469
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.975,8852
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CY,quantile,0.99,9262
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,point,NA,886
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.01,292
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.025,362
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.05,426
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.1,497
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.15,558
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.2,615
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.25,665
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.3,710
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.35,754
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.4,799
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.45,843
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.5,886
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.55,935
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.6,983
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.65,1042
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.7,1098
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.75,1161
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.8,1244
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.85,1331
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.9,1466
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.95,1674
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.975,1849
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,CZ,quantile,0.99,2088
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,point,NA,11664
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.01,7031
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.025,7599
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.05,8158
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.1,8841
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.15,9341
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.2,9777
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.25,10103
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.3,10430
