forecast_date,target,target_end_date,location,type,quantile,value,n_models
2024-06-17,1 wk ahead inc case,2024-06-22,AT,point,NA,2,2
2024-06-17,1 wk ahead inc case,2024-06-22,BE,point,NA,206,1
2024-06-17,1 wk ahead inc case,2024-06-22,BG,point,NA,18,2
2024-06-17,1 wk ahead inc case,2024-06-22,CZ,point,NA,68,2
2024-06-17,1 wk ahead inc case,2024-06-22,DK,point,NA,25,1
2024-06-17,1 wk ahead inc case,2024-06-22,EE,point,NA,36,2
2024-06-17,1 wk ahead inc case,2024-06-22,GR,point,NA,1098,2
2024-06-17,1 wk ahead inc case,2024-06-22,HU,point,NA,12,2
2024-06-17,1 wk ahead inc case,2024-06-22,IE,point,NA,607,2
2024-06-17,1 wk ahead inc case,2024-06-22,IS,point,NA,24,2
2024-06-17,1 wk ahead inc case,2024-06-22,LI,point,NA,0,2
2024-06-17,1 wk ahead inc case,2024-06-22,LT,point,NA,80,2
2024-06-17,1 wk ahead inc case,2024-06-22,LU,point,NA,41,2
2024-06-17,1 wk ahead inc case,2024-06-22,LV,point,NA,5,1
2024-06-17,1 wk ahead inc case,2024-06-22,MT,point,NA,72,2
2024-06-17,1 wk ahead inc case,2024-06-22,NL,point,NA,58,1
2024-06-17,1 wk ahead inc case,2024-06-22,NO,point,NA,122,1
2024-06-17,1 wk ahead inc case,2024-06-22,PL,point,NA,118,2
2024-06-17,1 wk ahead inc case,2024-06-22,PT,point,NA,4252,2
2024-06-17,1 wk ahead inc case,2024-06-22,RO,point,NA,184,2
2024-06-17,1 wk ahead inc case,2024-06-22,SE,point,NA,114,2
2024-06-17,1 wk ahead inc case,2024-06-22,SI,point,NA,25,2
2024-06-17,1 wk ahead inc case,2024-06-22,SK,point,NA,7,1
2024-06-17,2 wk ahead inc case,2024-06-29,AT,point,NA,2,2
2024-06-17,2 wk ahead inc case,2024-06-29,BE,point,NA,201,1
2024-06-17,2 wk ahead inc case,2024-06-29,BG,point,NA,18,2
2024-06-17,2 wk ahead inc case,2024-06-29,CZ,point,NA,69,2
2024-06-17,2 wk ahead inc case,2024-06-29,DK,point,NA,23,1
2024-06-17,2 wk ahead inc case,2024-06-29,EE,point,NA,36,2
2024-06-17,2 wk ahead inc case,2024-06-29,GR,point,NA,1114,2
2024-06-17,2 wk ahead inc case,2024-06-29,HU,point,NA,12,2
