forecast_date,target,target_end_date,location,type,quantile,value,n_models
2023-05-01,1 wk ahead inc case,2023-05-06,AT,point,NA,4680,5
2023-05-01,1 wk ahead inc case,2023-05-06,BE,point,NA,3483,3
2023-05-01,1 wk ahead inc case,2023-05-06,BG,point,NA,1064,4
2023-05-01,1 wk ahead inc case,2023-05-06,CH,point,NA,1380,1
2023-05-01,1 wk ahead inc case,2023-05-06,CY,point,NA,774,4
2023-05-01,1 wk ahead inc case,2023-05-06,CZ,point,NA,1030,5
2023-05-01,1 wk ahead inc case,2023-05-06,DE,point,NA,9230,5
2023-05-01,1 wk ahead inc case,2023-05-06,DK,point,NA,732,5
2023-05-01,1 wk ahead inc case,2023-05-06,EE,point,NA,325,5
2023-05-01,1 wk ahead inc case,2023-05-06,ES,point,NA,7676,4
2023-05-01,1 wk ahead inc case,2023-05-06,FI,point,NA,2029,5
2023-05-01,1 wk ahead inc case,2023-05-06,FR,point,NA,45571,5
2023-05-01,1 wk ahead inc case,2023-05-06,GB,point,NA,26380,1
2023-05-01,1 wk ahead inc case,2023-05-06,GR,point,NA,8074,5
2023-05-01,1 wk ahead inc case,2023-05-06,HR,point,NA,1254,2
2023-05-01,1 wk ahead inc case,2023-05-06,HU,point,NA,652,4
2023-05-01,1 wk ahead inc case,2023-05-06,IE,point,NA,610,5
2023-05-01,1 wk ahead inc case,2023-05-06,IS,point,NA,20,4
2023-05-01,1 wk ahead inc case,2023-05-06,IT,point,NA,23423,4
2023-05-01,1 wk ahead inc case,2023-05-06,LI,point,NA,1,4
2023-05-01,1 wk ahead inc case,2023-05-06,LT,point,NA,364,4
2023-05-01,1 wk ahead inc case,2023-05-06,LU,point,NA,235,5
2023-05-01,1 wk ahead inc case,2023-05-06,LV,point,NA,182,5
2023-05-01,1 wk ahead inc case,2023-05-06,MT,point,NA,134,5
2023-05-01,1 wk ahead inc case,2023-05-06,NL,point,NA,466,4
2023-05-01,1 wk ahead inc case,2023-05-06,NO,point,NA,462,5
2023-05-01,1 wk ahead inc case,2023-05-06,PL,point,NA,1978,8
2023-05-01,1 wk ahead inc case,2023-05-06,PT,point,NA,1376,5
2023-05-01,1 wk ahead inc case,2023-05-06,RO,point,NA,4625,5
2023-05-01,1 wk ahead inc case,2023-05-06,SE,point,NA,1161,5
2023-05-01,1 wk ahead inc case,2023-05-06,SI,point,NA,410,5
2023-05-01,1 wk ahead inc case,2023-05-06,SK,point,NA,427,5
2023-05-01,2 wk ahead inc case,2023-05-13,AT,point,NA,4240,5
2023-05-01,2 wk ahead inc case,2023-05-13,BE,point,NA,3546,3
2023-05-01,2 wk ahead inc case,2023-05-13,BG,point,NA,1080,4
2023-05-01,2 wk ahead inc case,2023-05-13,CH,point,NA,1380,1
2023-05-01,2 wk ahead inc case,2023-05-13,CY,point,NA,730,4
2023-05-01,2 wk ahead inc case,2023-05-13,CZ,point,NA,930,5
2023-05-01,2 wk ahead inc case,2023-05-13,DE,point,NA,8900,5
2023-05-01,2 wk ahead inc case,2023-05-13,DK,point,NA,732,5
2023-05-01,2 wk ahead inc case,2023-05-13,EE,point,NA,319,5
2023-05-01,2 wk ahead inc case,2023-05-13,ES,point,NA,7784,4
2023-05-01,2 wk ahead inc case,2023-05-13,FI,point,NA,2080,5
2023-05-01,2 wk ahead inc case,2023-05-13,FR,point,NA,42440,5
2023-05-01,2 wk ahead inc case,2023-05-13,GB,point,NA,26380,1
2023-05-01,2 wk ahead inc case,2023-05-13,GR,point,NA,7861,5
2023-05-01,2 wk ahead inc case,2023-05-13,HR,point,NA,1302,2
2023-05-01,2 wk ahead inc case,2023-05-13,HU,point,NA,662,4
2023-05-01,2 wk ahead inc case,2023-05-13,IE,point,NA,580,5
2023-05-01,2 wk ahead inc case,2023-05-13,IS,point,NA,19,4
2023-05-01,2 wk ahead inc case,2023-05-13,IT,point,NA,22412,4
2023-05-01,2 wk ahead inc case,2023-05-13,LI,point,NA,0,4
2023-05-01,2 wk ahead inc case,2023-05-13,LT,point,NA,310,4
2023-05-01,2 wk ahead inc case,2023-05-13,LU,point,NA,241,5
2023-05-01,2 wk ahead inc case,2023-05-13,LV,point,NA,170,5
2023-05-01,2 wk ahead inc case,2023-05-13,MT,point,NA,124,5
