forecast_date,target,target_end_date,location,type,quantile,value,n_models
2023-01-02,1 wk ahead inc case,2023-01-07,AT,point,NA,24623,5
2023-01-02,1 wk ahead inc case,2023-01-07,BE,point,NA,2793,5
2023-01-02,1 wk ahead inc case,2023-01-07,BG,point,NA,779,5
2023-01-02,1 wk ahead inc case,2023-01-07,CH,point,NA,11406,5
2023-01-02,1 wk ahead inc case,2023-01-07,CY,point,NA,2470,5
2023-01-02,1 wk ahead inc case,2023-01-07,CZ,point,NA,2441,5
2023-01-02,1 wk ahead inc case,2023-01-07,DE,point,NA,179902,8
2023-01-02,1 wk ahead inc case,2023-01-07,DK,point,NA,6158,5
2023-01-02,1 wk ahead inc case,2023-01-07,EE,point,NA,626,5
2023-01-02,1 wk ahead inc case,2023-01-07,ES,point,NA,15124,5
2023-01-02,1 wk ahead inc case,2023-01-07,FI,point,NA,4723,4
2023-01-02,1 wk ahead inc case,2023-01-07,FR,point,NA,173000,5
2023-01-02,1 wk ahead inc case,2023-01-07,GB,point,NA,17038,5
2023-01-02,1 wk ahead inc case,2023-01-07,GR,point,NA,19700,5
2023-01-02,1 wk ahead inc case,2023-01-07,HR,point,NA,2090,5
2023-01-02,1 wk ahead inc case,2023-01-07,HU,point,NA,3741,4
2023-01-02,1 wk ahead inc case,2023-01-07,IE,point,NA,1314,5
2023-01-02,1 wk ahead inc case,2023-01-07,IS,point,NA,0,3
2023-01-02,1 wk ahead inc case,2023-01-07,IT,point,NA,111575,5
2023-01-02,1 wk ahead inc case,2023-01-07,LI,point,NA,51,5
2023-01-02,1 wk ahead inc case,2023-01-07,LT,point,NA,2179,5
2023-01-02,1 wk ahead inc case,2023-01-07,LU,point,NA,841,5
2023-01-02,1 wk ahead inc case,2023-01-07,LV,point,NA,1007,5
2023-01-02,1 wk ahead inc case,2023-01-07,MT,point,NA,169,5
2023-01-02,1 wk ahead inc case,2023-01-07,NL,point,NA,6548,5
2023-01-02,1 wk ahead inc case,2023-01-07,NO,point,NA,1250,5
2023-01-02,1 wk ahead inc case,2023-01-07,PL,point,NA,2986,8
2023-01-02,1 wk ahead inc case,2023-01-07,PT,point,NA,610,4
2023-01-02,1 wk ahead inc case,2023-01-07,RO,point,NA,3698,5
2023-01-02,1 wk ahead inc case,2023-01-07,SE,point,NA,11630,5
2023-01-02,1 wk ahead inc case,2023-01-07,SI,point,NA,7329,6
2023-01-02,1 wk ahead inc case,2023-01-07,SK,point,NA,1227,5
2023-01-02,2 wk ahead inc case,2023-01-14,AT,point,NA,23241,5
2023-01-02,2 wk ahead inc case,2023-01-14,BE,point,NA,2856,5
2023-01-02,2 wk ahead inc case,2023-01-14,BG,point,NA,706,5
2023-01-02,2 wk ahead inc case,2023-01-14,CH,point,NA,11244,5
2023-01-02,2 wk ahead inc case,2023-01-14,CY,point,NA,2380,5
2023-01-02,2 wk ahead inc case,2023-01-14,CZ,point,NA,2190,5
2023-01-02,2 wk ahead inc case,2023-01-14,DE,point,NA,168758,8
2023-01-02,2 wk ahead inc case,2023-01-14,DK,point,NA,5700,5
2023-01-02,2 wk ahead inc case,2023-01-14,EE,point,NA,612,5
2023-01-02,2 wk ahead inc case,2023-01-14,ES,point,NA,15300,5
2023-01-02,2 wk ahead inc case,2023-01-14,FI,point,NA,4686,4
2023-01-02,2 wk ahead inc case,2023-01-14,FR,point,NA,142000,5
2023-01-02,2 wk ahead inc case,2023-01-14,GB,point,NA,26500,5
