forecast_date,target,target_end_date,location,type,quantile,value,n_models
2023-09-11,1 wk ahead inc case,2023-09-16,AT,point,NA,825,1
2023-09-11,1 wk ahead inc case,2023-09-16,BE,point,NA,2337,4
2023-09-11,1 wk ahead inc case,2023-09-16,BG,point,NA,370,4
2023-09-11,1 wk ahead inc case,2023-09-16,CY,point,NA,1053,4
2023-09-11,1 wk ahead inc case,2023-09-16,CZ,point,NA,513,5
2023-09-11,1 wk ahead inc case,2023-09-16,DE,point,NA,1099,1
2023-09-11,1 wk ahead inc case,2023-09-16,DK,point,NA,440,2
2023-09-11,1 wk ahead inc case,2023-09-16,EE,point,NA,26,4
2023-09-11,1 wk ahead inc case,2023-09-16,ES,point,NA,1764,1
2023-09-11,1 wk ahead inc case,2023-09-16,FI,point,NA,318,3
2023-09-11,1 wk ahead inc case,2023-09-16,FR,point,NA,8794,1
2023-09-11,1 wk ahead inc case,2023-09-16,GR,point,NA,7849,5
2023-09-11,1 wk ahead inc case,2023-09-16,HR,point,NA,765,3
2023-09-11,1 wk ahead inc case,2023-09-16,HU,point,NA,332,4
2023-09-11,1 wk ahead inc case,2023-09-16,IE,point,NA,831,5
2023-09-11,1 wk ahead inc case,2023-09-16,IS,point,NA,41,4
2023-09-11,1 wk ahead inc case,2023-09-16,IT,point,NA,12680,3
2023-09-11,1 wk ahead inc case,2023-09-16,LI,point,NA,2,3
2023-09-11,1 wk ahead inc case,2023-09-16,LT,point,NA,242,4
2023-09-11,1 wk ahead inc case,2023-09-16,LU,point,NA,117,4
2023-09-11,1 wk ahead inc case,2023-09-16,LV,point,NA,32,5
2023-09-11,1 wk ahead inc case,2023-09-16,MT,point,NA,177,5
2023-09-11,1 wk ahead inc case,2023-09-16,NL,point,NA,220,4
2023-09-11,1 wk ahead inc case,2023-09-16,NO,point,NA,422,5
2023-09-11,1 wk ahead inc case,2023-09-16,PL,point,NA,388,7
2023-09-11,1 wk ahead inc case,2023-09-16,PT,point,NA,4445,5
2023-09-11,1 wk ahead inc case,2023-09-16,RO,point,NA,5417,5
2023-09-11,1 wk ahead inc case,2023-09-16,SE,point,NA,257,5
2023-09-11,1 wk ahead inc case,2023-09-16,SI,point,NA,92,5
2023-09-11,1 wk ahead inc case,2023-09-16,SK,point,NA,43,5
2023-09-11,2 wk ahead inc case,2023-09-23,AT,point,NA,825,1
2023-09-11,2 wk ahead inc case,2023-09-23,BE,point,NA,2502,4
2023-09-11,2 wk ahead inc case,2023-09-23,BG,point,NA,370,4
2023-09-11,2 wk ahead inc case,2023-09-23,CY,point,NA,976,4
2023-09-11,2 wk ahead inc case,2023-09-23,CZ,point,NA,533,5
2023-09-11,2 wk ahead inc case,2023-09-23,DE,point,NA,1099,1
2023-09-11,2 wk ahead inc case,2023-09-23,DK,point,NA,552,2
2023-09-11,2 wk ahead inc case,2023-09-23,EE,point,NA,26,4
2023-09-11,2 wk ahead inc case,2023-09-23,ES,point,NA,1764,1
2023-09-11,2 wk ahead inc case,2023-09-23,FI,point,NA,347,3
2023-09-11,2 wk ahead inc case,2023-09-23,FR,point,NA,8794,1
2023-09-11,2 wk ahead inc case,2023-09-23,GR,point,NA,8050,5
2023-09-11,2 wk ahead inc case,2023-09-23,HR,point,NA,871,3
2023-09-11,2 wk ahead inc case,2023-09-23,HU,point,NA,373,4
2023-09-11,2 wk ahead inc case,2023-09-23,IE,point,NA,843,5
2023-09-11,2 wk ahead inc case,2023-09-23,IS,point,NA,42,4
2023-09-11,2 wk ahead inc case,2023-09-23,IT,point,NA,12680,3
2023-09-11,2 wk ahead inc case,2023-09-23,LI,point,NA,2,3
2023-09-11,2 wk ahead inc case,2023-09-23,LT,point,NA,238,4
2023-09-11,2 wk ahead inc case,2023-09-23,LU,point,NA,114,4
2023-09-11,2 wk ahead inc case,2023-09-23,LV,point,NA,32,5
2023-09-11,2 wk ahead inc case,2023-09-23,MT,point,NA,180,5
2023-09-11,2 wk ahead inc case,2023-09-23,NL,point,NA,220,4
2023-09-11,2 wk ahead inc case,2023-09-23,NO,point,NA,426,5
