forecast_date,target,target_end_date,location,type,quantile,value,n_models
2023-11-13,1 wk ahead inc case,2023-11-18,AT,point,NA,825,3
2023-11-13,1 wk ahead inc case,2023-11-18,BE,point,NA,1677,5
2023-11-13,1 wk ahead inc case,2023-11-18,BG,point,NA,1861,6
2023-11-13,1 wk ahead inc case,2023-11-18,CY,point,NA,1205,5
2023-11-13,1 wk ahead inc case,2023-11-18,CZ,point,NA,5182,6
2023-11-13,1 wk ahead inc case,2023-11-18,DE,point,NA,1099,3
2023-11-13,1 wk ahead inc case,2023-11-18,DK,point,NA,1752,4
2023-11-13,1 wk ahead inc case,2023-11-18,EE,point,NA,541,5
2023-11-13,1 wk ahead inc case,2023-11-18,ES,point,NA,5874,3
2023-11-13,1 wk ahead inc case,2023-11-18,FI,point,NA,554,5
2023-11-13,1 wk ahead inc case,2023-11-18,FR,point,NA,8794,3
2023-11-13,1 wk ahead inc case,2023-11-18,GR,point,NA,9449,6
2023-11-13,1 wk ahead inc case,2023-11-18,HR,point,NA,2100,5
2023-11-13,1 wk ahead inc case,2023-11-18,HU,point,NA,1191,5
2023-11-13,1 wk ahead inc case,2023-11-18,IE,point,NA,414,6
2023-11-13,1 wk ahead inc case,2023-11-18,IS,point,NA,47,5
2023-11-13,1 wk ahead inc case,2023-11-18,IT,point,NA,43516,5
2023-11-13,1 wk ahead inc case,2023-11-18,LI,point,NA,2,3
2023-11-13,1 wk ahead inc case,2023-11-18,LT,point,NA,1205,5
2023-11-13,1 wk ahead inc case,2023-11-18,LU,point,NA,171,5
2023-11-13,1 wk ahead inc case,2023-11-18,LV,point,NA,162,6
2023-11-13,1 wk ahead inc case,2023-11-18,MT,point,NA,30,6
2023-11-13,1 wk ahead inc case,2023-11-18,NL,point,NA,346,5
2023-11-13,1 wk ahead inc case,2023-11-18,NO,point,NA,835,5
2023-11-13,1 wk ahead inc case,2023-11-18,PL,point,NA,5288,8
2023-11-13,1 wk ahead inc case,2023-11-18,PT,point,NA,794,6
2023-11-13,1 wk ahead inc case,2023-11-18,RO,point,NA,2231,6
2023-11-13,1 wk ahead inc case,2023-11-18,SE,point,NA,3642,6
2023-11-13,1 wk ahead inc case,2023-11-18,SI,point,NA,612,6
2023-11-13,1 wk ahead inc case,2023-11-18,SK,point,NA,642,6
2023-11-13,2 wk ahead inc case,2023-11-25,AT,point,NA,825,3
2023-11-13,2 wk ahead inc case,2023-11-25,BE,point,NA,1677,5
