forecast_date,target,target_end_date,location,type,quantile,value,n_models
2023-01-16,1 wk ahead inc case,2023-01-21,AT,point,NA,13323,6
2023-01-16,1 wk ahead inc case,2023-01-21,BE,point,NA,3496,6
2023-01-16,1 wk ahead inc case,2023-01-21,BG,point,NA,878,6
2023-01-16,1 wk ahead inc case,2023-01-21,CH,point,NA,1570,7
2023-01-16,1 wk ahead inc case,2023-01-21,CY,point,NA,3334,6
2023-01-16,1 wk ahead inc case,2023-01-21,CZ,point,NA,1979,6
2023-01-16,1 wk ahead inc case,2023-01-21,DE,point,NA,74570,10
2023-01-16,1 wk ahead inc case,2023-01-21,DK,point,NA,3230,6
2023-01-16,1 wk ahead inc case,2023-01-21,EE,point,NA,346,6
2023-01-16,1 wk ahead inc case,2023-01-21,ES,point,NA,14264,6
2023-01-16,1 wk ahead inc case,2023-01-21,FI,point,NA,3218,6
2023-01-16,1 wk ahead inc case,2023-01-21,FR,point,NA,32552,7
2023-01-16,1 wk ahead inc case,2023-01-21,GB,point,NA,30411,5
2023-01-16,1 wk ahead inc case,2023-01-21,GR,point,NA,0,5
2023-01-16,1 wk ahead inc case,2023-01-21,HR,point,NA,703,6
2023-01-16,1 wk ahead inc case,2023-01-21,HU,point,NA,1733,5
2023-01-16,1 wk ahead inc case,2023-01-21,IE,point,NA,3780,6
2023-01-16,1 wk ahead inc case,2023-01-21,IS,point,NA,63,5
2023-01-16,1 wk ahead inc case,2023-01-21,IT,point,NA,74831,6
2023-01-16,1 wk ahead inc case,2023-01-21,LI,point,NA,15,6
2023-01-16,1 wk ahead inc case,2023-01-21,LT,point,NA,1574,6
2023-01-16,1 wk ahead inc case,2023-01-21,LU,point,NA,581,5
2023-01-16,1 wk ahead inc case,2023-01-21,LV,point,NA,230,6
2023-01-16,1 wk ahead inc case,2023-01-21,MT,point,NA,178,6
2023-01-16,1 wk ahead inc case,2023-01-21,NL,point,NA,3364,6
2023-01-16,1 wk ahead inc case,2023-01-21,NO,point,NA,580,6
2023-01-16,1 wk ahead inc case,2023-01-21,PL,point,NA,1860,9
2023-01-16,1 wk ahead inc case,2023-01-21,PT,point,NA,925,4
2023-01-16,1 wk ahead inc case,2023-01-21,RO,point,NA,4382,6
2023-01-16,1 wk ahead inc case,2023-01-21,SE,point,NA,3984,6
2023-01-16,1 wk ahead inc case,2023-01-21,SI,point,NA,3094,7
2023-01-16,1 wk ahead inc case,2023-01-21,SK,point,NA,894,5
2023-01-16,2 wk ahead inc case,2023-01-28,AT,point,NA,11762,6
2023-01-16,2 wk ahead inc case,2023-01-28,BE,point,NA,6042,6
2023-01-16,2 wk ahead inc case,2023-01-28,BG,point,NA,800,6
2023-01-16,2 wk ahead inc case,2023-01-28,CH,point,NA,1130,7
2023-01-16,2 wk ahead inc case,2023-01-28,CY,point,NA,3276,6
2023-01-16,2 wk ahead inc case,2023-01-28,CZ,point,NA,1656,6
2023-01-16,2 wk ahead inc case,2023-01-28,DE,point,NA,63821,10
2023-01-16,2 wk ahead inc case,2023-01-28,DK,point,NA,2502,6
2023-01-16,2 wk ahead inc case,2023-01-28,EE,point,NA,346,6
2023-01-16,2 wk ahead inc case,2023-01-28,ES,point,NA,15514,6
2023-01-16,2 wk ahead inc case,2023-01-28,FI,point,NA,3030,6
2023-01-16,2 wk ahead inc case,2023-01-28,FR,point,NA,21162,7
2023-01-16,2 wk ahead inc case,2023-01-28,GB,point,NA,29722,5
2023-01-16,2 wk ahead inc case,2023-01-28,GR,point,NA,0,5
2023-01-16,2 wk ahead inc case,2023-01-28,HR,point,NA,754,6
2023-01-16,2 wk ahead inc case,2023-01-28,HU,point,NA,1553,5
2023-01-16,2 wk ahead inc case,2023-01-28,IE,point,NA,4284,6
2023-01-16,2 wk ahead inc case,2023-01-28,IS,point,NA,81,5
2023-01-16,2 wk ahead inc case,2023-01-28,IT,point,NA,61958,6
2023-01-16,2 wk ahead inc case,2023-01-28,LI,point,NA,12,6
2023-01-16,2 wk ahead inc case,2023-01-28,LT,point,NA,1438,6
2023-01-16,2 wk ahead inc case,2023-01-28,LU,point,NA,519,5
2023-01-16,2 wk ahead inc case,2023-01-28,LV,point,NA,185,6
2023-01-16,2 wk ahead inc case,2023-01-28,MT,point,NA,174,6
2023-01-16,2 wk ahead inc case,2023-01-28,NL,point,NA,3095,6
2023-01-16,2 wk ahead inc case,2023-01-28,NO,point,NA,467,6
2023-01-16,2 wk ahead inc case,2023-01-28,PL,point,NA,1590,9
2023-01-16,2 wk ahead inc case,2023-01-28,PT,point,NA,348,4
2023-01-16,2 wk ahead inc case,2023-01-28,RO,point,NA,4826,6
2023-01-16,2 wk ahead inc case,2023-01-28,SE,point,NA,3040,6
2023-01-16,2 wk ahead inc case,2023-01-28,SI,point,NA,2350,7
2023-01-16,2 wk ahead inc case,2023-01-28,SK,point,NA,887,5
2023-01-16,3 wk ahead inc case,2023-02-04,AT,point,NA,10477,6
2023-01-16,3 wk ahead inc case,2023-02-04,BE,point,NA,3972,6
2023-01-16,3 wk ahead inc case,2023-02-04,BG,point,NA,758,6
2023-01-16,3 wk ahead inc case,2023-02-04,CH,point,NA,858,7
2023-01-16,3 wk ahead inc case,2023-02-04,CY,point,NA,3268,6
2023-01-16,3 wk ahead inc case,2023-02-04,CZ,point,NA,1383,6
2023-01-16,3 wk ahead inc case,2023-02-04,DE,point,NA,56242,10
2023-01-16,3 wk ahead inc case,2023-02-04,DK,point,NA,1947,6
2023-01-16,3 wk ahead inc case,2023-02-04,EE,point,NA,326,6
2023-01-16,3 wk ahead inc case,2023-02-04,ES,point,NA,16927,6
2023-01-16,3 wk ahead inc case,2023-02-04,FI,point,NA,2776,6
2023-01-16,3 wk ahead inc case,2023-02-04,FR,point,NA,15007,7
2023-01-16,3 wk ahead inc case,2023-02-04,GB,point,NA,29488,5
2023-01-16,3 wk ahead inc case,2023-02-04,GR,point,NA,0,5
2023-01-16,3 wk ahead inc case,2023-02-04,HR,point,NA,776,6
2023-01-16,3 wk ahead inc case,2023-02-04,HU,point,NA,1390,5
2023-01-16,3 wk ahead inc case,2023-02-04,IE,point,NA,4654,6
2023-01-16,3 wk ahead inc case,2023-02-04,IS,point,NA,49,5
2023-01-16,3 wk ahead inc case,2023-02-04,IT,point,NA,51889,6
2023-01-16,3 wk ahead inc case,2023-02-04,LI,point,NA,9,6
2023-01-16,3 wk ahead inc case,2023-02-04,LT,point,NA,1347,6
2023-01-16,3 wk ahead inc case,2023-02-04,LU,point,NA,451,5
2023-01-16,3 wk ahead inc case,2023-02-04,LV,point,NA,146,6
