location_name,location,target_variable,date,value,source,snapshot_date
Austria,AT,inc death,2020-01-04,0,ECDC,2022-08-12
Austria,AT,inc death,2020-01-11,0,ECDC,2022-08-12
Austria,AT,inc death,2020-01-18,0,ECDC,2022-08-12
Austria,AT,inc death,2020-01-25,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-01,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-08,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-15,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-22,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-29,0,ECDC,2022-08-12
Austria,AT,inc death,2020-03-07,0,ECDC,2022-08-12
Austria,AT,inc death,2020-03-14,3,ECDC,2022-08-12
Austria,AT,inc death,2020-03-21,31,ECDC,2022-08-12
Austria,AT,inc death,2020-03-28,100,ECDC,2022-08-12
Austria,AT,inc death,2020-04-04,131,ECDC,2022-08-12
Austria,AT,inc death,2020-04-11,151,ECDC,2022-08-12
Austria,AT,inc death,2020-04-18,121,ECDC,2022-08-12
Austria,AT,inc death,2020-04-25,78,ECDC,2022-08-12
Austria,AT,inc death,2020-05-02,51,ECDC,2022-08-12
Austria,AT,inc death,2020-05-09,32,ECDC,2022-08-12
Austria,AT,inc death,2020-05-16,14,ECDC,2022-08-12
Austria,AT,inc death,2020-05-23,18,ECDC,2022-08-12
Austria,AT,inc death,2020-05-30,15,ECDC,2022-08-12
Austria,AT,inc death,2020-06-06,15,ECDC,2022-08-12
Austria,AT,inc death,2020-06-13,16,ECDC,2022-08-12
Austria,AT,inc death,2020-06-20,17,ECDC,2022-08-12
Austria,AT,inc death,2020-06-27,17,ECDC,2022-08-12
Austria,AT,inc death,2020-07-04,9,ECDC,2022-08-12
Austria,AT,inc death,2020-07-11,7,ECDC,2022-08-12
Austria,AT,inc death,2020-07-18,10,ECDC,2022-08-12
Austria,AT,inc death,2020-07-25,8,ECDC,2022-08-12
Austria,AT,inc death,2020-08-01,17,ECDC,2022-08-12
Austria,AT,inc death,2020-08-08,12,ECDC,2022-08-12
Austria,AT,inc death,2020-08-15,10,ECDC,2022-08-12
Austria,AT,inc death,2020-08-22,13,ECDC,2022-08-12
Austria,AT,inc death,2020-08-29,6,ECDC,2022-08-12
Austria,AT,inc death,2020-09-05,16,ECDC,2022-08-12
Austria,AT,inc death,2020-09-12,15,ECDC,2022-08-12
Austria,AT,inc death,2020-09-19,24,ECDC,2022-08-12
Austria,AT,inc death,2020-09-26,34,ECDC,2022-08-12
Austria,AT,inc death,2020-10-03,40,ECDC,2022-08-12
Austria,AT,inc death,2020-10-10,71,ECDC,2022-08-12
Austria,AT,inc death,2020-10-17,66,ECDC,2022-08-12
Austria,AT,inc death,2020-10-24,126,ECDC,2022-08-12
Austria,AT,inc death,2020-10-31,261,ECDC,2022-08-12
Austria,AT,inc death,2020-11-07,399,ECDC,2022-08-12
Austria,AT,inc death,2020-11-14,622,ECDC,2022-08-12
Austria,AT,inc death,2020-11-21,770,ECDC,2022-08-12
Austria,AT,inc death,2020-11-28,857,ECDC,2022-08-12
Austria,AT,inc death,2020-12-05,929,ECDC,2022-08-12
Austria,AT,inc death,2020-12-12,852,ECDC,2022-08-12
Austria,AT,inc death,2020-12-19,710,ECDC,2022-08-12
Austria,AT,inc death,2020-12-26,616,ECDC,2022-08-12
Austria,AT,inc death,2021-01-02,518,ECDC,2022-08-12
Austria,AT,inc death,2021-01-09,437,ECDC,2022-08-12
Austria,AT,inc death,2021-01-16,451,ECDC,2022-08-12
Austria,AT,inc death,2021-01-23,402,ECDC,2022-08-12
Austria,AT,inc death,2021-01-30,370,ECDC,2022-08-12
Austria,AT,inc death,2021-02-06,298,ECDC,2022-08-12
Austria,AT,inc death,2021-02-13,255,ECDC,2022-08-12
Austria,AT,inc death,2021-02-20,219,ECDC,2022-08-12
Austria,AT,inc death,2021-02-27,224,ECDC,2022-08-12
Austria,AT,inc death,2021-03-06,190,ECDC,2022-08-12
Austria,AT,inc death,2021-03-13,215,ECDC,2022-08-12
Austria,AT,inc death,2021-03-20,247,ECDC,2022-08-12
Austria,AT,inc death,2021-03-27,216,ECDC,2022-08-12
Austria,AT,inc death,2021-04-03,271,ECDC,2022-08-12
Austria,AT,inc death,2021-04-10,252,ECDC,2022-08-12
Austria,AT,inc death,2021-04-17,243,ECDC,2022-08-12
Austria,AT,inc death,2021-04-24,200,ECDC,2022-08-12
Austria,AT,inc death,2021-05-01,191,ECDC,2022-08-12
Austria,AT,inc death,2021-05-08,157,ECDC,2022-08-12
Austria,AT,inc death,2021-05-15,104,ECDC,2022-08-12
Austria,AT,inc death,2021-05-22,73,ECDC,2022-08-12
Austria,AT,inc death,2021-05-29,72,ECDC,2022-08-12
Austria,AT,inc death,2021-06-05,47,ECDC,2022-08-12
Austria,AT,inc death,2021-06-12,36,ECDC,2022-08-12
Austria,AT,inc death,2021-06-19,32,ECDC,2022-08-12
Austria,AT,inc death,2021-06-26,19,ECDC,2022-08-12
Austria,AT,inc death,2021-07-03,23,ECDC,2022-08-12
Austria,AT,inc death,2021-07-10,11,ECDC,2022-08-12
Austria,AT,inc death,2021-07-17,13,ECDC,2022-08-12
Austria,AT,inc death,2021-07-24,15,ECDC,2022-08-12
Austria,AT,inc death,2021-07-31,15,ECDC,2022-08-12
Austria,AT,inc death,2021-08-07,19,ECDC,2022-08-12
Austria,AT,inc death,2021-08-14,16,ECDC,2022-08-12
Austria,AT,inc death,2021-08-21,12,ECDC,2022-08-12
Austria,AT,inc death,2021-08-28,35,ECDC,2022-08-12
