location_name,location,date,value,source,snapshot_date
Austria,AT,2020-01-04,0,ECDC,2022-08-12
Austria,AT,2020-01-04,0,ECDC,2022-08-12
Austria,AT,2020-01-11,0,ECDC,2022-08-12
Austria,AT,2020-01-11,0,ECDC,2022-08-12
Austria,AT,2020-01-18,0,ECDC,2022-08-12
Austria,AT,2020-01-18,0,ECDC,2022-08-12
Austria,AT,2020-01-25,0,ECDC,2022-08-12
Austria,AT,2020-01-25,0,ECDC,2022-08-12
Austria,AT,2020-02-01,0,ECDC,2022-08-12
Austria,AT,2020-02-01,0,ECDC,2022-08-12
Austria,AT,2020-02-08,0,ECDC,2022-08-12
Austria,AT,2020-02-08,0,ECDC,2022-08-12
Austria,AT,2020-02-15,0,ECDC,2022-08-12
Austria,AT,2020-02-15,0,ECDC,2022-08-12
Austria,AT,2020-02-22,0,ECDC,2022-08-12
Austria,AT,2020-02-22,0,ECDC,2022-08-12
Austria,AT,2020-02-29,0,ECDC,2022-08-12
Austria,AT,2020-02-29,12,ECDC,2022-08-12
Austria,AT,2020-03-07,0,ECDC,2022-08-12
Austria,AT,2020-03-07,114,ECDC,2022-08-12
Austria,AT,2020-03-14,3,ECDC,2022-08-12
Austria,AT,2020-03-14,873,ECDC,2022-08-12
Austria,AT,2020-03-21,31,ECDC,2022-08-12
Austria,AT,2020-03-21,3074,ECDC,2022-08-12
Austria,AT,2020-03-28,100,ECDC,2022-08-12
Austria,AT,2020-03-28,5191,ECDC,2022-08-12
Austria,AT,2020-04-04,131,ECDC,2022-08-12
Austria,AT,2020-04-04,3056,ECDC,2022-08-12
Austria,AT,2020-04-11,151,ECDC,2022-08-12
Austria,AT,2020-04-11,1832,ECDC,2022-08-12
Austria,AT,2020-04-18,121,ECDC,2022-08-12
Austria,AT,2020-04-18,684,ECDC,2022-08-12
Austria,AT,2020-04-25,78,ECDC,2022-08-12
Austria,AT,2020-04-25,447,ECDC,2022-08-12
Austria,AT,2020-05-02,51,ECDC,2022-08-12
Austria,AT,2020-05-02,311,ECDC,2022-08-12
Austria,AT,2020-05-09,32,ECDC,2022-08-12
Austria,AT,2020-05-09,264,ECDC,2022-08-12
Austria,AT,2020-05-16,14,ECDC,2022-08-12
Austria,AT,2020-05-16,331,ECDC,2022-08-12
Austria,AT,2020-05-23,18,ECDC,2022-08-12
Austria,AT,2020-05-23,263,ECDC,2022-08-12
Austria,AT,2020-05-30,15,ECDC,2022-08-12
Austria,AT,2020-05-30,195,ECDC,2022-08-12
Austria,AT,2020-06-06,15,ECDC,2022-08-12
Austria,AT,2020-06-06,228,ECDC,2022-08-12
Austria,AT,2020-06-13,16,ECDC,2022-08-12
Austria,AT,2020-06-13,172,ECDC,2022-08-12
Austria,AT,2020-06-20,17,ECDC,2022-08-12
Austria,AT,2020-06-20,248,ECDC,2022-08-12
Austria,AT,2020-06-27,17,ECDC,2022-08-12
Austria,AT,2020-06-27,334,ECDC,2022-08-12
Austria,AT,2020-07-04,9,ECDC,2022-08-12
Austria,AT,2020-07-04,641,ECDC,2022-08-12
Austria,AT,2020-07-11,7,ECDC,2022-08-12
Austria,AT,2020-07-11,596,ECDC,2022-08-12
Austria,AT,2020-07-18,10,ECDC,2022-08-12
Austria,AT,2020-07-18,784,ECDC,2022-08-12
Austria,AT,2020-07-25,8,ECDC,2022-08-12
Austria,AT,2020-07-25,872,ECDC,2022-08-12
Austria,AT,2020-08-01,17,ECDC,2022-08-12
Austria,AT,2020-08-01,796,ECDC,2022-08-12
Austria,AT,2020-08-08,12,ECDC,2022-08-12
Austria,AT,2020-08-08,720,ECDC,2022-08-12
Austria,AT,2020-08-15,10,ECDC,2022-08-12
Austria,AT,2020-08-15,1460,ECDC,2022-08-12
Austria,AT,2020-08-22,13,ECDC,2022-08-12
Austria,AT,2020-08-22,1913,ECDC,2022-08-12
Austria,AT,2020-08-29,6,ECDC,2022-08-12
Austria,AT,2020-08-29,1945,ECDC,2022-08-12
Austria,AT,2020-09-05,16,ECDC,2022-08-12
Austria,AT,2020-09-05,2265,ECDC,2022-08-12
Austria,AT,2020-09-12,15,ECDC,2022-08-12
Austria,AT,2020-09-12,3996,ECDC,2022-08-12
Austria,AT,2020-09-19,24,ECDC,2022-08-12
Austria,AT,2020-09-19,5215,ECDC,2022-08-12
Austria,AT,2020-09-26,34,ECDC,2022-08-12
Austria,AT,2020-09-26,4662,ECDC,2022-08-12
Austria,AT,2020-10-03,40,ECDC,2022-08-12
Austria,AT,2020-10-03,5612,ECDC,2022-08-12
Austria,AT,2020-10-10,71,ECDC,2022-08-12
Austria,AT,2020-10-10,7493,ECDC,2022-08-12
Austria,AT,2020-10-17,66,ECDC,2022-08-12
Austria,AT,2020-10-17,9898,ECDC,2022-08-12
Austria,AT,2020-10-24,126,ECDC,2022-08-12
Austria,AT,2020-10-24,18301,ECDC,2022-08-12
Austria,AT,2020-10-31,261,ECDC,2022-08-12
Austria,AT,2020-10-31,31656,ECDC,2022-08-12
Austria,AT,2020-11-07,399,ECDC,2022-08-12
Austria,AT,2020-11-07,44780,ECDC,2022-08-12
Austria,AT,2020-11-14,622,ECDC,2022-08-12
Austria,AT,2020-11-14,47845,ECDC,2022-08-12
Austria,AT,2020-11-21,770,ECDC,2022-08-12
Austria,AT,2020-11-21,40692,ECDC,2022-08-12
Austria,AT,2020-11-28,857,ECDC,2022-08-12
Austria,AT,2020-11-28,31126,ECDC,2022-08-12
Austria,AT,2020-12-05,929,ECDC,2022-08-12
Austria,AT,2020-12-05,23060,ECDC,2022-08-12
Austria,AT,2020-12-12,852,ECDC,2022-08-12
Austria,AT,2020-12-12,18696,ECDC,2022-08-12
Austria,AT,2020-12-19,710,ECDC,2022-08-12
