"location","target","model","inverse_wis_weight"
"GM","inc case","LANL-GrowthRate",0.122402742934561
"GM","inc case","ITWW-county_repro",0.143236324075265
"GM","inc case","epiforecasts-EpiExpert",0.143551346419971
"GM","inc case","epiforecasts-EpiNow2",0.32860401074686
"GM","inc case","KIT-time_series_baseline",0.13959776233816
"GM","inc case","Karlen-pypm",0.122607813485183
"GM","cum case","LANL-GrowthRate",0.110054484025314
"GM","cum case","ITWW-county_repro",0.129329535297834
"GM","cum case","epiforecasts-EpiExpert",0.154543288427211
"GM","cum case","epiforecasts-EpiNow2",0.36842415410472
"GM","cum case","KIT-time_series_baseline",0.120722315088153
"GM","cum case","Karlen-pypm",0.116926223056767
"GM","inc death","LANL-GrowthRate",0.252407870541774
"GM","inc death","ITWW-county_repro",0.0709958699981901
"GM","inc death","epiforecasts-EpiExpert",0.216897827574972
"GM","inc death","epiforecasts-EpiNow2",0.262839261439691
"GM","inc death","KIT-time_series_baseline",0.112793909856036
"GM","inc death","Karlen-pypm",0.0840652605893369
"GM","cum death","LANL-GrowthRate",0.26589415760011
"GM","cum death","ITWW-county_repro",0.0660731155541579
"GM","cum death","epiforecasts-EpiExpert",0.256060754833773
"GM","cum death","epiforecasts-EpiNow2",0.236211599990339
"GM","cum death","KIT-time_series_baseline",0.0962746914775821
"GM","cum death","Karlen-pypm",0.0794856805440384
"PL","inc case","LANL-GrowthRate",0.195644145434925
"PL","inc case","ITWW-county_repro",0.445003251886761
"PL","inc case","epiforecasts-EpiExpert",0.101548591397371
"PL","inc case","epiforecasts-EpiNow2",0.160236135831512
"PL","inc case","KIT-time_series_baseline",0.0975678754494319
"PL","cum case","LANL-GrowthRate",0.200426922321037
"PL","cum case","ITWW-county_repro",0.394053592380219
"PL","cum case","epiforecasts-EpiExpert",0.0817076308401211
"PL","cum case","epiforecasts-EpiNow2",0.234774785200962
"PL","cum case","KIT-time_series_baseline",0.0890370692576612
"PL","inc death","LANL-GrowthRate",0.434830408879343
"PL","inc death","ITWW-county_repro",0.182840616109093
"PL","inc death","epiforecasts-EpiExpert",0.245000593733092
"PL","inc death","epiforecasts-EpiNow2",0.106604860532492
"PL","inc death","KIT-time_series_baseline",0.0307235207459795
"PL","cum death","LANL-GrowthRate",0.518860637346882
"PL","cum death","ITWW-county_repro",0.173421339763392
"PL","cum death","epiforecasts-EpiExpert",0.19999185562329
"PL","cum death","epiforecasts-EpiNow2",0.0817751069845334
"PL","cum death","KIT-time_series_baseline",0.0259510602819022
