"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.346292551147639
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.0966030502348192
"GM","inc case","ITWW-county_repro",0.0659229836338167
"GM","inc case","epiforecasts-EpiExpert",0.0862140507228047
"GM","inc case","epiforecasts-EpiNow2",0.326786274890421
"GM","inc case","KIT-time_series_baseline",0.0781810893704993
"GM","cum case","FIAS_FZJ-Epi1Ger",0.267957701798621
"GM","cum case","LANL-GrowthRate",0.137444722657248
"GM","cum case","ITWW-county_repro",0.148687199257392
"GM","cum case","epiforecasts-EpiExpert",0.146529398824802
"GM","cum case","epiforecasts-EpiNow2",0.153813747942668
"GM","cum case","KIT-time_series_baseline",0.145567229519269
"GM","inc death","FIAS_FZJ-Epi1Ger",0.817689261200596
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.031878211247481
"GM","inc death","ITWW-county_repro",0.0431530994578974
"GM","inc death","epiforecasts-EpiExpert",0.0368008521679207
"GM","inc death","epiforecasts-EpiNow2",0.0394827790672545
"GM","inc death","KIT-time_series_baseline",0.0309957968588503
"GM","cum death","FIAS_FZJ-Epi1Ger",0.259713518041174
"GM","cum death","LANL-GrowthRate",0.109540005775619
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.226226848699918
"GM","cum death","ITWW-county_repro",0.10548760704842
"GM","cum death","epiforecasts-EpiExpert",0.100288561660132
"GM","cum death","epiforecasts-EpiNow2",0.101402057551219
"GM","cum death","KIT-time_series_baseline",0.0973414012235187
"PL","inc case","MOCOS-agent1",0.192854051732807
"PL","inc case","ITWW-county_repro",0.194265307573614
"PL","inc case","epiforecasts-EpiExpert",0.189214385828345
"PL","inc case","epiforecasts-EpiNow2",0.217345751695482
"PL","inc case","KIT-time_series_baseline",0.206320503169753
"PL","cum case","LANL-GrowthRate",0.195148916258357
"PL","cum case","ITWW-county_repro",0.210903007276861
"PL","cum case","epiforecasts-EpiExpert",0.186283792710936
"PL","cum case","epiforecasts-EpiNow2",0.208018288530436
"PL","cum case","KIT-time_series_baseline",0.199645995223411
"PL","inc death","MOCOS-agent1",0.196066393356423
"PL","inc death","ITWW-county_repro",0.200398385142208
"PL","inc death","epiforecasts-EpiExpert",0.202659485794741
"PL","inc death","epiforecasts-EpiNow2",0.20114596433532
"PL","inc death","KIT-time_series_baseline",0.199729771371308
"PL","cum death","LANL-GrowthRate",0.187315318479758
"PL","cum death","ITWW-county_repro",0.204083333654032
"PL","cum death","epiforecasts-EpiExpert",0.204646047688829
"PL","cum death","epiforecasts-EpiNow2",0.202826541758409
"PL","cum death","KIT-time_series_baseline",0.201128758418972
