"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.1101470358985
"GM","inc case","LANL-GrowthRate",0.115997289716394
"GM","inc case","USC-SIkJalpha",0.223263207517536
"GM","inc case","epiforecasts-EpiExpert",0.185386295663933
"GM","inc case","epiforecasts-EpiNow2",0.0819169649304824
"GM","inc case","KIT-time_series_baseline",0.145691843387214
"GM","inc case","Karlen-pypm",0.0669381762752054
"GM","inc case","itwm-dSEIR",0.0706591866107356
"GM","cum case","FIAS_FZJ-Epi1Ger",0.0976205534617414
"GM","cum case","LANL-GrowthRate",0.122525893048216
"GM","cum case","USC-SIkJalpha",0.264906414737943
"GM","cum case","epiforecasts-EpiExpert",0.161849350217758
"GM","cum case","epiforecasts-EpiNow2",0.081292567384475
"GM","cum case","KIT-time_series_baseline",0.135544386553281
"GM","cum case","Karlen-pypm",0.0674638134719946
"GM","cum case","itwm-dSEIR",0.0687970211245908
"GM","inc death","FIAS_FZJ-Epi1Ger",0.103012734806127
"GM","inc death","LANL-GrowthRate",0.0847305603865122
"GM","inc death","USC-SIkJalpha",0.172683409043304
"GM","inc death","epiforecasts-EpiExpert",0.120951360441005
"GM","inc death","epiforecasts-EpiNow2",0.0768047420152763
"GM","inc death","KIT-time_series_baseline",0.0638933752893182
"GM","inc death","Karlen-pypm",0.329333411451513
"GM","inc death","itwm-dSEIR",0.0485904065669429
"GM","cum death","FIAS_FZJ-Epi1Ger",0.1377509998395
"GM","cum death","LANL-GrowthRate",0.0896559398655897
"GM","cum death","USC-SIkJalpha",0.178201649233396
"GM","cum death","epiforecasts-EpiExpert",0.104685221431652
"GM","cum death","epiforecasts-EpiNow2",0.0675788302167272
"GM","cum death","KIT-time_series_baseline",0.054765839268518
"GM","cum death","Karlen-pypm",0.272292434312013
"GM","cum death","itwm-dSEIR",0.095069085832604
"PL","inc case","LANL-GrowthRate",0.0798648948728318
"PL","inc case","USC-SIkJalpha",0.327092279321113
"PL","inc case","MOCOS-agent1",0.0690072742660063
"PL","inc case","epiforecasts-EpiExpert",0.240234484420311
"PL","inc case","epiforecasts-EpiNow2",0.090929234610729
"PL","inc case","KIT-time_series_baseline",0.124595221982084
"PL","inc case","ICM-agentModel",0.0682766105269251
"PL","cum case","LANL-GrowthRate",0.0967751952821808
"PL","cum case","USC-SIkJalpha",0.188928987460136
"PL","cum case","MOCOS-agent1",0.0806953813759595
"PL","cum case","epiforecasts-EpiExpert",0.294267713884574
"PL","cum case","epiforecasts-EpiNow2",0.113769589142599
"PL","cum case","KIT-time_series_baseline",0.146277987975046
"PL","cum case","ICM-agentModel",0.079285144879505
"PL","inc death","LANL-GrowthRate",0.0914915554044404
"PL","inc death","USC-SIkJalpha",0.222480149059732
"PL","inc death","MOCOS-agent1",0.0748067601668318
"PL","inc death","epiforecasts-EpiExpert",0.171003180879691
"PL","inc death","epiforecasts-EpiNow2",0.0843770297919519
"PL","inc death","KIT-time_series_baseline",0.282446882250213
"PL","inc death","ICM-agentModel",0.0733944424471393
"PL","cum death","LANL-GrowthRate",0.108224041899455
"PL","cum death","USC-SIkJalpha",0.123612634662007
"PL","cum death","MOCOS-agent1",0.0735603291240665
"PL","cum death","epiforecasts-EpiExpert",0.204117783501948
"PL","cum death","epiforecasts-EpiNow2",0.0959152350589147
"PL","cum death","KIT-time_series_baseline",0.321985326104681
"PL","cum death","ICM-agentModel",0.0725846496489279
