"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.280527679716364
"GM","inc case","LANL-GrowthRate",0.0980729146428962
"GM","inc case","ITWW-county_repro",0.0188885365403843
"GM","inc case","epiforecasts-EpiExpert",0.2185973447577
"GM","inc case","epiforecasts-EpiNow2",0.278057779843431
"GM","inc case","KIT-time_series_baseline",0.0872629698326334
"GM","inc case","Karlen-pypm",0.0185927746665916
"GM","cum case","FIAS_FZJ-Epi1Ger",0.185105932863453
"GM","cum case","LANL-GrowthRate",0.10530167987691
"GM","cum case","ITWW-county_repro",0.0184362210517709
"GM","cum case","epiforecasts-EpiExpert",0.236889152117552
"GM","cum case","epiforecasts-EpiNow2",0.332068032971804
"GM","cum case","KIT-time_series_baseline",0.103931784827529
"GM","cum case","Karlen-pypm",0.0182671962909815
"GM","inc death","FIAS_FZJ-Epi1Ger",0.0742852353407997
"GM","inc death","LANL-GrowthRate",0.116972519076858
"GM","inc death","ITWW-county_repro",0.201481833106613
"GM","inc death","epiforecasts-EpiExpert",0.208768343843901
"GM","inc death","epiforecasts-EpiNow2",0.325382887118995
"GM","inc death","Karlen-pypm",0.0731091815128322
"GM","cum death","FIAS_FZJ-Epi1Ger",0.0758570720249628
"GM","cum death","LANL-GrowthRate",0.107547327176651
"GM","cum death","ITWW-county_repro",0.21432032555493
"GM","cum death","epiforecasts-EpiExpert",0.221273205511447
"GM","cum death","epiforecasts-EpiNow2",0.307035867925976
"GM","cum death","Karlen-pypm",0.073966201806033
"PL","inc case","LANL-GrowthRate",0.189835026031161
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.135440855017254
"PL","inc case","MOCOS-agent1",0.0734948856488345
"PL","inc case","ITWW-county_repro",0.0772781479282779
"PL","inc case","epiforecasts-EpiExpert",0.106460636258239
"PL","inc case","epiforecasts-EpiNow2",0.346405351988487
"PL","inc case","KIT-time_series_baseline",0.0710850971277455
"PL","cum case","LANL-GrowthRate",0.285417596133332
"PL","cum case","MOCOS-agent1",0.0709691208043621
"PL","cum case","ITWW-county_repro",0.0758258003758872
"PL","cum case","epiforecasts-EpiExpert",0.126254095162188
"PL","cum case","epiforecasts-EpiNow2",0.372100917880983
"PL","cum case","KIT-time_series_baseline",0.0694324696432475
"PL","inc death","LANL-GrowthRate",0.411373789580742
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.204938853909822
"PL","inc death","MOCOS-agent1",0.160348143232244
"PL","inc death","ITWW-county_repro",0.0795683353376132
"PL","inc death","epiforecasts-EpiExpert",0.105120909552408
"PL","inc death","epiforecasts-EpiNow2",0.038649968387171
"PL","cum death","LANL-GrowthRate",0.369735634681717
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.256399279035082
"PL","cum death","MOCOS-agent1",0.17025456450174
"PL","cum death","ITWW-county_repro",0.06558191052734
"PL","cum death","epiforecasts-EpiExpert",0.0936379756752118
"PL","cum death","epiforecasts-EpiNow2",0.0443906355789092
