"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.429631428788615
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.0594175966094424
"GM","inc case","epiforecasts-EpiExpert",0.0867452189209371
"GM","inc case","epiforecasts-EpiNow2",0.323975121007831
"GM","inc case","KIT-time_series_baseline",0.100230634673174
"GM","cum case","FIAS_FZJ-Epi1Ger",0.299583525430278
"GM","cum case","epiforecasts-EpiExpert",0.202154204162672
"GM","cum case","epiforecasts-EpiNow2",0.289120098741086
"GM","cum case","KIT-time_series_baseline",0.209142171665963
"GM","inc death","FIAS_FZJ-Epi1Ger",0.725673448686802
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.0733352580819907
"GM","inc death","epiforecasts-EpiExpert",0.0716942334229049
"GM","inc death","epiforecasts-EpiNow2",0.0721437476854103
"GM","inc death","KIT-time_series_baseline",0.0571533121228918
"GM","cum death","FIAS_FZJ-Epi1Ger",0.466966415291205
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.132661318929321
"GM","cum death","epiforecasts-EpiExpert",0.13928106883169
"GM","cum death","epiforecasts-EpiNow2",0.141075224761395
"GM","cum death","KIT-time_series_baseline",0.120015972186389
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.122779185894718
"PL","inc case","MOCOS-agent1",0.222650935901751
"PL","inc case","epiforecasts-EpiExpert",0.171579994908864
"PL","inc case","epiforecasts-EpiNow2",0.254084131903835
"PL","inc case","KIT-time_series_baseline",0.228905751390832
"PL","cum case","LANL-GrowthRate",0.176222767103841
"PL","cum case","MOCOS-agent1",0.247434067950937
"PL","cum case","epiforecasts-EpiExpert",0.162231783500026
"PL","cum case","epiforecasts-EpiNow2",0.215373340789441
"PL","cum case","KIT-time_series_baseline",0.198738040655754
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.129334697912992
"PL","inc death","MOCOS-agent1",0.231679046316924
"PL","inc death","epiforecasts-EpiExpert",0.242932882621837
"PL","inc death","epiforecasts-EpiNow2",0.196234320239369
"PL","inc death","KIT-time_series_baseline",0.199819052908879
"PL","cum death","LANL-GrowthRate",0.213566451320039
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.106843599051153
"PL","cum death","MOCOS-agent1",0.216696678562503
"PL","cum death","epiforecasts-EpiExpert",0.164268532192068
"PL","cum death","epiforecasts-EpiNow2",0.149020049106249
"PL","cum death","KIT-time_series_baseline",0.149604689767988
