"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.417660074629093
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.0718460926201935
"GM","inc case","ITWW-county_repro",0.0955819436985346
"GM","inc case","epiforecasts-EpiExpert",0.0948769513302152
"GM","inc case","epiforecasts-EpiNow2",0.320034937721964
"GM","cum case","FIAS_FZJ-Epi1Ger",0.414919828348619
"GM","cum case","ITWW-county_repro",0.112515445747864
"GM","cum case","epiforecasts-EpiExpert",0.106796553596127
"GM","cum case","epiforecasts-EpiNow2",0.365768172307389
"GM","inc death","FIAS_FZJ-Epi1Ger",0.574434587835161
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.128061949469459
"GM","inc death","ITWW-county_repro",0.0974559599483249
"GM","inc death","epiforecasts-EpiExpert",0.0918552472955545
"GM","inc death","epiforecasts-EpiNow2",0.108192255451501
"GM","cum death","FIAS_FZJ-Epi1Ger",0.597160009944233
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.114357611300247
"GM","cum death","ITWW-county_repro",0.0955391983014872
"GM","cum death","epiforecasts-EpiExpert",0.0917507404491626
"GM","cum death","epiforecasts-EpiNow2",0.10119244000487
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.0756552557095457
"PL","inc case","MOCOS-agent1",0.319682254339805
"PL","inc case","ITWW-county_repro",0.268340741923165
"PL","inc case","epiforecasts-EpiExpert",0.117912300403084
"PL","inc case","epiforecasts-EpiNow2",0.2184094476244
"PL","cum case","MOCOS-agent1",0.274473841462086
"PL","cum case","ITWW-county_repro",0.36255739328811
"PL","cum case","epiforecasts-EpiExpert",0.11569658536601
"PL","cum case","epiforecasts-EpiNow2",0.247272179883794
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.0710051085302381
"PL","inc death","MOCOS-agent1",0.385998655530098
"PL","inc death","ITWW-county_repro",0.152079575127963
"PL","inc death","epiforecasts-EpiExpert",0.232429685175152
"PL","inc death","epiforecasts-EpiNow2",0.158486975636549
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.0580711613184812
"PL","cum death","MOCOS-agent1",0.348925819257247
"PL","cum death","ITWW-county_repro",0.153495476428123
"PL","cum death","epiforecasts-EpiExpert",0.279745347740639
"PL","cum death","epiforecasts-EpiNow2",0.15976219525551
