"location","target","model","inverse_wis_weight"
"GM","inc case","KIT-baseline",0.166666666666667
"GM","inc case","FIAS_FZJ-Epi1Ger",0.166666666666667
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.166666666666667
"GM","inc case","ITWW-county_repro",0.166666666666667
"GM","inc case","epiforecasts-EpiExpert",0.166666666666667
"GM","inc case","epiforecasts-EpiNow2",0.166666666666667
"GM","cum case","FIAS_FZJ-Epi1Ger",0.373336330367507
"GM","cum case","KIT-baseline",0.17148443460407
"GM","cum case","LANL-GrowthRate",0.113794808757106
"GM","cum case","ITWW-county_repro",0.113794808757106
"GM","cum case","epiforecasts-EpiExpert",0.113794808757106
"GM","cum case","epiforecasts-EpiNow2",0.113794808757106
"GM","inc death","KIT-baseline",0.166666666666667
"GM","inc death","FIAS_FZJ-Epi1Ger",0.166666666666667
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.166666666666667
"GM","inc death","ITWW-county_repro",0.166666666666667
"GM","inc death","epiforecasts-EpiExpert",0.166666666666667
"GM","inc death","epiforecasts-EpiNow2",0.166666666666667
"GM","cum death","FIAS_FZJ-Epi1Ger",0.204407448872333
"GM","cum death","KIT-baseline",0.157646559984893
"GM","cum death","LANL-GrowthRate",0.14206265106654
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.157068850058973
"GM","cum death","ITWW-county_repro",0.112938163339087
"GM","cum death","epiforecasts-EpiExpert",0.112938163339087
"GM","cum death","epiforecasts-EpiNow2",0.112938163339087
"PL","inc case","KIT-baseline",0.166820696138804
"PL","inc case","MOCOS-agent1",0.179529744343619
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.163412389879394
"PL","inc case","ITWW-county_repro",0.163412389879394
"PL","inc case","epiforecasts-EpiExpert",0.163412389879394
"PL","inc case","epiforecasts-EpiNow2",0.163412389879394
"PL","cum case","KIT-baseline",0.152310422812689
"PL","cum case","LANL-GrowthRate",0.231641131795369
"PL","cum case","MOCOS-agent1",0.166088703039279
"PL","cum case","ITWW-county_repro",0.149986580784221
"PL","cum case","epiforecasts-EpiExpert",0.149986580784221
"PL","cum case","epiforecasts-EpiNow2",0.149986580784221
"PL","inc death","KIT-baseline",0.179739812740885
"PL","inc death","MOCOS-agent1",0.144902617605015
"PL","inc death","ICM-agentModel",0.13507151393082
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.13507151393082
"PL","inc death","ITWW-county_repro",0.13507151393082
"PL","inc death","epiforecasts-EpiExpert",0.13507151393082
"PL","inc death","epiforecasts-EpiNow2",0.13507151393082
"PL","cum death","KIT-baseline",0.143512599932331
"PL","cum death","LANL-GrowthRate",0.235970269668461
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.101971041482663
"PL","cum death","MOCOS-agent1",0.111556083492465
"PL","cum death","ICM-agentModel",0.101920839518183
"PL","cum death","ITWW-county_repro",0.101689721968632
"PL","cum death","epiforecasts-EpiExpert",0.101689721968632
"PL","cum death","epiforecasts-EpiNow2",0.101689721968632
