location,forecast_date,target,target_end_date,type,quantile,value
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.01,12700
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.01,6230
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.01,2920
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.01,1170
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.025,14500
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.025,7920
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.025,4310
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.025,1950
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.05,16100
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.05,9610
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.05,5600
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.05,3260
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.1,18000
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.1,11900
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.1,7880
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.1,5310
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.15,19600
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.15,13800
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.15,9870
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.15,7180
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.2,20800
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.2,15400
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.2,11600
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.2,8550
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.25,22000
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.25,17200
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.25,13300
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.25,10400
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.3,23100
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.3,18700
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.3,15200
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.3,12100
AT,2022-05-15,1 wk ahead inc case,2022-05-21,quantile,0.35,24500
AT,2022-05-15,2 wk ahead inc case,2022-05-28,quantile,0.35,20100
AT,2022-05-15,3 wk ahead inc case,2022-06-04,quantile,0.35,16800
AT,2022-05-15,4 wk ahead inc case,2022-06-11,quantile,0.35,14300
