location,forecast_date,target,target_end_date,type,quantile,value
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.01,966
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.01,516
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.01,291
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.01,150
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.01,79
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.01,42
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.025,1100
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.025,646
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.025,375
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.025,214
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.025,126
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.025,77
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.05,1250
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.05,791
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.05,474
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.05,300
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.05,193
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.05,122
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.1,1480
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.1,971
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.1,646
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.1,434
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.1,322
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.1,224
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.15,1610
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.15,1120
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.15,776
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.15,574
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.15,430
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.15,320
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.2,1730
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.2,1260
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.2,915
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.2,686
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.2,524
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.2,434
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.25,1830
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.25,1370
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.25,1050
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.25,812
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.25,667
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.25,563
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.3,1930
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.3,1510
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.3,1200
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.3,965
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.3,805
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.3,683
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.35,2040
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.35,1620
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.35,1360
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.35,1100
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.35,931
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.35,818
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.4,2130
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.4,1740
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.4,1500
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.4,1280
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.4,1120
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.4,978
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.45,2230
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.45,1860
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.45,1630
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.45,1420
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.45,1280
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.45,1160
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.5,2350
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.5,1990
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.5,1790
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.5,1600
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.5,1440
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.5,1340
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.55,2480
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.55,2160
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.55,1930
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.55,1810
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.55,1670
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.55,1530
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.6,2610
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.6,2310
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.6,2130
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.6,2040
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.6,1880
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.6,1770
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.65,2730
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.65,2470
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.65,2340
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.65,2270
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.65,2170
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.65,2100
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.7,2860
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.7,2670
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.7,2590
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.7,2550
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.7,2520
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.7,2480
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.75,3040
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.75,2900
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.75,2890
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.75,2960
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.75,2840
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.75,2970
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.8,3230
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.8,3160
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.8,3240
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.8,3450
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.8,3520
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.8,3580
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.85,3450
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.85,3490
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.85,3740
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.85,4040
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.85,4410
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.85,4590
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.9,3760
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.9,4030
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.9,4410
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.9,5050
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.9,5550
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.9,6000
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.95,4280
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.95,4850
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.95,5650
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.95,6610
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.95,8300
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.95,10100
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.975,4900
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.975,5940
AT,2023-05-29,1 wk ahead inc case,2023-06-03,quantile,0.975,6990
AT,2023-05-29,2 wk ahead inc case,2023-06-10,quantile,0.975,8910
AT,2023-05-29,3 wk ahead inc case,2023-06-17,quantile,0.975,12300
AT,2023-05-29,4 wk ahead inc case,2023-06-24,quantile,0.975,15200
AT,2023-05-29,-1 wk ahead inc case,2023-05-20,quantile,0.99,5780
AT,2023-05-29,0 wk ahead inc case,2023-05-27,quantile,0.99,7780
