location,forecast_date,target,target_end_date,type,quantile,value
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.01,1240
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.01,850
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.01,550
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.01,333
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.01,224
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.01,139
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.01,85
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.025,1360
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.025,999
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.025,730
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.025,509
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.025,322
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.025,211
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.025,141
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.05,1480
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.05,1170
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.05,868
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.05,631
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.05,449
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.05,321
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.05,249
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.1,1640
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.1,1390
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.1,1090
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.1,847
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.1,651
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.1,514
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.1,387
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.15,1760
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.15,1520
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.15,1270
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.15,1040
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.15,887
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.15,721
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.15,610
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.2,1850
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.2,1660
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.2,1420
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.2,1200
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.2,1060
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.2,906
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.2,810
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.25,1960
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.25,1770
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.25,1580
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.25,1430
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.25,1220
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.25,1120
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.25,952
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.3,2050
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.3,1920
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.3,1750
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.3,1590
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.3,1470
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.3,1300
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.3,1190
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.35,2140
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.35,2050
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.35,1910
BE,2023-10-23,1 wk ahead inc case,2023-10-28,quantile,0.35,1790
BE,2023-10-23,2 wk ahead inc case,2023-11-04,quantile,0.35,1690
BE,2023-10-23,3 wk ahead inc case,2023-11-11,quantile,0.35,1560
BE,2023-10-23,4 wk ahead inc case,2023-11-18,quantile,0.35,1460
BE,2023-10-23,-2 wk ahead inc case,2023-10-07,quantile,0.4,2210
BE,2023-10-23,-1 wk ahead inc case,2023-10-14,quantile,0.4,2160
BE,2023-10-23,0 wk ahead inc case,2023-10-21,quantile,0.4,2090
