location,forecast_date,target,target_end_date,type,quantile,value
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.01,94000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.01,60000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.01,37800
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.01,24200
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.025,113000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.025,81200
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.025,54200
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.025,35900
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.05,126000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.05,99300
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.05,71400
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.05,49000
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.1,144000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.1,121000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.1,95400
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.1,71600
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.15,157000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.15,137000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.15,113000
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.15,92800
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.2,169000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.2,153000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.2,133000
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.2,116000
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.25,178000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.25,168000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.25,156000
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.25,138000
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.3,187000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.3,184000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.3,175000
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.3,161000
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.35,196000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.35,197000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.35,192000
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.35,185000
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.4,206000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.4,215000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.4,216000
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.4,213000
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.45,214000
AT,2022-02-27,2 wk ahead inc case,2022-03-12,quantile,0.45,229000
AT,2022-02-27,3 wk ahead inc case,2022-03-19,quantile,0.45,240000
AT,2022-02-27,4 wk ahead inc case,2022-03-26,quantile,0.45,245000
AT,2022-02-27,1 wk ahead inc case,2022-03-05,quantile,0.5,221000
