location,forecast_date,target,target_end_date,type,quantile,value
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.01,925
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.01,574
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.01,350
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.01,178
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.01,99
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.01,59
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.025,1050
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.025,676
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.025,417
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.025,249
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.025,150
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.025,91
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.05,1160
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.05,784
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.05,511
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.05,348
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.05,216
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.05,144
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.1,1270
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.1,921
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.1,688
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.1,499
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.1,349
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.1,252
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.15,1370
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.15,1040
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.15,795
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.15,633
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.15,473
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.15,375
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.2,1450
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.2,1130
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.2,889
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.2,736
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.2,575
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.2,483
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.25,1520
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.25,1210
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.25,993
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.25,844
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.25,721
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.25,622
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.3,1580
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.3,1300
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.3,1100
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.3,951
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.3,845
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.3,739
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.35,1640
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.35,1390
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.35,1230
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.35,1090
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.35,971
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.35,866
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.4,1700
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.4,1480
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.4,1350
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.4,1200
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.4,1110
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.4,1010
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.45,1760
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.45,1580
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.45,1450
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.45,1310
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.45,1250
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.45,1150
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.5,1830
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.5,1680
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.5,1560
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.5,1470
BE,2023-10-30,3 wk ahead inc case,2023-11-18,quantile,0.5,1380
BE,2023-10-30,4 wk ahead inc case,2023-11-25,quantile,0.5,1330
BE,2023-10-30,-1 wk ahead inc case,2023-10-21,quantile,0.55,1880
BE,2023-10-30,0 wk ahead inc case,2023-10-28,quantile,0.55,1770
BE,2023-10-30,1 wk ahead inc case,2023-11-04,quantile,0.55,1690
BE,2023-10-30,2 wk ahead inc case,2023-11-11,quantile,0.55,1630
