forecast_data,target,target_end_date,location,type,quantile,value
2021-04-26,2 wk ahead inc case,2021-05-08,CY,quantile,0.025,1347
2021-04-26,2 wk ahead inc case,2021-05-08,CY,quantile,0.250,9040
2021-04-26,2 wk ahead inc case,2021-05-08,CY,quantile,0.750,24019
2021-04-26,2 wk ahead inc case,2021-05-08,CY,quantile,0.975,125843
2021-04-26,1 wk ahead inc case,2021-05-01,CZ,point,NA,13352
2021-04-26,1 wk ahead inc case,2021-05-01,CZ,quantile,0.025,3939
2021-04-26,1 wk ahead inc case,2021-05-01,CZ,quantile,0.250,10281
2021-04-26,1 wk ahead inc case,2021-05-01,CZ,quantile,0.750,16971
2021-04-26,1 wk ahead inc case,2021-05-01,CZ,quantile,0.975,48697
2021-04-26,2 wk ahead inc case,2021-05-08,CZ,point,NA,23422
2021-04-26,2 wk ahead inc case,2021-05-08,CZ,quantile,0.025,1944
2021-04-26,2 wk ahead inc case,2021-05-08,CZ,quantile,0.250,13046
2021-04-26,2 wk ahead inc case,2021-05-08,CZ,quantile,0.750,34665
2021-04-26,2 wk ahead inc case,2021-05-08,CZ,quantile,0.975,181614
2021-04-26,1 wk ahead inc case,2021-05-01,DE,point,NA,130738
2021-04-26,1 wk ahead inc case,2021-05-01,DE,quantile,0.025,38568
2021-04-26,1 wk ahead inc case,2021-05-01,DE,quantile,0.250,100668
2021-04-26,1 wk ahead inc case,2021-05-01,DE,quantile,0.750,166168
2021-04-26,1 wk ahead inc case,2021-05-01,DE,quantile,0.975,476802
2021-04-26,2 wk ahead inc case,2021-05-08,DE,point,NA,259538
2021-04-26,2 wk ahead inc case,2021-05-08,DE,quantile,0.025,21542
2021-04-26,2 wk ahead inc case,2021-05-08,DE,quantile,0.250,144563
2021-04-26,2 wk ahead inc case,2021-05-08,DE,quantile,0.750,384117
2021-04-26,2 wk ahead inc case,2021-05-08,DE,quantile,0.975,2012461
2021-04-26,1 wk ahead inc case,2021-05-01,DK,point,NA,5955
2021-04-26,1 wk ahead inc case,2021-05-01,DK,quantile,0.025,1757
2021-04-26,1 wk ahead inc case,2021-05-01,DK,quantile,0.250,4586
