location,target,type,quantile,value,target_end_date,forecast_date
AT,1 wk ahead inc case,point,NA,1674,2021-06-12,2021-06-07
AT,1 wk ahead inc case,quantile,0.025,494,2021-06-12,2021-06-07
AT,1 wk ahead inc case,quantile,0.25,1289,2021-06-12,2021-06-07
AT,1 wk ahead inc case,quantile,0.75,2127,2021-06-12,2021-06-07
AT,1 wk ahead inc case,quantile,0.975,6103,2021-06-12,2021-06-07
AT,2 wk ahead inc case,point,NA,1178,2021-06-19,2021-06-07
AT,2 wk ahead inc case,quantile,0.025,98,2021-06-19,2021-06-07
AT,2 wk ahead inc case,quantile,0.25,656,2021-06-19,2021-06-07
AT,2 wk ahead inc case,quantile,0.75,1744,2021-06-19,2021-06-07
AT,2 wk ahead inc case,quantile,0.975,9135,2021-06-19,2021-06-07
BE,1 wk ahead inc case,point,NA,8212,2021-06-12,2021-06-07
BE,1 wk ahead inc case,quantile,0.025,2423,2021-06-12,2021-06-07
BE,1 wk ahead inc case,quantile,0.25,6323,2021-06-12,2021-06-07
BE,1 wk ahead inc case,quantile,0.75,10437,2021-06-12,2021-06-07
BE,1 wk ahead inc case,quantile,0.975,29949,2021-06-12,2021-06-07
BE,2 wk ahead inc case,point,NA,6658,2021-06-19,2021-06-07
BE,2 wk ahead inc case,quantile,0.025,553,2021-06-19,2021-06-07
BE,2 wk ahead inc case,quantile,0.25,3708,2021-06-19,2021-06-07
BE,2 wk ahead inc case,quantile,0.75,9853,2021-06-19,2021-06-07
BE,2 wk ahead inc case,quantile,0.975,51622,2021-06-19,2021-06-07
BG,1 wk ahead inc case,point,NA,695,2021-06-12,2021-06-07
BG,1 wk ahead inc case,quantile,0.025,205,2021-06-12,2021-06-07
BG,1 wk ahead inc case,quantile,0.25,535,2021-06-12,2021-06-07
BG,1 wk ahead inc case,quantile,0.75,884,2021-06-12,2021-06-07
BG,1 wk ahead inc case,quantile,0.975,2536,2021-06-12,2021-06-07
BG,2 wk ahead inc case,point,NA,404,2021-06-19,2021-06-07
BG,2 wk ahead inc case,quantile,0.025,34,2021-06-19,2021-06-07
BG,2 wk ahead inc case,quantile,0.25,225,2021-06-19,2021-06-07
BG,2 wk ahead inc case,quantile,0.75,598,2021-06-19,2021-06-07
BG,2 wk ahead inc case,quantile,0.975,3134,2021-06-19,2021-06-07
CY,1 wk ahead inc case,point,NA,295,2021-06-12,2021-06-07
CY,1 wk ahead inc case,quantile,0.025,87,2021-06-12,2021-06-07
CY,1 wk ahead inc case,quantile,0.25,227,2021-06-12,2021-06-07
CY,1 wk ahead inc case,quantile,0.75,375,2021-06-12,2021-06-07
CY,1 wk ahead inc case,quantile,0.975,1076,2021-06-12,2021-06-07
CY,2 wk ahead inc case,point,NA,224,2021-06-19,2021-06-07
