location,target,type,quantile,value,target_end_date,forecast_date
AT,1 wk ahead inc case,point,NA,14261,2021-10-09,2021-10-04
AT,1 wk ahead inc case,quantile,0.025,4207,2021-10-09,2021-10-04
AT,1 wk ahead inc case,quantile,0.25,10981,2021-10-09,2021-10-04
AT,1 wk ahead inc case,quantile,0.75,18126,2021-10-09,2021-10-04
AT,1 wk ahead inc case,quantile,0.975,52010,2021-10-09,2021-10-04
AT,2 wk ahead inc case,point,NA,15765,2021-10-16,2021-10-04
AT,2 wk ahead inc case,quantile,0.025,1309,2021-10-16,2021-10-04
AT,2 wk ahead inc case,quantile,0.25,8781,2021-10-16,2021-10-04
AT,2 wk ahead inc case,quantile,0.75,23333,2021-10-16,2021-10-04
AT,2 wk ahead inc case,quantile,0.975,122244,2021-10-16,2021-10-04
BG,1 wk ahead inc case,point,NA,15020,2021-10-09,2021-10-04
BG,1 wk ahead inc case,quantile,0.025,4431,2021-10-09,2021-10-04
BG,1 wk ahead inc case,quantile,0.25,11566,2021-10-09,2021-10-04
BG,1 wk ahead inc case,quantile,0.75,19091,2021-10-09,2021-10-04
BG,1 wk ahead inc case,quantile,0.975,54780,2021-10-09,2021-10-04
BG,2 wk ahead inc case,point,NA,17639,2021-10-16,2021-10-04
BG,2 wk ahead inc case,quantile,0.025,1464,2021-10-16,2021-10-04
BG,2 wk ahead inc case,quantile,0.25,9825,2021-10-16,2021-10-04
BG,2 wk ahead inc case,quantile,0.75,26105,2021-10-16,2021-10-04
BG,2 wk ahead inc case,quantile,0.975,136771,2021-10-16,2021-10-04
CZ,1 wk ahead inc case,point,NA,3181,2021-10-09,2021-10-04
CZ,1 wk ahead inc case,quantile,0.025,938,2021-10-09,2021-10-04
CZ,1 wk ahead inc case,quantile,0.25,2449,2021-10-09,2021-10-04
CZ,1 wk ahead inc case,quantile,0.75,4043,2021-10-09,2021-10-04
CZ,1 wk ahead inc case,quantile,0.975,11600,2021-10-09,2021-10-04
CZ,2 wk ahead inc case,point,NA,2971,2021-10-16,2021-10-04
CZ,2 wk ahead inc case,quantile,0.025,247,2021-10-16,2021-10-04
CZ,2 wk ahead inc case,quantile,0.25,1655,2021-10-16,2021-10-04
CZ,2 wk ahead inc case,quantile,0.75,4398,2021-10-16,2021-10-04
CZ,2 wk ahead inc case,quantile,0.975,23040,2021-10-16,2021-10-04
DE,1 wk ahead inc case,point,NA,55380,2021-10-09,2021-10-04
DE,1 wk ahead inc case,quantile,0.025,16337,2021-10-09,2021-10-04
DE,1 wk ahead inc case,quantile,0.25,42643,2021-10-09,2021-10-04
DE,1 wk ahead inc case,quantile,0.75,70388,2021-10-09,2021-10-04
DE,1 wk ahead inc case,quantile,0.975,201971,2021-10-09,2021-10-04
DE,2 wk ahead inc case,point,NA,55270,2021-10-16,2021-10-04
DE,2 wk ahead inc case,quantile,0.025,4587,2021-10-16,2021-10-04
DE,2 wk ahead inc case,quantile,0.25,30785,2021-10-16,2021-10-04
DE,2 wk ahead inc case,quantile,0.75,81800,2021-10-16,2021-10-04
DE,2 wk ahead inc case,quantile,0.975,428565,2021-10-16,2021-10-04
DK,1 wk ahead inc case,point,NA,3512,2021-10-09,2021-10-04
DK,1 wk ahead inc case,quantile,0.025,1036,2021-10-09,2021-10-04
DK,1 wk ahead inc case,quantile,0.25,2705,2021-10-09,2021-10-04
DK,1 wk ahead inc case,quantile,0.75,4464,2021-10-09,2021-10-04
DK,1 wk ahead inc case,quantile,0.975,12810,2021-10-09,2021-10-04
DK,2 wk ahead inc case,point,NA,3866,2021-10-16,2021-10-04
DK,2 wk ahead inc case,quantile,0.025,321,2021-10-16,2021-10-04
DK,2 wk ahead inc case,quantile,0.25,2153,2021-10-16,2021-10-04
DK,2 wk ahead inc case,quantile,0.75,5722,2021-10-16,2021-10-04
DK,2 wk ahead inc case,quantile,0.975,29978,2021-10-16,2021-10-04
EE,1 wk ahead inc case,point,NA,5913,2021-10-09,2021-10-04
EE,1 wk ahead inc case,quantile,0.025,1744,2021-10-09,2021-10-04
EE,1 wk ahead inc case,quantile,0.25,4553,2021-10-09,2021-10-04
EE,1 wk ahead inc case,quantile,0.75,7516,2021-10-09,2021-10-04
EE,1 wk ahead inc case,quantile,0.975,21566,2021-10-09,2021-10-04
EE,2 wk ahead inc case,point,NA,6977,2021-10-16,2021-10-04
EE,2 wk ahead inc case,quantile,0.025,579,2021-10-16,2021-10-04
EE,2 wk ahead inc case,quantile,0.25,3886,2021-10-16,2021-10-04
EE,2 wk ahead inc case,quantile,0.75,10326,2021-10-16,2021-10-04
EE,2 wk ahead inc case,quantile,0.975,54100,2021-10-16,2021-10-04
GB,1 wk ahead inc case,point,NA,207465,2021-10-09,2021-10-04
GB,1 wk ahead inc case,quantile,0.025,61202,2021-10-09,2021-10-04
GB,1 wk ahead inc case,quantile,0.25,159748,2021-10-09,2021-10-04
GB,1 wk ahead inc case,quantile,0.75,263688,2021-10-09,2021-10-04
GB,1 wk ahead inc case,quantile,0.975,756625,2021-10-09,2021-10-04
GB,2 wk ahead inc case,point,NA,168712,2021-10-16,2021-10-04
GB,2 wk ahead inc case,quantile,0.025,14003,2021-10-16,2021-10-04
GB,2 wk ahead inc case,quantile,0.25,93973,2021-10-16,2021-10-04
GB,2 wk ahead inc case,quantile,0.75,249694,2021-10-16,2021-10-04
GB,2 wk ahead inc case,quantile,0.975,1308195,2021-10-16,2021-10-04
GR,1 wk ahead inc case,point,NA,14653,2021-10-09,2021-10-04
GR,1 wk ahead inc case,quantile,0.025,4323,2021-10-09,2021-10-04
GR,1 wk ahead inc case,quantile,0.25,11283,2021-10-09,2021-10-04
GR,1 wk ahead inc case,quantile,0.75,18624,2021-10-09,2021-10-04
GR,1 wk ahead inc case,quantile,0.975,53441,2021-10-09,2021-10-04
GR,2 wk ahead inc case,point,NA,14278,2021-10-16,2021-10-04
GR,2 wk ahead inc case,quantile,0.025,1185,2021-10-16,2021-10-04
GR,2 wk ahead inc case,quantile,0.25,7953,2021-10-16,2021-10-04
GR,2 wk ahead inc case,quantile,0.75,21132,2021-10-16,2021-10-04
GR,2 wk ahead inc case,quantile,0.975,110715,2021-10-16,2021-10-04
HR,1 wk ahead inc case,point,NA,9138,2021-10-09,2021-10-04
HR,1 wk ahead inc case,quantile,0.025,2696,2021-10-09,2021-10-04
HR,1 wk ahead inc case,quantile,0.25,7036,2021-10-09,2021-10-04
HR,1 wk ahead inc case,quantile,0.75,11614,2021-10-09,2021-10-04
HR,1 wk ahead inc case,quantile,0.975,33326,2021-10-09,2021-10-04
HR,2 wk ahead inc case,point,NA,9728,2021-10-16,2021-10-04
HR,2 wk ahead inc case,quantile,0.025,807,2021-10-16,2021-10-04
HR,2 wk ahead inc case,quantile,0.25,5418,2021-10-16,2021-10-04
HR,2 wk ahead inc case,quantile,0.75,14397,2021-10-16,2021-10-04
HR,2 wk ahead inc case,quantile,0.975,75427,2021-10-16,2021-10-04
IE,1 wk ahead inc case,point,NA,8308,2021-10-09,2021-10-04
IE,1 wk ahead inc case,quantile,0.025,2451,2021-10-09,2021-10-04
IE,1 wk ahead inc case,quantile,0.25,6397,2021-10-09,2021-10-04
IE,1 wk ahead inc case,quantile,0.75,10560,2021-10-09,2021-10-04
IE,1 wk ahead inc case,quantile,0.975,30301,2021-10-09,2021-10-04
IE,2 wk ahead inc case,point,NA,7856,2021-10-16,2021-10-04
IE,2 wk ahead inc case,quantile,0.025,652,2021-10-16,2021-10-04
IE,2 wk ahead inc case,quantile,0.25,4376,2021-10-16,2021-10-04
IE,2 wk ahead inc case,quantile,0.75,11628,2021-10-16,2021-10-04
IE,2 wk ahead inc case,quantile,0.975,60919,2021-10-16,2021-10-04
IT,1 wk ahead inc case,point,NA,19232,2021-10-09,2021-10-04
IT,1 wk ahead inc case,quantile,0.025,5673,2021-10-09,2021-10-04
IT,1 wk ahead inc case,quantile,0.25,14809,2021-10-09,2021-10-04
IT,1 wk ahead inc case,quantile,0.75,24444,2021-10-09,2021-10-04
IT,1 wk ahead inc case,quantile,0.975,70139,2021-10-09,2021-10-04
IT,2 wk ahead inc case,point,NA,16942,2021-10-16,2021-10-04
IT,2 wk ahead inc case,quantile,0.025,1406,2021-10-16,2021-10-04
IT,2 wk ahead inc case,quantile,0.25,9437,2021-10-16,2021-10-04
IT,2 wk ahead inc case,quantile,0.75,25074,2021-10-16,2021-10-04
IT,2 wk ahead inc case,quantile,0.975,131367,2021-10-16,2021-10-04
LT,1 wk ahead inc case,point,NA,13940,2021-10-09,2021-10-04
LT,1 wk ahead inc case,quantile,0.025,4112,2021-10-09,2021-10-04
LT,1 wk ahead inc case,quantile,0.25,10734,2021-10-09,2021-10-04
LT,1 wk ahead inc case,quantile,0.75,17717,2021-10-09,2021-10-04
LT,1 wk ahead inc case,quantile,0.975,50838,2021-10-09,2021-10-04
LT,2 wk ahead inc case,point,NA,16359,2021-10-16,2021-10-04
LT,2 wk ahead inc case,quantile,0.025,1358,2021-10-16,2021-10-04
LT,2 wk ahead inc case,quantile,0.25,9112,2021-10-16,2021-10-04
LT,2 wk ahead inc case,quantile,0.75,24212,2021-10-16,2021-10-04
LT,2 wk ahead inc case,quantile,0.975,126850,2021-10-16,2021-10-04
LV,1 wk ahead inc case,point,NA,9804,2021-10-09,2021-10-04
LV,1 wk ahead inc case,quantile,0.025,2892,2021-10-09,2021-10-04
LV,1 wk ahead inc case,quantile,0.25,7549,2021-10-09,2021-10-04
LV,1 wk ahead inc case,quantile,0.75,12460,2021-10-09,2021-10-04
LV,1 wk ahead inc case,quantile,0.975,35754,2021-10-09,2021-10-04
LV,2 wk ahead inc case,point,NA,14030,2021-10-16,2021-10-04
LV,2 wk ahead inc case,quantile,0.025,1164,2021-10-16,2021-10-04
LV,2 wk ahead inc case,quantile,0.25,7815,2021-10-16,2021-10-04
LV,2 wk ahead inc case,quantile,0.75,20764,2021-10-16,2021-10-04
LV,2 wk ahead inc case,quantile,0.975,108787,2021-10-16,2021-10-04
NL,1 wk ahead inc case,point,NA,11076,2021-10-09,2021-10-04
NL,1 wk ahead inc case,quantile,0.025,3267,2021-10-09,2021-10-04
NL,1 wk ahead inc case,quantile,0.25,8528,2021-10-09,2021-10-04
NL,1 wk ahead inc case,quantile,0.75,14077,2021-10-09,2021-10-04
NL,1 wk ahead inc case,quantile,0.975,40394,2021-10-09,2021-10-04
NL,2 wk ahead inc case,point,NA,10714,2021-10-16,2021-10-04
NL,2 wk ahead inc case,quantile,0.025,889,2021-10-16,2021-10-04
NL,2 wk ahead inc case,quantile,0.25,5968,2021-10-16,2021-10-04
NL,2 wk ahead inc case,quantile,0.75,15856,2021-10-16,2021-10-04
NL,2 wk ahead inc case,quantile,0.975,83075,2021-10-16,2021-10-04
NO,1 wk ahead inc case,point,NA,2646,2021-10-09,2021-10-04
NO,1 wk ahead inc case,quantile,0.025,781,2021-10-09,2021-10-04
NO,1 wk ahead inc case,quantile,0.25,2038,2021-10-09,2021-10-04
NO,1 wk ahead inc case,quantile,0.75,3364,2021-10-09,2021-10-04
NO,1 wk ahead inc case,quantile,0.975,9652,2021-10-09,2021-10-04
NO,2 wk ahead inc case,point,NA,1881,2021-10-16,2021-10-04
NO,2 wk ahead inc case,quantile,0.025,156,2021-10-16,2021-10-04
NO,2 wk ahead inc case,quantile,0.25,1048,2021-10-16,2021-10-04
NO,2 wk ahead inc case,quantile,0.75,2785,2021-10-16,2021-10-04
NO,2 wk ahead inc case,quantile,0.975,14589,2021-10-16,2021-10-04
PL,1 wk ahead inc case,point,NA,5831,2021-10-09,2021-10-04
PL,1 wk ahead inc case,quantile,0.025,1720,2021-10-09,2021-10-04
PL,1 wk ahead inc case,quantile,0.25,4490,2021-10-09,2021-10-04
PL,1 wk ahead inc case,quantile,0.75,7411,2021-10-09,2021-10-04
