location,target,type,quantile,value,target_end_date,forecast_date
AT,1 wk ahead inc case,point,NA,31760,2022-12-31,2022-12-26
AT,1 wk ahead inc case,quantile,0.025,9369,2022-12-31,2022-12-26
AT,1 wk ahead inc case,quantile,0.250,24455,2022-12-31,2022-12-26
AT,1 wk ahead inc case,quantile,0.750,40367,2022-12-31,2022-12-26
AT,1 wk ahead inc case,quantile,0.975,115828,2022-12-31,2022-12-26
AT,2 wk ahead inc case,point,NA,29678,2023-01-07,2022-12-26
AT,2 wk ahead inc case,quantile,0.025,2463,2023-01-07,2022-12-26
AT,2 wk ahead inc case,quantile,0.250,16530,2023-01-07,2022-12-26
AT,2 wk ahead inc case,quantile,0.750,43923,2023-01-07,2022-12-26
AT,2 wk ahead inc case,quantile,0.975,230120,2023-01-07,2022-12-26
CZ,1 wk ahead inc case,point,NA,3565,2022-12-31,2022-12-26
CZ,1 wk ahead inc case,quantile,0.025,1052,2022-12-31,2022-12-26
CZ,1 wk ahead inc case,quantile,0.250,2745,2022-12-31,2022-12-26
CZ,1 wk ahead inc case,quantile,0.750,4531,2022-12-31,2022-12-26
CZ,1 wk ahead inc case,quantile,0.975,13002,2022-12-31,2022-12-26
CZ,2 wk ahead inc case,point,NA,2797,2023-01-07,2022-12-26
CZ,2 wk ahead inc case,quantile,0.025,232,2023-01-07,2022-12-26
CZ,2 wk ahead inc case,quantile,0.250,1558,2023-01-07,2022-12-26
CZ,2 wk ahead inc case,quantile,0.750,4140,2023-01-07,2022-12-26
CZ,2 wk ahead inc case,quantile,0.975,21688,2023-01-07,2022-12-26
HR,1 wk ahead inc case,point,NA,2078,2022-12-31,2022-12-26
HR,1 wk ahead inc case,quantile,0.025,613,2022-12-31,2022-12-26
HR,1 wk ahead inc case,quantile,0.250,1600,2022-12-31,2022-12-26
HR,1 wk ahead inc case,quantile,0.750,2641,2022-12-31,2022-12-26
HR,1 wk ahead inc case,quantile,0.975,7578,2022-12-31,2022-12-26
HR,2 wk ahead inc case,point,NA,1942,2023-01-07,2022-12-26
HR,2 wk ahead inc case,quantile,0.025,161,2023-01-07,2022-12-26
HR,2 wk ahead inc case,quantile,0.250,1082,2023-01-07,2022-12-26
HR,2 wk ahead inc case,quantile,0.750,2874,2023-01-07,2022-12-26
HR,2 wk ahead inc case,quantile,0.975,15058,2023-01-07,2022-12-26
NO,1 wk ahead inc case,point,NA,1403,2022-12-31,2022-12-26
NO,1 wk ahead inc case,quantile,0.025,414,2022-12-31,2022-12-26
NO,1 wk ahead inc case,quantile,0.250,1080,2022-12-31,2022-12-26
NO,1 wk ahead inc case,quantile,0.750,1783,2022-12-31,2022-12-26
NO,1 wk ahead inc case,quantile,0.975,5117,2022-12-31,2022-12-26
NO,2 wk ahead inc case,point,NA,1310,2023-01-07,2022-12-26
NO,2 wk ahead inc case,quantile,0.025,109,2023-01-07,2022-12-26
NO,2 wk ahead inc case,quantile,0.250,730,2023-01-07,2022-12-26
NO,2 wk ahead inc case,quantile,0.750,1939,2023-01-07,2022-12-26
NO,2 wk ahead inc case,quantile,0.975,10161,2023-01-07,2022-12-26
PL,1 wk ahead inc case,point,NA,3519,2022-12-31,2022-12-26
PL,1 wk ahead inc case,quantile,0.025,1038,2022-12-31,2022-12-26
PL,1 wk ahead inc case,quantile,0.250,2709,2022-12-31,2022-12-26
PL,1 wk ahead inc case,quantile,0.750,4472,2022-12-31,2022-12-26
PL,1 wk ahead inc case,quantile,0.975,12832,2022-12-31,2022-12-26
PL,2 wk ahead inc case,point,NA,3284,2023-01-07,2022-12-26
PL,2 wk ahead inc case,quantile,0.025,273,2023-01-07,2022-12-26
PL,2 wk ahead inc case,quantile,0.250,1829,2023-01-07,2022-12-26
PL,2 wk ahead inc case,quantile,0.750,4860,2023-01-07,2022-12-26
PL,2 wk ahead inc case,quantile,0.975,25463,2023-01-07,2022-12-26
SI,1 wk ahead inc case,point,NA,10648,2022-12-31,2022-12-26
SI,1 wk ahead inc case,quantile,0.025,3141,2022-12-31,2022-12-26
SI,1 wk ahead inc case,quantile,0.250,8199,2022-12-31,2022-12-26
SI,1 wk ahead inc case,quantile,0.750,13534,2022-12-31,2022-12-26
SI,1 wk ahead inc case,quantile,0.975,38835,2022-12-31,2022-12-26
SI,2 wk ahead inc case,point,NA,9627,2023-01-07,2022-12-26
SI,2 wk ahead inc case,quantile,0.025,799,2023-01-07,2022-12-26
SI,2 wk ahead inc case,quantile,0.250,5362,2023-01-07,2022-12-26
SI,2 wk ahead inc case,quantile,0.750,14248,2023-01-07,2022-12-26
SI,2 wk ahead inc case,quantile,0.975,74649,2023-01-07,2022-12-26
SK,1 wk ahead inc case,point,NA,1256,2022-12-31,2022-12-26
SK,1 wk ahead inc case,quantile,0.025,371,2022-12-31,2022-12-26
SK,1 wk ahead inc case,quantile,0.250,967,2022-12-31,2022-12-26
SK,1 wk ahead inc case,quantile,0.750,1597,2022-12-31,2022-12-26
SK,1 wk ahead inc case,quantile,0.975,4582,2022-12-31,2022-12-26
SK,2 wk ahead inc case,point,NA,1049,2023-01-07,2022-12-26
SK,2 wk ahead inc case,quantile,0.025,87,2023-01-07,2022-12-26
SK,2 wk ahead inc case,quantile,0.250,584,2023-01-07,2022-12-26
SK,2 wk ahead inc case,quantile,0.750,1552,2023-01-07,2022-12-26
SK,2 wk ahead inc case,quantile,0.975,8133,2023-01-07,2022-12-26
AT,1 wk ahead inc death,point,NA,47,2022-12-31,2022-12-26
AT,1 wk ahead inc death,quantile,0.025,14,2022-12-31,2022-12-26
AT,1 wk ahead inc death,quantile,0.250,36,2022-12-31,2022-12-26
AT,1 wk ahead inc death,quantile,0.750,60,2022-12-31,2022-12-26
AT,1 wk ahead inc death,quantile,0.975,172,2022-12-31,2022-12-26
AT,2 wk ahead inc death,point,NA,38,2023-01-07,2022-12-26
AT,2 wk ahead inc death,quantile,0.025,3,2023-01-07,2022-12-26
AT,2 wk ahead inc death,quantile,0.250,21,2023-01-07,2022-12-26
AT,2 wk ahead inc death,quantile,0.750,57,2023-01-07,2022-12-26
AT,2 wk ahead inc death,quantile,0.975,297,2023-01-07,2022-12-26
CZ,1 wk ahead inc death,point,NA,95,2022-12-31,2022-12-26
CZ,1 wk ahead inc death,quantile,0.025,28,2022-12-31,2022-12-26
CZ,1 wk ahead inc death,quantile,0.250,73,2022-12-31,2022-12-26
CZ,1 wk ahead inc death,quantile,0.750,120,2022-12-31,2022-12-26
CZ,1 wk ahead inc death,quantile,0.975,345,2022-12-31,2022-12-26
CZ,2 wk ahead inc death,point,NA,106,2023-01-07,2022-12-26
CZ,2 wk ahead inc death,quantile,0.025,9,2023-01-07,2022-12-26
CZ,2 wk ahead inc death,quantile,0.250,59,2023-01-07,2022-12-26
