forecast_data;target;target_end_date;location;type;quantile;value
26/4/2021;1 wk ahead inc case;1/5/2021;DK;quantile;0.250;4569
26/4/2021;1 wk ahead inc case;1/5/2021;DK;quantile;0.750;7542
26/4/2021;1 wk ahead inc case;1/5/2021;DK;quantile;0.975;21641
26/4/2021;2 wk ahead inc case;8/5/2021;DK;point;NA;12266
26/4/2021;2 wk ahead inc case;8/5/2021;DK;quantile;0.025;1018
26/4/2021;2 wk ahead inc case;8/5/2021;DK;quantile;0.250;6832
26/4/2021;2 wk ahead inc case;8/5/2021;DK;quantile;0.750;18153
26/4/2021;2 wk ahead inc case;8/5/2021;DK;quantile;0.975;95107
26/4/2021;1 wk ahead inc case;1/5/2021;EE;point;NA;2114
26/4/2021;1 wk ahead inc case;1/5/2021;EE;quantile;0.025;624
26/4/2021;1 wk ahead inc case;1/5/2021;EE;quantile;0.250;1627
26/4/2021;1 wk ahead inc case;1/5/2021;EE;quantile;0.750;2686
26/4/2021;1 wk ahead inc case;1/5/2021;EE;quantile;0.975;7708
26/4/2021;2 wk ahead inc case;8/5/2021;EE;point;NA;3649
26/4/2021;2 wk ahead inc case;8/5/2021;EE;quantile;0.025;303
26/4/2021;2 wk ahead inc case;8/5/2021;EE;quantile;0.250;2032
26/4/2021;2 wk ahead inc case;8/5/2021;EE;quantile;0.750;5400
26/4/2021;2 wk ahead inc case;8/5/2021;EE;quantile;0.975;28293
26/4/2021;1 wk ahead inc case;1/5/2021;ES;point;NA;23689
26/4/2021;1 wk ahead inc case;1/5/2021;ES;quantile;0.025;6988
26/4/2021;1 wk ahead inc case;1/5/2021;ES;quantile;0.250;18241
26/4/2021;1 wk ahead inc case;1/5/2021;ES;quantile;0.750;30109
26/4/2021;1 wk ahead inc case;1/5/2021;ES;quantile;0.975;86394
26/4/2021;2 wk ahead inc case;8/5/2021;ES;point;NA;39726
26/4/2021;2 wk ahead inc case;8/5/2021;ES;quantile;0.025;3297
26/4/2021;2 wk ahead inc case;8/5/2021;ES;quantile;0.250;22128
26/4/2021;2 wk ahead inc case;8/5/2021;ES;quantile;0.750;58795
26/4/2021;2 wk ahead inc case;8/5/2021;ES;quantile;0.975;308038
26/4/2021;1 wk ahead inc case;1/5/2021;FI;point;NA;1346
26/4/2021;1 wk ahead inc case;1/5/2021;FI;quantile;0.025;397
26/4/2021;1 wk ahead inc case;1/5/2021;FI;quantile;0.250;1036
26/4/2021;1 wk ahead inc case;1/5/2021;FI;quantile;0.750;1710
26/4/2021;1 wk ahead inc case;1/5/2021;FI;quantile;0.975;4907
