quantile,value,type,location,target,forecast_date,target_end_date
0.01,146,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.025,159,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.05,172,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.1,185,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.15,196,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.2,205,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.25,211,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.3,218,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.35,225,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.4,232,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.45,238,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.5,244,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
NA,244,point,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.55,251,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.6,260,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.65,269,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.7,276,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.75,284,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.8,296,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.85,310,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.9,325,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.95,353,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.975,372,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.99,412,quantile,BE,1 wk ahead inc death,2021-05-09,2021-05-15
0.01,114,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.025,125,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.05,141,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.1,158,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.15,172,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.2,182,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.25,191,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.3,203,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.35,213,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.4,224,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.45,232,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
0.5,244,quantile,BE,2 wk ahead inc death,2021-05-09,2021-05-22
NA,244,point,BE,2 wk ahead inc death,2021-05-09,2021-05-22
