quantile,value,type,location,target,forecast_date,target_end_date
0.010,6,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.025,7,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.050,8,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.100,10,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.150,11,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.200,12,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.250,13,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.300,13,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.350,14,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.400,15,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.450,16,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.500,16,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
NA,16,point,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.550,17,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.600,18,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.650,19,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.700,19,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.750,20,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.800,21,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.850,22,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.900,24,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.950,27,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.975,30,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.990,33,quantile,BE,1 wk ahead inc death,2021-07-11,2021-07-17
0.010,6,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.025,7,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.050,8,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.100,10,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.150,11,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.200,12,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.250,13,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.300,14,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.350,15,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.400,16,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.450,17,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.500,18,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
NA,18,point,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.550,19,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.600,20,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.650,21,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.700,22,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.750,24,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.800,26,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.850,28,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.900,32,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.950,38,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.975,43,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.990,50,quantile,BE,2 wk ahead inc death,2021-07-11,2021-07-24
0.010,4,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.025,5,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.050,7,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.100,9,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.150,11,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.200,12,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.250,13,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.300,15,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.350,16,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.400,17,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.450,19,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.500,20,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
NA,20,point,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.550,22,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.600,23,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.650,26,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.700,28,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.750,32,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.800,36,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.850,40,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.900,48,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.950,61,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.975,74,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.990,90,quantile,BE,3 wk ahead inc death,2021-07-11,2021-07-31
0.010,4,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.025,5,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.050,6,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.100,9,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.150,11,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.200,13,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.250,15,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.300,16,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.350,18,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.400,20,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.450,22,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.500,24,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
NA,24,point,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.550,27,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.600,30,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.650,34,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.700,38,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.750,44,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.800,53,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.850,61,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.900,74,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.950,105,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.975,149,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.990,184,quantile,BE,4 wk ahead inc death,2021-07-11,2021-08-07
0.010,13,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.025,16,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.050,17,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.100,21,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.150,23,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.200,24,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.250,25,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.300,27,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.350,28,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.400,29,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.450,31,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.500,32,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
NA,32,point,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.550,33,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.600,35,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.650,37,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.700,39,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.750,40,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.800,43,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.850,45,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.900,48,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.950,52,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.975,58,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.990,66,quantile,BG,1 wk ahead inc death,2021-07-11,2021-07-17
0.010,10,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.025,12,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.050,14,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.100,17,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.150,18,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.200,20,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.250,21,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.300,23,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.350,24,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.400,25,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.450,26,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.500,27,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
NA,27,point,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.550,29,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.600,30,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.650,32,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.700,33,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.750,35,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.800,37,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.850,40,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.900,43,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.950,48,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.975,53,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.990,58,quantile,BG,2 wk ahead inc death,2021-07-11,2021-07-24
0.010,7,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.025,9,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.050,11,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.100,14,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.150,15,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.200,16,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.250,18,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.300,19,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.350,20,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.400,21,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.450,22,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.500,23,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
NA,23,point,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.550,24,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.600,26,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.650,28,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.700,29,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.750,31,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.800,33,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.850,36,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.900,40,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.950,46,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.975,52,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.990,64,quantile,BG,3 wk ahead inc death,2021-07-11,2021-07-31
0.010,5,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.025,7,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.050,8,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.100,11,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.150,12,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.200,13,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.250,15,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.300,16,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.350,17,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.400,18,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.450,20,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.500,21,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
NA,21,point,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.550,22,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.600,24,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.650,25,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.700,27,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.750,29,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.800,31,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.850,34,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.900,39,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.950,46,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.975,57,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.990,70,quantile,BG,4 wk ahead inc death,2021-07-11,2021-08-07
0.010,5,quantile,CZ,1 wk ahead inc death,2021-07-11,2021-07-17
0.025,6,quantile,CZ,1 wk ahead inc death,2021-07-11,2021-07-17
