quantile,value,type,location,target,forecast_date,target_end_date
0.01,24,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.025,27,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.05,30,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.1,32,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.15,35,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.2,37,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.25,39,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.3,41,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.35,42,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.4,44,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.45,45,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.5,46,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
NA,46,point,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.55,48,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.6,49,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.65,51,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.7,53,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.75,55,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.8,57,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.85,60,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.9,63,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.95,69,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.975,74,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.99,82,quantile,BE,1 wk ahead inc death,2021-06-13,2021-06-19
0.01,16,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.025,17,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.05,21,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.1,23,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.15,25,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.2,27,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.25,29,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.3,30,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.35,32,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.4,34,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.45,35,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.5,37,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
NA,37,point,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.55,39,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.6,41,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.65,43,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.7,46,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.75,50,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.8,52,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.85,56,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.9,65,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.95,78,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
0.975,95,quantile,BE,2 wk ahead inc death,2021-06-13,2021-06-26
