quantile,value,type,location,target,forecast_date,target_end_date
0.010,139,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.025,148,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.050,161,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.100,175,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.150,187,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.200,195,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.250,201,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.300,208,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.350,215,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.400,223,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.450,231,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.500,239,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
,239,point,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.550,245,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.600,253,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.650,263,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.700,272,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.750,283,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.800,295,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.850,311,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.900,326,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.950,356,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.975,383,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.990,435,quantile,BE,1 wk ahead inc death,2021-03-28,2021-04-03
0.010,121,quantile,BE,2 wk ahead inc death,2021-03-28,2021-04-10
0.025,138,quantile,BE,2 wk ahead inc death,2021-03-28,2021-04-10
0.050,151,quantile,BE,2 wk ahead inc death,2021-03-28,2021-04-10
0.100,165,quantile,BE,2 wk ahead inc death,2021-03-28,2021-04-10
0.150,180,quantile,BE,2 wk ahead inc death,2021-03-28,2021-04-10
0.200,191,quantile,BE,2 wk ahead inc death,2021-03-28,2021-04-10
0.250,202,quantile,BE,2 wk ahead inc death,2021-03-28,2021-04-10
0.300,212,quantile,BE,2 wk ahead inc death,2021-03-28,2021-04-10
