quantile,value,type,location,target,forecast_date,target_end_date
0.01,67,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.025,75,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.05,81,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.1,89,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.15,95,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.2,99,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.25,103,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.3,106,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.35,111,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.4,114,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.45,118,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.5,123,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
NA,123,point,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.55,126,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.6,130,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.65,133,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.7,139,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.75,144,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.8,152,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.85,159,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.9,170,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.95,190,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.975,209,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.99,232,quantile,BE,1 wk ahead inc death,2021-05-23,2021-05-29
0.01,48,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.025,57,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.05,62,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.1,72,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.15,79,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.2,86,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.25,91,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.3,96,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.35,100,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.4,105,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.45,111,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.5,117,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
NA,117,point,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.55,122,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.6,128,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.65,135,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.7,142,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.75,153,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.8,163,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.85,176,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
0.9,199,quantile,BE,2 wk ahead inc death,2021-05-23,2021-06-05
