quantile,value,type,location,target,forecast_date,target_end_date
0.010,163,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.025,171,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.050,180,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.100,196,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.150,206,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.200,214,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.250,220,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.300,230,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.350,240,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.400,247,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.450,255,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.500,261,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
NA,261,point,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.550,270,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.600,278,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.650,285,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.700,295,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.750,303,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.800,316,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.850,330,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.900,349,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.950,372,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.975,394,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.990,437,quantile,BE,1 wk ahead inc death,2021-04-25,2021-05-01
0.010,133,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.025,143,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.050,154,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.100,177,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.150,192,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.200,202,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.250,210,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.300,220,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.350,227,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.400,238,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.450,251,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.500,262,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
NA,262,point,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.550,270,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.600,283,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.650,293,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.700,304,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.750,319,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.800,340,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.850,363,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.900,385,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.950,440,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.975,479,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.990,593,quantile,BE,2 wk ahead inc death,2021-04-25,2021-05-08
0.010,104,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.025,119,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.050,130,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.100,149,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.150,165,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.200,178,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.250,192,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.300,204,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.350,217,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.400,231,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.450,245,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.500,258,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
NA,258,point,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.550,273,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.600,288,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.650,305,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.700,321,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.750,342,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.800,371,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.850,405,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.900,448,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.950,529,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.975,635,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.990,779,quantile,BE,3 wk ahead inc death,2021-04-25,2021-05-15
0.010,74,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.025,91,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.050,107,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.100,128,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.150,144,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.200,159,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.250,174,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.300,189,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.350,203,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.400,222,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.450,240,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.500,266,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
NA,266,point,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.550,284,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.600,309,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.650,330,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.700,356,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.750,380,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.800,414,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.850,459,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.900,524,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.950,665,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.975,811,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.990,1213,quantile,BE,4 wk ahead inc death,2021-04-25,2021-05-22
0.010,355,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.025,375,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.050,410,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.100,442,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.150,471,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.200,498,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.250,516,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.300,534,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.350,549,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.400,568,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.450,584,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.500,602,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
NA,602,point,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.550,623,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.600,640,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.650,664,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.700,686,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.750,715,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.800,741,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.850,778,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.900,824,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.950,893,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.975,955,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.990,1000,quantile,BG,1 wk ahead inc death,2021-04-25,2021-05-01
0.010,301,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.025,325,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.050,350,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.100,381,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.150,411,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.200,435,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.250,458,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.300,478,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.350,498,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.400,517,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.450,537,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.500,551,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
NA,551,point,BG,2 wk ahead inc death,2021-04-25,2021-05-08
0.550,573,quantile,BG,2 wk ahead inc death,2021-04-25,2021-05-08
