quantile,value,type,location,target,forecast_date,target_end_date
0.010,156,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.025,162,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.050,171,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.100,184,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.150,195,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.200,201,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.250,208,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.300,213,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.350,219,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.400,226,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.450,234,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.500,240,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
NA,240,point,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.550,247,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.600,256,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.650,265,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.700,271,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.750,282,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.800,293,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.850,307,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.900,326,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.950,351,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.975,372,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.990,413,quantile,BE,1 wk ahead inc death,2021-05-02,2021-05-08
0.010,113,quantile,BE,2 wk ahead inc death,2021-05-02,2021-05-15
0.025,123,quantile,BE,2 wk ahead inc death,2021-05-02,2021-05-15
0.050,137,quantile,BE,2 wk ahead inc death,2021-05-02,2021-05-15
0.100,151,quantile,BE,2 wk ahead inc death,2021-05-02,2021-05-15
