quantile,value,type,location,target,forecast_date,target_end_date
0.01,17,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.025,18,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.05,20,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.1,22,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.15,24,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.2,26,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.25,28,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.3,29,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.35,30,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.4,31,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.45,32,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.5,34,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
NA,34,point,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.55,35,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.6,36,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.65,37,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.7,39,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.75,41,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.8,43,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.85,45,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.9,48,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.95,52,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.975,58,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.99,64,quantile,BE,1 wk ahead inc death,2021-06-20,2021-06-26
0.01,8,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.025,11,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.05,13,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.1,15,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.15,16,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.2,18,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.25,19,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.3,20,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.35,21,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.4,22,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.45,23,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.5,25,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
NA,25,point,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.55,26,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.6,28,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.65,29,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.7,31,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.75,33,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.8,35,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.85,39,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.9,44,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.95,51,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.975,62,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.99,79,quantile,BE,2 wk ahead inc death,2021-06-20,2021-07-03
0.01,4,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.025,6,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.05,7,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.1,9,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.15,10,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.2,11,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.25,12,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.3,13,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.35,14,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.4,16,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.45,17,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.5,18,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
NA,18,point,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.55,19,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
0.6,21,quantile,BE,3 wk ahead inc death,2021-06-20,2021-07-10
