forecast_date;target_end_date;target;location;type;quantile;value;scenario_id
2021-03-22;2021-03-27;1 wk ahead inc death;PL;point;NA;3070,174393;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,01;2916,665674;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,025;2932,016545;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,05;2947,367417;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,1;2961,012637;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,15;2973,141721;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,2;2983,923129;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,25;2993,506603;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,3;3002,025246;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,35;3009,597374;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,4;3016,328154;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,45;3022,311069;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,5;3070,174393;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,55;3078,547596;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,6;3086,920799;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,65;3095,294002;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,7;3103,667205;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,75;3112,040408;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,8;3120,413611;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,85;3128,786813;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,9;3137,160016;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,95;3145,533219;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,975;3153,906422;forecast
2021-03-22;2021-03-27;1 wk ahead inc death;PL;quantile;0,99;3162,279625;forecast
