quantile,value,type,location,target,forecast_date,target_end_date
0.010,113,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.025,129,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.050,142,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.100,155,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.150,166,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.200,177,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.250,186,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.300,195,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.350,202,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.400,209,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.450,217,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.500,225,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
NA,225,point,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.550,234,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.600,244,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.650,253,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.700,265,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.750,277,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.800,290,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.850,308,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.900,325,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.950,357,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.975,383,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.990,397,quantile,BE,1 wk ahead inc death,2021-12-05,2021-12-11
0.010,78,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.025,91,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.050,100,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.100,113,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.150,122,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.200,132,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.250,140,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.300,146,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.350,153,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.400,158,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.450,165,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
0.500,171,quantile,BE,2 wk ahead inc death,2021-12-05,2021-12-18
