forecast_date,target,target_end_date,location,quantile,value,type
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.01,162890,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.01,197491,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.01,232232,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.01,266148,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.025,163353,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.025,198410,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.025,233674,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.025,268156,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.05,163874,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.05,199444,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.05,235298,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.05,270420,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.1,164755,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.1,201196,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.1,238052,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.1,274262,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.15,165391,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.15,202467,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.15,240058,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.15,277070,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.2,165973,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.2,203632,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.2,241901,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.2,279654,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.25,166395,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.25,204477,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.25,243239,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.25,281533,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.3,166806,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.3,205300,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.3,244543,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.3,283364,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.35,167361,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.35,206411,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.35,246301,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.35,285830,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.4,168095,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.4,207882,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.4,248631,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.4,289104,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.45,168595,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.45,208892,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.45,250243,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.45,291380,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.5,169255,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.5,210230,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.5,252384,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.5,294413,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.55,169725,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.55,211187,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.55,253918,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.55,296592,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.6,170156,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.6,212068,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.6,255336,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.6,298609,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.65,170591,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.65,212956,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.65,256766,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.65,300647,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.7,171739,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.7,215313,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.7,260578,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.7,306097,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.75,172192,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.75,216243,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.75,262083,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.75,308251,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.8,172699,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.8,217287,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.8,263774,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.8,310672,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.85,173598,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.85,219141,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.85,266786,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.85,314997,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.9,174965,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.9,221980,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.9,271424,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.9,321688,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.95,176477,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.95,225116,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.95,276543,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.95,329068,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.975,177249,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.975,226725,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.975,279185,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.975,332896,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,0.99,177697,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,FR,0.99,227666,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,FR,0.99,280736,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,FR,0.99,335151,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,FR,NA,169395,point
2021-08-02,2 wk ahead inc case,2021-08-14,FR,NA,210529,point
2021-08-02,3 wk ahead inc case,2021-08-21,FR,NA,252879,point
2021-08-02,4 wk ahead inc case,2021-08-28,FR,NA,295136,point
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.01,22234,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.01,27727,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.01,34148,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.01,41563,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.025,22289,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.025,27851,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.025,34365,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.025,41903,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.05,22407,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.05,28115,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.05,34830,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.05,42631,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.1,22589,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.1,28528,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.1,35563,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.1,43791,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.15,22703,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.15,28789,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.15,36028,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.15,44531,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.2,22825,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.2,29068,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.2,36529,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.2,45332,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.25,22972,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.25,29406,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.25,37137,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.25,46307,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.3,23111,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.3,29728,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.3,37723,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.3,47253,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.35,23258,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.35,30072,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.35,38351,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.35,48275,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.4,23344,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.4,30274,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.4,38720,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.4,48876,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.45,23427,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.45,30469,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.45,39078,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.45,49463,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.5,23513,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.5,30672,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.5,39452,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.5,50077,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.55,23586,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.55,30843,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.55,39769,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.55,50598,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.6,23631,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.6,30949,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.6,39965,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.6,50921,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.65,23678,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.65,31061,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.65,40172,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.65,51261,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.7,23736,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.7,31199,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.7,40427,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.7,51682,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.75,23811,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.75,31378,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.75,40761,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.75,52236,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.8,23910,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.8,31614,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.8,41201,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.8,52966,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.85,23985,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.85,31792,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.85,41533,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.85,53519,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.9,24049,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.9,31944,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.9,41819,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.9,53996,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.95,24194,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.95,32290,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.95,42465,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.95,55069,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.975,24255,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.975,32437,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.975,42741,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.975,55532,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,0.99,24327,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,DE,0.99,32611,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,DE,0.99,43070,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,DE,0.99,56085,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,DE,NA,23393,point
2021-08-02,2 wk ahead inc case,2021-08-14,DE,NA,30387,point
2021-08-02,3 wk ahead inc case,2021-08-21,DE,NA,38928,point
2021-08-02,4 wk ahead inc case,2021-08-28,DE,NA,49215,point
2021-08-02,1 wk ahead inc case,2021-08-07,IT,0.01,39012,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,IT,0.01,31147,quantile
2021-08-02,3 wk ahead inc case,2021-08-21,IT,0.01,26460,quantile
2021-08-02,4 wk ahead inc case,2021-08-28,IT,0.01,23513,quantile
2021-08-02,1 wk ahead inc case,2021-08-07,IT,0.025,41383,quantile
2021-08-02,2 wk ahead inc case,2021-08-14,IT,0.025,36041,quantile
