forecast_date,target,target_end_date,location,quantile,value,type,scenario_id
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.75,1853,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.75,609,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.75,251,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.8,7017,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.8,1864,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.8,614,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.8,254,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.85,7036,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.85,1879,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.85,621,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.85,257,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.9,7070,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.9,1906,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.9,635,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.9,264,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.95,7118,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.95,1945,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.95,655,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.95,274,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.975,7143,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.975,1966,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.975,666,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.975,280,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,0.99,7166,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,0.99,1984,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,0.99,675,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,0.99,285,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,FR,NA,6675,point,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,FR,NA,1605,point,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,FR,NA,489,point,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,FR,NA,194,point,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.01,1558,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.01,480,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.01,231,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.01,154,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.025,1560,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.025,481,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.025,232,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.025,154,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.05,1564,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.05,484,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.05,234,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.05,156,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.1,1577,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.1,495,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.1,241,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.1,160,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.15,1599,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.15,512,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.15,251,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.15,167,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.2,1691,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.2,585,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.2,294,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.2,194,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.25,1710,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.25,601,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.25,304,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.25,201,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.3,1717,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.3,607,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.3,308,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.3,203,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.35,1723,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.35,612,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.35,311,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.35,206,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.4,1737,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.4,624,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.4,318,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.4,210,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.45,1760,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.45,644,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.45,331,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.45,219,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.5,1773,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.5,658,quantile,forecast
