"location","forecast_date","target_end_date","target","type","quantile","value","scenario_id"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.5,3886,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.55,4296,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.6,4762,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.65,5295,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.7,5929,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.75,6718,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.8,7743,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.85,9196,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.9,11460,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.95,16224,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.975,22301,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","quantile",0.99,33132,"forecast"
"DE",2021-07-05,2021-07-24,"3 wk ahead inc case","point",NA,3886,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.01,298,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.025,474,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.05,686,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.1,1028,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.15,1350,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.2,1663,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.25,1991,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.3,2333,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.35,2712,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.4,3129,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.45,3592,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.5,4119,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.55,4729,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.6,5449,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.65,6313,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.7,7382,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.75,8760,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.8,10662,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.85,13448,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.9,18343,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.95,29834,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.975,46554,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","quantile",0.99,81928,"forecast"
"DE",2021-07-05,2021-07-31,"4 wk ahead inc case","point",NA,4119,"forecast"
