model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.32,0.94,0.05,822,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.77,0.71,0.57,0.94,0.02,822,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.06,0.97,0.4,0.83,0.1,809,32,NA
ILM-EKF,inc case,1,Overall,1.01,0.96,0.45,0.87,0.02,821,32,NA
Karlen-pypm,inc case,1,Overall,1.36,1.13,0.54,0.92,0.14,239,29,NA
LANL-GrowthRate,inc case,1,Overall,0.89,0.82,0.56,0.92,-0.32,791,32,NA
MUNI-ARIMA,inc case,1,Overall,0.62,0.73,0.57,0.91,-0.02,567,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.02,1.13,0.36,0.73,-0.19,822,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.75,NA,NA,NA,NA,727,32,NA
USC-SIkJalpha,inc case,1,Overall,1.17,1.37,0.34,0.52,0.04,822,32,NA
UVA-Ensemble,inc case,1,Overall,2.26,NA,0.41,0.76,NA,794,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.89,0.77,0.38,0.83,0.18,238,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.92,0.94,0.57,0.92,0.11,101,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.68,0.73,0.38,0.73,0.26,93,18,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.14,1.13,0.52,0.86,0,820,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.4,0.89,0.05,789,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.88,0.88,0.47,0.88,0.05,789,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.08,1.09,0.3,0.7,0.12,777,32,NA
ILM-EKF,inc case,2,Overall,1.31,1.38,0.39,0.82,0.02,788,32,NA
Karlen-pypm,inc case,2,Overall,2.35,1.97,0.35,0.77,0.15,210,29,NA
LANL-GrowthRate,inc case,2,Overall,0.86,0.84,0.48,0.87,-0.22,759,32,NA
MUNI-ARIMA,inc case,2,Overall,0.7,0.78,0.59,0.91,-0.06,534,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.95,1.05,0.32,0.63,-0.29,789,32,NA
USC-SIkJalpha,inc case,2,Overall,1.23,1.61,0.28,0.41,-0.01,789,32,NA
UVA-Ensemble,inc case,2,Overall,1.64,NA,0.41,0.7,NA,761,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.95,0.95,0.3,0.71,0.2,234,32,NA
