model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.32,0.94,0.05,854,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.78,0.72,0.57,0.94,0.02,854,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.07,1,0.39,0.83,0.11,840,32,NA
ILM-EKF,inc case,1,Overall,1.02,1,0.46,0.87,0.02,853,32,NA
Karlen-pypm,inc case,1,Overall,1.34,1.16,0.54,0.93,0.13,268,29,NA
LANL-GrowthRate,inc case,1,Overall,0.9,0.84,0.56,0.92,-0.32,823,32,NA
MUNI-ARIMA,inc case,1,Overall,0.63,0.77,0.57,0.91,-0.01,599,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.02,1.13,0.36,0.72,-0.19,854,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.74,NA,NA,NA,NA,759,32,NA
USC-SIkJalpha,inc case,1,Overall,1.15,1.35,0.33,0.52,0.04,854,32,NA
UVA-Ensemble,inc case,1,Overall,2.33,NA,0.4,0.75,NA,826,32,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.67,0.73,0.37,0.73,0.27,94,18,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.16,1.18,0.52,0.87,0.01,852,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.4,0.89,0.05,821,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.88,0.87,0.47,0.89,0.05,821,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.1,1.1,0.3,0.7,0.13,808,32,NA
ILM-EKF,inc case,2,Overall,1.31,1.38,0.39,0.82,0.03,820,32,NA
Karlen-pypm,inc case,2,Overall,2.19,1.94,0.36,0.78,0.14,239,29,NA
LANL-GrowthRate,inc case,2,Overall,0.86,0.84,0.48,0.87,-0.22,791,32,NA
MUNI-ARIMA,inc case,2,Overall,0.72,0.8,0.59,0.92,-0.05,566,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.94,1.03,0.32,0.63,-0.28,821,32,NA
USC-SIkJalpha,inc case,2,Overall,1.22,1.59,0.27,0.4,-0.01,821,32,NA
UVA-Ensemble,inc case,2,Overall,1.72,NA,0.4,0.7,NA,793,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.98,0.98,0.3,0.71,0.2,236,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.94,1.07,0.4,0.79,0.17,100,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.82,0.9,0.28,0.63,0.28,92,18,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.24,1.39,0.43,0.83,-0.02,819,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.4,0.86,0.07,788,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.01,1.04,0.38,0.83,0.09,788,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.25,1.29,0.27,0.64,0.13,776,32,NA
ILM-EKF,inc case,3,Overall,1.69,1.95,0.37,0.78,0.04,787,32,NA
Karlen-pypm,inc case,3,Overall,2.95,2.59,0.27,0.69,0.15,210,29,NA
LANL-GrowthRate,inc case,3,Overall,0.89,0.9,0.41,0.79,-0.15,757,32,NA
MUNI-ARIMA,inc case,3,Overall,0.82,0.84,0.56,0.91,-0.11,503,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.94,1.02,0.28,0.59,-0.34,788,32,NA
USC-SIkJalpha,inc case,3,Overall,1.48,2.09,0.24,0.35,-0.05,788,32,NA
UVA-Ensemble,inc case,3,Overall,1.4,NA,0.33,0.62,NA,728,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.1,1.22,0.25,0.68,0.24,233,32,NA
epiforecasts-EpiExpert_Rt,inc case,3,Overall,0.98,1.15,0.34,0.75,0.19,97,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,1.11,1.26,0.18,0.52,0.24,90,18,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.32,1.43,0.4,0.79,-0.03,786,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.84,0.08,755,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.16,1.21,0.35,0.79,0.11,755,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.42,1.44,0.26,0.59,0.11,744,32,NA
ILM-EKF,inc case,4,Overall,2.64,3.18,0.34,0.76,0.03,753,32,NA
Karlen-pypm,inc case,4,Overall,3.43,2.69,0.23,0.61,0.17,181,29,NA
LANL-GrowthRate,inc case,4,Overall,0.9,0.92,0.34,0.75,-0.07,724,32,NA
MUNI-ARIMA,inc case,4,Overall,0.9,0.87,0.54,0.9,-0.15,471,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.9,1,0.3,0.57,-0.39,755,32,NA
USC-SIkJalpha,inc case,4,Overall,1.73,2.62,0.24,0.32,-0.08,755,32,NA
UVA-Ensemble,inc case,4,Overall,1.28,NA,0.23,0.48,NA,663,32,NA
