model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.54,NA,0.6,0.96,NA,375,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.3,0.93,0.12,662,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.78,0.72,0.56,0.93,0.05,662,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.05,0.97,0.4,0.81,0.12,654,32,NA
ILM-EKF,inc case,1,Overall,1,0.95,0.45,0.87,0.01,661,32,NA
Karlen-pypm,inc case,1,Overall,1.76,1.06,0.52,0.87,0.27,94,29,NA
LANL-GrowthRate,inc case,1,Overall,0.87,0.79,0.57,0.9,-0.29,631,32,NA
MUNI-ARIMA,inc case,1,Overall,0.59,0.73,0.54,0.88,-0,407,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.98,1.11,0.36,0.74,-0.14,662,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.74,NA,NA,NA,NA,567,32,NA
USC-SIkJalpha,inc case,1,Overall,1.09,1.24,0.39,0.49,0.09,662,32,NA
UVA-Ensemble,inc case,1,Overall,1.82,NA,0.45,0.76,NA,634,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.88,0.78,0.35,0.81,0.2,220,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.86,0.92,0.57,0.92,0.11,88,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.7,0.78,0.32,0.68,0.32,76,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.11,1.1,0.47,0.84,0.01,660,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.66,NA,0.57,0.95,NA,348,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.39,0.87,0.13,629,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.86,0.87,0.46,0.88,0.09,629,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.05,1.06,0.29,0.69,0.15,622,32,NA
ILM-EKF,inc case,2,Overall,1.2,1.29,0.39,0.83,0.02,628,32,NA
Karlen-pypm,inc case,2,Overall,3.5,2.1,0.29,0.71,0.35,65,29,NA
LANL-GrowthRate,inc case,2,Overall,0.82,0.83,0.5,0.86,-0.2,599,32,NA
MUNI-ARIMA,inc case,2,Overall,0.7,0.82,0.55,0.89,-0.04,374,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.91,0.98,0.34,0.67,-0.23,629,32,NA
USC-SIkJalpha,inc case,2,Overall,0.97,1.19,0.33,0.42,0.03,629,32,NA
UVA-Ensemble,inc case,2,Overall,1.5,NA,0.42,0.67,NA,601,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.97,0.98,0.27,0.69,0.21,213,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.87,1.04,0.36,0.77,0.21,84,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.82,0.93,0.23,0.56,0.31,70,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.13,1.3,0.39,0.8,-0.01,627,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.4,0.84,0.16,596,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.93,0.96,0.38,0.83,0.15,596,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.16,1.18,0.27,0.63,0.18,590,32,NA
ILM-EKF,inc case,3,Overall,1.26,1.39,0.38,0.81,0.03,596,32,NA
Karlen-pypm,inc case,3,Overall,4.25,3.02,0.19,0.67,0.41,36,18,NA
LANL-GrowthRate,inc case,3,Overall,0.81,0.83,0.44,0.8,-0.09,565,32,NA
MUNI-ARIMA,inc case,3,Overall,0.7,0.77,0.55,0.88,-0.11,311,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.91,0.99,0.32,0.63,-0.25,596,32,NA
USC-SIkJalpha,inc case,3,Overall,0.88,1.04,0.29,0.37,-0,596,32,NA
UVA-Ensemble,inc case,3,Overall,1.25,NA,0.35,0.6,NA,536,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.04,1.12,0.23,0.66,0.25,209,32,NA
epiforecasts-EpiExpert_Rt,inc case,3,Overall,0.84,1.03,0.3,0.72,0.24,80,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,1.03,1.19,0.12,0.45,0.25,67,17,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.07,1.14,0.36,0.76,-0.03,594,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.81,0.2,563,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.95,0.88,0.34,0.79,0.19,563,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.33,1.23,0.26,0.58,0.2,558,32,NA
