model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.6,NA,0.64,0.97,NA,490,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.31,0.94,0.05,886,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.77,0.72,0.57,0.94,0.03,886,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.07,1,0.39,0.83,0.12,871,32,NA
ILM-EKF,inc case,1,Overall,1.01,0.99,0.46,0.87,0.03,885,32,NA
Karlen-pypm,inc case,1,Overall,1.28,1.12,0.54,0.93,0.13,297,29,NA
LANL-GrowthRate,inc case,1,Overall,0.88,0.83,0.57,0.92,-0.32,855,32,NA
MUNI-ARIMA,inc case,1,Overall,0.61,0.74,0.57,0.91,-0.01,631,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.02,1.12,0.35,0.72,-0.18,886,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.74,NA,NA,NA,NA,791,32,NA
USC-SIkJalpha,inc case,1,Overall,1.14,1.34,0.33,0.52,0.04,886,32,NA
UVA-Ensemble,inc case,1,Overall,2.31,NA,0.4,0.75,NA,858,32,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.71,0.79,0.37,0.73,0.28,97,18,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.16,1.18,0.52,0.87,0.01,884,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.39,0.89,0.05,853,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.89,0.9,0.47,0.88,0.05,853,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.12,1.15,0.29,0.7,0.14,839,32,NA
ILM-EKF,inc case,2,Overall,1.33,1.47,0.4,0.83,0.04,852,32,NA
Karlen-pypm,inc case,2,Overall,2.11,2,0.37,0.79,0.14,268,29,NA
