model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,1.32,NA,0.46,0.96,NA,137,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.5,0.87,-0.33,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.39,1.41,0.37,0.81,-0.21,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.29,1.41,0.24,0.59,-0.31,155,31,NA
ILM-EKF,inc case,2,Overall,2.83,3.23,0.19,0.55,-0.31,160,32,NA
Karlen-pypm,inc case,2,Overall,3.44,3.77,0.35,0.75,0.27,106,29,NA
LANL-GrowthRate,inc case,2,Overall,1.32,1.29,0.35,0.74,-0.36,160,32,NA
MUNI-ARIMA,inc case,2,Overall,0.99,1.07,0.52,0.9,-0.25,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.04,1.25,0.2,0.48,-0.51,160,32,NA
USC-SIkJalpha,inc case,2,Overall,1.45,1.74,0.21,0.29,-0.41,160,32,NA
UVA-Ensemble,inc case,2,Overall,1.94,NA,0.38,0.84,NA,160,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,2.65,2.76,0.32,0.76,-0.07,160,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.49,0.83,-0.4,160,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.84,2.07,0.27,0.69,-0.41,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.47,1.81,0.12,0.35,-0.6,155,31,NA
ILM-EKF,inc case,4,Overall,5.02,6.25,0.11,0.41,-0.59,159,32,NA
Karlen-pypm,inc case,4,Overall,5.82,5.83,0.2,0.54,0.38,50,29,NA
LANL-GrowthRate,inc case,4,Overall,1.17,1.37,0.16,0.51,-0.61,160,32,NA
MUNI-ARIMA,inc case,4,Overall,1.21,1.29,0.41,0.82,-0.44,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,1.07,1.41,0.15,0.38,-0.72,160,32,NA
USC-SIkJalpha,inc case,4,Overall,1.43,1.92,0.18,0.19,-0.73,160,32,NA
UVA-Ensemble,inc case,4,Overall,1.3,NA,0.16,0.43,NA,160,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,2.34,2.53,0.16,0.46,-0.39,160,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.49,0.83,-0.35,160,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.63,1.74,0.28,0.69,-0.31,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.45,1.7,0.15,0.44,-0.43,155,31,NA
ILM-EKF,inc case,3,Overall,3.85,4.65,0.14,0.45,-0.44,159,32,NA
Karlen-pypm,inc case,3,Overall,5.4,6.22,0.29,0.6,0.37,78,29,NA
LANL-GrowthRate,inc case,3,Overall,1.28,1.42,0.19,0.57,-0.5,160,32,NA
MUNI-ARIMA,inc case,3,Overall,1.13,1.17,0.44,0.88,-0.35,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.05,1.32,0.14,0.42,-0.63,160,32,NA
USC-SIkJalpha,inc case,3,Overall,1.44,1.87,0.16,0.22,-0.58,160,32,NA
UVA-Ensemble,inc case,3,Overall,1.5,NA,0.32,0.68,NA,160,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,2.57,2.65,0.24,0.62,-0.22,160,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,1.05,NA,0.55,0.97,NA,124,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.44,0.92,-0.31,160,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,1.1,0.96,0.44,0.91,-0.17,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.22,1.18,0.32,0.76,-0.19,155,31,NA
ILM-EKF,inc case,1,Overall,1.72,1.79,0.23,0.73,-0.23,160,32,NA
Karlen-pypm,inc case,1,Overall,1.78,1.69,0.54,0.9,0.14,134,29,NA
LANL-GrowthRate,inc case,1,Overall,0.97,0.91,0.38,0.89,-0.37,160,32,NA
MUNI-ARIMA,inc case,1,Overall,0.95,1.02,0.53,0.88,-0.17,160,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.22,1.31,0.31,0.65,-0.31,160,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.83,NA,NA,NA,NA,160,32,NA
USC-SIkJalpha,inc case,1,Overall,1.4,1.48,0.27,0.56,-0.32,160,32,NA
UVA-Ensemble,inc case,1,Overall,3.08,NA,0.43,0.84,NA,160,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.99,1.93,0.49,0.88,-0.04,160,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.19,0.5,-0.64,158,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.11,0.13,-0.86,158,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.9,0.97,0.02,160,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.52,0.51,0.72,0.96,0.09,160,32,NA
IEM_Health-CovidProject,inc death,4,Overall,0.77,0.64,0.41,0.84,-0.18,155,31,NA
ILM-EKF,inc death,4,Overall,0.84,0.94,0.69,0.97,-0.09,159,32,NA
Karlen-pypm,inc death,4,Overall,2.6,1.6,0.28,0.74,0.32,50,29,NA
LANL-GrowthRate,inc death,4,Overall,0.49,0.4,0.31,0.71,0.01,160,32,NA
MUNI-ARIMA,inc death,4,Overall,0.85,0.74,0.71,0.94,-0.13,160,32,NA
RobertWalraven-ESG,inc death,4,Overall,0.83,0.71,0.69,0.86,-0.28,160,32,NA
UMass-MechBayes,inc death,4,Overall,1.15,1.06,0.48,0.86,-0.06,160,32,NA
USC-SIkJalpha,inc death,4,Overall,0.64,0.61,0.38,0.51,-0.09,160,32,NA
USyd-OneModelMan,inc death,4,Overall,0.68,NA,NA,NA,NA,160,32,NA
epiforecasts-EpiNow2,inc death,4,Overall,1.54,1.44,0.48,0.88,0.05,156,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.92,0.96,-0.02,160,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.59,0.5,0.72,0.96,0.11,160,32,NA
IEM_Health-CovidProject,inc death,3,Overall,0.82,0.64,0.46,0.83,-0.2,155,31,NA
ILM-EKF,inc death,3,Overall,0.88,0.87,0.73,0.96,0.03,159,32,NA
Karlen-pypm,inc death,3,Overall,1.6,1.11,0.37,0.83,0.24,78,29,NA
LANL-GrowthRate,inc death,3,Overall,0.52,0.41,0.36,0.74,0.02,160,32,NA
MUNI-ARIMA,inc death,3,Overall,0.96,0.73,0.7,0.96,-0.14,160,32,NA
RobertWalraven-ESG,inc death,3,Overall,0.84,0.7,0.72,0.89,-0.24,160,32,NA
UMass-MechBayes,inc death,3,Overall,1.09,0.92,0.51,0.86,0.07,160,32,NA
USC-SIkJalpha,inc death,3,Overall,0.73,0.63,0.34,0.48,0.2,160,32,NA
USyd-OneModelMan,inc death,3,Overall,0.74,NA,NA,NA,NA,160,32,NA
epiforecasts-EpiNow2,inc death,3,Overall,1.42,1.21,0.51,0.87,0.26,158,32,NA
BIOCOMSC-Gompertz,inc death,2,Overall,1.12,NA,0.34,0.8,NA,112,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.89,0.98,-0.05,160,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.63,0.48,0.71,0.97,0.09,160,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.77,0.56,0.51,0.82,-0.17,155,31,NA
ILM-EKF,inc death,2,Overall,0.88,0.85,0.82,0.97,0.11,160,32,NA
Karlen-pypm,inc death,2,Overall,1.12,0.78,0.45,0.94,0.12,106,29,NA
LANL-GrowthRate,inc death,2,Overall,0.72,0.53,0.4,0.8,-0,160,32,NA
MUNI-ARIMA,inc death,2,Overall,0.86,0.66,0.71,0.96,-0.12,160,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.84,0.68,0.72,0.91,-0.2,160,32,NA
UMass-MechBayes,inc death,2,Overall,1,0.79,0.5,0.88,0.15,160,32,NA
USC-SIkJalpha,inc death,2,Overall,0.88,0.74,0.35,0.5,0.24,160,32,NA
USyd-OneModelMan,inc death,2,Overall,0.74,NA,NA,NA,NA,160,32,NA
epiforecasts-EpiNow2,inc death,2,Overall,1.3,0.99,0.47,0.92,0.34,158,32,NA
BIOCOMSC-Gompertz,inc death,1,Overall,1,NA,0.36,0.8,NA,107,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.81,0.99,-0.04,160,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.82,0.58,0.68,0.97,0.06,160,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.92,0.66,0.53,0.82,-0.1,154,31,NA
ILM-EKF,inc death,1,Overall,0.99,0.92,0.86,0.97,0.14,160,32,NA
Imperial-DeCa,inc death,1,Overall,1.33,1.21,0.15,0.41,0.1,61,16,NA
Imperial-RtI0,inc death,1,Overall,1.24,1.03,0.43,0.85,-0.13,61,16,NA
Imperial-sbkp,inc death,1,Overall,1,0.89,0.38,0.7,-0.11,61,16,NA
Karlen-pypm,inc death,1,Overall,1.03,0.73,0.6,0.96,-0.03,134,29,NA
LANL-GrowthRate,inc death,1,Overall,0.88,0.67,0.43,0.88,-0.05,160,32,NA
MUNI-ARIMA,inc death,1,Overall,1.06,0.74,0.69,0.94,-0.07,160,32,NA
RobertWalraven-ESG,inc death,1,Overall,1,0.78,0.76,0.91,-0.12,160,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,1.06,NA,NA,NA,NA,160,32,NA
UMass-MechBayes,inc death,1,Overall,1.53,1.08,0.44,0.88,0.16,160,32,NA
USC-SIkJalpha,inc death,1,Overall,1.34,1.14,0.34,0.48,0.22,160,32,NA
USyd-OneModelMan,inc death,1,Overall,0.88,NA,NA,NA,NA,160,32,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.4,0.98,0.53,0.92,0.25,156,32,NA
LANL-GrowthRate,inc death,5,Overall,NA,NA,0.29,0.67,-0,159,32,NA
USC-SIkJalpha,inc death,5,Overall,NA,NA,0.35,0.48,-0.28,159,32,NA
EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.8,1,-0.44,5,1,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,1.52,2.06,0.2,0.6,-0.33,5,1,Austria
IEM_Health-CovidProject,inc case,4,AT,0.86,1.5,0.2,0.2,-0.86,5,1,Austria
ILM-EKF,inc case,4,AT,1.25,1.95,0,0.2,-0.99,5,1,Austria
LANL-GrowthRate,inc case,4,AT,0.98,1.38,0,0.4,-0.9,5,1,Austria
MUNI-ARIMA,inc case,4,AT,0.96,1.08,0.4,1,-0.46,5,1,Austria
RobertWalraven-ESG,inc case,4,AT,1.28,1.78,0,0.2,-0.98,5,1,Austria
USC-SIkJalpha,inc case,4,AT,1.71,2.9,0,0,-0.6,5,1,Austria
UVA-Ensemble,inc case,4,AT,1.37,NA,0,0.4,NA,5,1,Austria
epiforecasts-EpiNow2,inc case,4,AT,11.67,15.09,0,0.2,-0.14,5,1,Austria
EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.8,1,-0.46,5,1,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,0.95,1.16,0.2,0.8,-0.33,5,1,Austria
IEM_Health-CovidProject,inc case,3,AT,0.85,1.32,0,0.4,-0.62,5,1,Austria
ILM-EKF,inc case,3,AT,0.98,1.6,0.2,0.4,-0.74,5,1,Austria
LANL-GrowthRate,inc case,3,AT,0.81,1.26,0.2,0.6,-0.77,5,1,Austria
MUNI-ARIMA,inc case,3,AT,1,1.02,0.6,1,-0.4,5,1,Austria
RobertWalraven-ESG,inc case,3,AT,1.18,1.6,0,0,-1,5,1,Austria
USC-SIkJalpha,inc case,3,AT,1.33,2.14,0,0,-0.6,5,1,Austria
UVA-Ensemble,inc case,3,AT,0.69,NA,0.6,0.8,NA,5,1,Austria
epiforecasts-EpiNow2,inc case,3,AT,5.7,7.43,0,0.2,-0.16,5,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.6,1,-0.5,5,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.59,0.72,0.6,0.8,-0.32,5,1,Austria
IEM_Health-CovidProject,inc case,2,AT,0.74,1.03,0.4,0.6,-0.42,5,1,Austria
ILM-EKF,inc case,2,AT,1.07,1.45,0.4,0.4,-0.44,5,1,Austria
Karlen-pypm,inc case,2,AT,1.77,2.44,0.5,0.75,0.35,4,1,Austria
LANL-GrowthRate,inc case,2,AT,0.8,0.95,0.4,0.6,-0.58,5,1,Austria
MUNI-ARIMA,inc case,2,AT,0.72,0.79,0.4,1,-0.28,5,1,Austria
RobertWalraven-ESG,inc case,2,AT,1.09,1.36,0,0.2,-0.92,5,1,Austria
USC-SIkJalpha,inc case,2,AT,1.06,1.46,0.2,0.4,-0.38,5,1,Austria
UVA-Ensemble,inc case,2,AT,0.84,NA,0.4,1,NA,5,1,Austria
epiforecasts-EpiNow2,inc case,2,AT,2.57,3.22,0.2,0.6,-0.05,5,1,Austria
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.6,1,-0.54,5,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.67,0.62,0.4,0.8,-0.28,5,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.58,0.75,0.6,0.6,-0.34,5,1,Austria
ILM-EKF,inc case,1,AT,1.05,1.23,0.4,0.6,-0.28,5,1,Austria
Karlen-pypm,inc case,1,AT,1.02,0.96,0.6,1,0.12,5,1,Austria
LANL-GrowthRate,inc case,1,AT,0.78,0.83,0.2,0.8,-0.39,5,1,Austria
MUNI-ARIMA,inc case,1,AT,0.78,0.66,0.4,1,-0.12,5,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.89,0.93,0.4,0.6,-0.7,5,1,Austria
SDSC_ISG-TrendModel,inc case,1,AT,0.64,NA,NA,NA,NA,5,1,Austria
USC-SIkJalpha,inc case,1,AT,0.85,1.12,0.4,0.6,-0.52,5,1,Austria
UVA-Ensemble,inc case,1,AT,0.73,NA,0.6,1,NA,5,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,1.18,1.23,0.4,0.8,-0.07,5,1,Austria
LANL-GrowthRate,inc case,5,AT,NA,NA,0.2,0.2,-0.88,5,1,Austria
USC-SIkJalpha,inc case,5,AT,NA,NA,0,0,-1,5,1,Austria
EuroCOVIDhub-baseline,inc death,4,AT,1,1,1,1,0.16,5,1,Austria
