model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,1.14,NA,0.42,0.92,NA,136,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.53,0.85,-0.34,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.31,1.35,0.32,0.76,-0.3,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.21,1.35,0.19,0.48,-0.38,155,31,NA
ILM-EKF,inc case,2,Overall,2.44,2.9,0.18,0.51,-0.44,160,32,NA
Karlen-pypm,inc case,2,Overall,3.91,3.77,0.35,0.72,0.35,78,29,NA
LANL-GrowthRate,inc case,2,Overall,1.25,1.25,0.26,0.67,-0.45,160,32,NA
MUNI-ARIMA,inc case,2,Overall,0.96,1.02,0.5,0.88,-0.31,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.05,1.28,0.2,0.49,-0.58,160,32,NA
USC-SIkJalpha,inc case,2,Overall,1.39,1.68,0.21,0.24,-0.52,160,32,NA
UVA-Ensemble,inc case,2,Overall,1.82,NA,0.41,0.81,NA,160,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,2.26,2.43,0.23,0.68,-0.22,160,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.95,NA,0.49,0.95,NA,137,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.47,0.91,-0.32,160,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,1.06,0.95,0.42,0.88,-0.21,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.13,1.15,0.29,0.67,-0.28,155,31,NA
ILM-EKF,inc case,1,Overall,1.72,1.81,0.18,0.66,-0.33,160,32,NA
Karlen-pypm,inc case,1,Overall,1.73,1.56,0.58,0.92,0.24,106,29,NA
LANL-GrowthRate,inc case,1,Overall,0.91,0.9,0.37,0.86,-0.39,160,32,NA
MUNI-ARIMA,inc case,1,Overall,0.9,0.98,0.52,0.86,-0.2,160,32,NA
