model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.9,-0.24,160,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.38,1.41,0.39,0.8,-0.17,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.64,1.75,0.27,0.68,-0.13,155,31,NA
ILM-EKF,inc case,4,Overall,6.6,7.98,0.26,0.69,0.03,159,32,NA
Karlen-pypm,inc case,4,Overall,4.27,5.57,0.26,0.62,0.1,145,29,NA
LANL-GrowthRate,inc case,4,Overall,1.04,1.09,0.26,0.66,-0.35,160,32,NA
MUNI-ARIMA,inc case,4,Overall,1.16,1.21,0.57,0.94,-0.12,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,1,1.23,0.2,0.39,-0.52,160,32,NA
USC-SIkJalpha,inc case,4,Overall,4.91,7.03,0.11,0.22,-0.3,160,32,NA
UVA-Ensemble,inc case,4,Overall,1.5,NA,0.14,0.44,NA,160,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,2.55,2.76,0.54,0.87,-0.03,160,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.41,0.94,-0.22,160,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.06,1.08,0.4,0.86,-0.11,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.4,1.47,0.3,0.7,-0.02,155,31,NA
ILM-EKF,inc case,3,Overall,3.13,3.56,0.35,0.76,0.07,160,32,NA
Karlen-pypm,inc case,3,Overall,2.51,3.11,0.28,0.73,0.03,145,29,NA
LANL-GrowthRate,inc case,3,Overall,1.05,1,0.33,0.79,-0.33,160,32,NA
MUNI-ARIMA,inc case,3,Overall,0.91,0.93,0.61,0.96,-0.09,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.03,1.18,0.19,0.43,-0.47,160,32,NA
USC-SIkJalpha,inc case,3,Overall,3.69,5.06,0.05,0.28,-0.25,160,32,NA
UVA-Ensemble,inc case,3,Overall,2.12,NA,0.26,0.67,NA,160,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,2.13,2.31,0.59,0.93,-0.03,160,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.41,0.95,-0.2,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.76,0.76,0.52,0.91,-0.11,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.23,1.23,0.31,0.73,0.06,155,31,NA
ILM-EKF,inc case,2,Overall,1.25,1.27,0.44,0.85,0.1,160,32,NA
Karlen-pypm,inc case,2,Overall,1.3,1.36,0.39,0.82,-0.02,145,29,NA
LANL-GrowthRate,inc case,2,Overall,0.76,0.76,0.45,0.91,-0.32,160,32,NA
MUNI-ARIMA,inc case,2,Overall,0.86,0.92,0.65,0.96,-0.06,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.02,1.15,0.26,0.51,-0.4,160,32,NA
USC-SIkJalpha,inc case,2,Overall,2.32,3.01,0.07,0.36,-0.23,160,32,NA
UVA-Ensemble,inc case,2,Overall,2.64,NA,0.31,0.76,NA,160,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.34,1.52,0.62,0.95,-0.05,160,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.32,0.97,-0.19,160,32,NA
