model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
DSMPG-bayes,inc case,1,Overall,1.08,1,0.46,0.88,0.43,104,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.19,0.88,0.16,160,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.87,0.77,0.66,0.96,0.11,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.28,1.12,0.51,0.95,0.19,160,32,NA
ILM-EKF,inc case,1,Overall,1.23,1.11,0.4,0.89,0.16,160,32,NA
LANL-GrowthRate,inc case,1,Overall,1.02,0.92,0.64,0.93,-0.22,160,32,NA
RobertWalraven-ESG,inc case,1,Overall,1,NA,0.26,0.7,NA,160,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,1.18,NA,NA,NA,NA,128,32,NA
UMass-SemiMech,inc case,1,Overall,1.03,0.94,0.61,0.95,0.05,124,32,NA
USC-SIkJalpha,inc case,1,Overall,1.03,1.03,0.56,0.71,0.08,160,32,NA
UVA-Ensemble,inc case,1,Overall,1.7,NA,0.2,0.5,NA,160,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.99,0.98,0.24,0.67,0.34,54,23,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.09,0.9,0.52,0.87,0.1,159,32,NA
DSMPG-bayes,inc case,3,Overall,1.73,1.77,0.41,NA,0.33,87,25,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.3,0.77,-0.01,159,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.15,1.08,0.4,0.91,0.21,159,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.73,1.7,0.32,0.8,0.17,159,32,NA
ILM-EKF,inc case,3,Overall,1.67,1.61,0.38,0.85,0.2,159,32,NA
LANL-GrowthRate,inc case,3,Overall,0.94,0.88,0.41,0.84,-0.03,159,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.15,NA,0.28,0.59,NA,159,32,NA
USC-SIkJalpha,inc case,3,Overall,1.04,1.03,0.41,0.64,-0.04,159,32,NA
UVA-Ensemble,inc case,3,Overall,1.16,NA,0.06,0.21,NA,131,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.04,1.05,0.25,0.68,0.17,95,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.13,1.13,0.46,0.84,0.16,158,32,NA
DSMPG-bayes,inc case,2,Overall,1.47,1.45,0.44,0.93,0.35,105,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.26,0.8,0.02,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.01,0.93,0.49,0.93,0.17,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.41,1.42,0.41,0.86,0.2,160,32,NA
ILM-EKF,inc case,2,Overall,1.39,1.25,0.41,0.89,0.17,160,32,NA
LANL-GrowthRate,inc case,2,Overall,0.94,0.93,0.48,0.91,-0.1,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.12,NA,0.29,0.6,NA,160,32,NA
USC-SIkJalpha,inc case,2,Overall,1.01,1.11,0.47,0.7,-0.04,160,32,NA
UVA-Ensemble,inc case,2,Overall,1.38,NA,0.09,0.31,NA,160,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,1.08,1.12,0.29,0.66,0.14,77,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.06,1.02,0.46,0.86,0.12,159,32,NA
DSMPG-bayes,inc case,4,Overall,2.49,2.59,0.36,NA,0.37,66,25,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.32,0.73,-0.02,127,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.5,1.45,0.31,0.87,0.25,127,32,NA
IEM_Health-CovidProject,inc case,4,Overall,2.28,2.26,0.32,0.7,0.17,127,32,NA
ILM-EKF,inc case,4,Overall,2.53,2.56,0.37,0.83,0.22,127,32,NA
LANL-GrowthRate,inc case,4,Overall,0.99,0.9,0.34,0.8,0.02,127,32,NA
RobertWalraven-ESG,inc case,4,Overall,1.15,NA,0.27,0.65,NA,127,32,NA
USC-SIkJalpha,inc case,4,Overall,1.09,1.13,0.37,0.61,-0,127,32,NA
UVA-Ensemble,inc case,4,Overall,1.09,NA,0.06,0.18,NA,99,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,1.22,1.27,0.28,0.7,0.23,87,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.6,1.58,0.37,0.83,0.2,127,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.52,0.86,-0.07,160,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.68,0.65,0.68,0.98,0.13,160,32,NA
IEM_Health-CovidProject,inc death,3,Overall,1.2,1.11,0.56,0.97,-0.19,160,32,NA
ILM-EKF,inc death,3,Overall,1.33,1.23,0.68,0.98,0.24,160,32,NA
LANL-GrowthRate,inc death,3,Overall,0.83,0.79,0.42,0.84,-0.19,160,32,NA
RobertWalraven-ESG,inc death,3,Overall,1.02,1.13,0.41,0.66,-0.41,160,32,NA
USC-SIkJalpha,inc death,3,Overall,0.9,0.9,0.52,0.79,0.19,160,32,NA
epiforecasts-EpiExpert,inc death,3,Overall,0.9,0.84,0.36,0.78,0.08,96,32,NA
epiforecasts-EpiNow2,inc death,3,Overall,1.42,1.36,0.44,0.86,0.41,159,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.5,0.91,-0.06,160,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.66,0.72,0.76,0.98,0.12,160,32,NA
IEM_Health-CovidProject,inc death,2,Overall,1.21,1.15,0.62,0.98,-0.12,160,32,NA
ILM-EKF,inc death,2,Overall,1.16,1.19,0.78,0.99,0.18,160,32,NA
LANL-GrowthRate,inc death,2,Overall,1.01,0.98,0.42,0.85,-0.21,160,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.96,1.04,0.47,0.68,-0.26,160,32,NA
USC-SIkJalpha,inc death,2,Overall,0.85,0.93,0.56,0.8,0.14,160,32,NA
epiforecasts-EpiExpert,inc death,2,Overall,1.11,1.08,0.26,0.74,0.12,77,32,NA
epiforecasts-EpiNow2,inc death,2,Overall,1.33,1.25,0.47,0.87,0.31,158,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.31,0.94,-0.01,160,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.73,0.8,0.76,0.99,0.06,160,32,NA
IEM_Health-CovidProject,inc death,1,Overall,1.01,1.09,0.66,0.98,-0.08,160,32,NA
ILM-EKF,inc death,1,Overall,1,1.16,0.86,0.99,0.11,160,32,NA
LANL-GrowthRate,inc death,1,Overall,0.95,1,0.44,0.86,-0.13,160,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.91,0.93,0.4,0.75,-0.13,160,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,1.02,NA,NA,NA,NA,128,32,NA
UMass-MechBayes,inc death,1,Overall,0.9,1.07,0.6,0.94,0.06,124,32,NA
UMass-SemiMech,inc death,1,Overall,0.99,1.2,0.6,0.9,0.15,124,32,NA
USC-SIkJalpha,inc death,1,Overall,0.82,1.13,0.54,0.72,0.1,160,32,NA
USyd-OneModelMan,inc death,1,Overall,0.85,NA,NA,NA,NA,128,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,1.19,1.21,0.24,0.63,0.15,54,23,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.23,1.27,0.58,0.93,0.24,158,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.58,0.83,-0.06,128,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.72,0.69,0.68,0.96,0.16,128,32,NA
IEM_Health-CovidProject,inc death,4,Overall,1.28,1.14,0.48,0.95,-0.2,128,32,NA
ILM-EKF,inc death,4,Overall,1.86,1.67,0.61,0.98,0.28,128,32,NA
LANL-GrowthRate,inc death,4,Overall,0.79,0.68,0.47,0.87,-0.18,128,32,NA
RobertWalraven-ESG,inc death,4,Overall,1.07,1.19,0.36,0.66,-0.49,128,32,NA
USC-SIkJalpha,inc death,4,Overall,0.83,0.82,0.53,0.78,0.18,128,32,NA
epiforecasts-EpiExpert,inc death,4,Overall,0.96,0.93,0.33,0.83,0.11,88,32,NA
epiforecasts-EpiNow2,inc death,4,Overall,1.62,1.58,0.41,0.88,0.44,128,32,NA
EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.2,1,0.1,5,1,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,1.28,1.35,0.4,1,0.58,5,1,Austria
IEM_Health-CovidProject,inc case,3,AT,1.6,1.64,0.2,1,0.69,5,1,Austria
ILM-EKF,inc case,3,AT,1.82,1.97,0.4,1,0.62,5,1,Austria
LANL-GrowthRate,inc case,3,AT,1.01,0.98,0.2,1,0.28,5,1,Austria
RobertWalraven-ESG,inc case,3,AT,0.82,NA,0.4,0.6,NA,5,1,Austria
USC-SIkJalpha,inc case,3,AT,0.93,1.28,0.4,0.6,0.4,5,1,Austria
UVA-Ensemble,inc case,3,AT,1.07,NA,0.25,0.5,NA,4,1,Austria
