model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.91,-0.18,160,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.1,1.15,0.42,0.84,-0.11,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.53,1.61,0.27,0.68,-0.02,155,31,NA
ILM-EKF,inc case,4,Overall,5.34,6.1,0.31,0.75,0.13,160,32,NA
Karlen-pypm,inc case,4,Overall,3.24,4.19,0.29,0.68,0.03,145,29,NA
LANL-GrowthRate,inc case,4,Overall,0.97,1,0.3,0.72,-0.29,160,32,NA
MUNI-ARIMA,inc case,4,Overall,0.98,1.01,0.6,0.97,-0.06,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.97,1.17,0.19,0.42,-0.47,160,32,NA
USC-SIkJalpha,inc case,4,Overall,4.86,6.93,0.05,0.21,-0.25,160,32,NA
UVA-Ensemble,inc case,4,Overall,1.73,NA,0.15,0.46,NA,160,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.91,2.2,0.61,0.92,-0.03,160,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.41,0.94,-0.15,160,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.88,0.87,0.42,0.89,-0.06,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.4,1.47,0.27,0.67,0.09,155,31,NA
ILM-EKF,inc case,3,Overall,1.6,1.64,0.38,0.82,0.16,160,32,NA
Karlen-pypm,inc case,3,Overall,1.42,1.57,0.27,0.77,-0.02,145,29,NA
LANL-GrowthRate,inc case,3,Overall,0.85,0.82,0.36,0.8,-0.26,160,32,NA
MUNI-ARIMA,inc case,3,Overall,0.93,0.98,0.64,0.96,-0.02,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.99,1.17,0.21,0.46,-0.39,160,32,NA
USC-SIkJalpha,inc case,3,Overall,3.68,5.02,0.06,0.28,-0.19,160,32,NA
