model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.43,0.9,-0.34,160,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,2.33,2.57,0.32,0.76,-0.2,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.87,2.2,0.2,0.5,-0.38,155,31,NA
ILM-EKF,inc case,4,Overall,9.72,12.07,0.13,0.5,-0.27,159,32,NA
Karlen-pypm,inc case,4,Overall,6.34,8.15,0.25,0.61,0.29,106,29,NA
LANL-GrowthRate,inc case,4,Overall,1.26,1.47,0.22,0.59,-0.47,160,32,NA
MUNI-ARIMA,inc case,4,Overall,1.35,1.42,0.48,0.91,-0.25,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.99,1.3,0.16,0.36,-0.6,160,32,NA
USC-SIkJalpha,inc case,4,Overall,1.72,2.5,0.17,0.23,-0.47,160,32,NA
UVA-Ensemble,inc case,4,Overall,1.47,NA,0.16,0.46,NA,160,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,3.52,3.74,0.32,0.69,-0.05,160,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.44,0.92,-0.28,160,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.93,2.06,0.34,0.78,-0.17,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.77,1.96,0.27,0.64,-0.23,155,31,NA
ILM-EKF,inc case,3,Overall,5,5.95,0.24,0.6,-0.13,159,32,NA
Karlen-pypm,inc case,3,Overall,4.95,6.28,0.26,0.63,0.17,134,29,NA
LANL-GrowthRate,inc case,3,Overall,1.43,1.52,0.3,0.71,-0.37,160,32,NA
MUNI-ARIMA,inc case,3,Overall,1.3,1.37,0.52,0.92,-0.19,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.04,1.28,0.16,0.4,-0.52,160,32,NA
USC-SIkJalpha,inc case,3,Overall,1.55,2.04,0.15,0.3,-0.39,160,32,NA
UVA-Ensemble,inc case,3,Overall,1.81,NA,0.29,0.72,NA,160,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,3.37,3.48,0.41,0.79,-0.02,160,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.49,0.92,-0.26,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.34,1.31,0.44,0.87,-0.13,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.63,1.67,0.3,0.74,-0.06,155,31,NA
ILM-EKF,inc case,2,Overall,3.18,3.62,0.35,0.69,-0.05,160,32,NA
Karlen-pypm,inc case,2,Overall,2.36,2.63,0.35,0.74,0.12,145,29,NA
LANL-GrowthRate,inc case,2,Overall,1.48,1.35,0.39,0.84,-0.31,160,32,NA
MUNI-ARIMA,inc case,2,Overall,1.09,1.15,0.61,0.93,-0.13,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.15,1.3,0.21,0.5,-0.43,160,32,NA
