model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
DSMPG-bayes,inc case,1,Overall,1.38,1.18,0.37,0.86,0.44,87,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.15,0.87,-0.04,159,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.98,0.88,0.63,0.96,0.05,159,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.4,1.23,0.47,0.92,0.05,159,32,NA
ILM-EKF,inc case,1,Overall,1.2,1.1,0.48,0.9,0.1,159,32,NA
LANL-GrowthRate,inc case,1,Overall,1.06,0.92,0.58,0.93,-0.21,159,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.19,NA,0.31,0.76,NA,159,32,NA
USC-SIkJalpha,inc case,1,Overall,1.1,1.22,0.55,0.79,-0.1,159,32,NA
UVA-Ensemble,inc case,1,Overall,1.3,NA,0.21,0.53,NA,131,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.88,0.82,0.28,0.78,0.14,95,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.04,0.87,0.47,0.89,0.18,158,32,NA
DSMPG-bayes,inc case,2,Overall,1.54,1.41,0.35,0.91,0.36,66,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.27,0.8,-0.16,127,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.11,0.95,0.47,0.93,0.09,127,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.47,1.32,0.31,0.81,0.04,127,32,NA
ILM-EKF,inc case,2,Overall,1.48,1.34,0.39,0.87,0.1,127,32,NA
LANL-GrowthRate,inc case,2,Overall,1,0.89,0.39,0.89,-0.12,127,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.12,NA,0.33,0.69,NA,127,32,NA
USC-SIkJalpha,inc case,2,Overall,1,1.09,0.42,0.71,-0.13,127,32,NA
UVA-Ensemble,inc case,2,Overall,1.16,NA,0.1,0.37,NA,99,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,1.05,1.05,0.29,0.69,0.09,87,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.18,1.06,0.44,0.85,0.17,127,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.32,0.94,-0.06,160,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.69,0.71,0.76,0.99,0.06,160,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.98,1.01,0.68,0.99,-0.19,160,32,NA
ILM-EKF,inc death,1,Overall,0.93,1.08,0.86,0.99,0.11,160,32,NA
LANL-GrowthRate,inc death,1,Overall,0.71,0.72,0.4,0.87,-0.13,160,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.83,0.85,0.44,0.78,-0.27,160,32,NA
USC-SIkJalpha,inc death,1,Overall,0.81,1.08,0.6,0.83,0.05,160,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,0.96,1.04,0.33,0.71,0.05,96,32,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.16,1.09,0.45,0.89,0.36,159,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.47,0.89,-0.09,128,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.63,0.65,0.73,0.98,0.12,128,32,NA
IEM_Health-CovidProject,inc death,2,Overall,1,0.97,0.61,0.97,-0.22,128,32,NA
ILM-EKF,inc death,2,Overall,1.13,1.14,0.73,0.98,0.2,128,32,NA
LANL-GrowthRate,inc death,2,Overall,0.69,0.68,0.42,0.88,-0.13,128,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.88,0.99,0.45,0.67,-0.36,128,32,NA
USC-SIkJalpha,inc death,2,Overall,0.82,0.88,0.53,0.8,0.15,128,32,NA
epiforecasts-EpiExpert,inc death,2,Overall,0.94,1.03,0.35,0.78,0.13,88,32,NA
epiforecasts-EpiNow2,inc death,2,Overall,1.19,1.22,0.36,0.8,0.49,128,32,NA
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.2,1,-0.24,5,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.72,0.74,0.8,1,0.28,5,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.87,0.88,0.6,1,0.4,5,1,Austria
ILM-EKF,inc case,1,AT,1.02,1.1,0.6,1,0.38,5,1,Austria
LANL-GrowthRate,inc case,1,AT,0.82,0.75,0.4,1,-0.24,5,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.7,NA,0.6,0.8,NA,5,1,Austria
USC-SIkJalpha,inc case,1,AT,0.61,0.74,0.8,1,0.04,5,1,Austria
UVA-Ensemble,inc case,1,AT,1.02,NA,0.25,1,NA,4,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,0.69,0.65,0.6,1,0.5,5,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0,1,-0.35,4,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.9,0.96,0.5,1,0.38,4,1,Austria
IEM_Health-CovidProject,inc case,2,AT,1.08,1.11,0.5,1,0.45,4,1,Austria
ILM-EKF,inc case,2,AT,1.16,1.35,0.75,1,0.45,4,1,Austria
LANL-GrowthRate,inc case,2,AT,0.8,0.74,0.25,1,-0.1,4,1,Austria
RobertWalraven-ESG,inc case,2,AT,0.66,NA,0.5,0.75,NA,4,1,Austria
