model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.41,0.91,-0.28,160,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,2.16,2.35,0.36,0.76,-0.17,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.8,2,0.25,0.62,-0.27,155,31,NA
ILM-EKF,inc case,4,Overall,9.42,11.39,0.2,0.6,-0.1,159,32,NA
Karlen-pypm,inc case,4,Overall,5.52,7.08,0.25,0.6,0.18,134,29,NA
LANL-GrowthRate,inc case,4,Overall,1.15,1.29,0.26,0.62,-0.4,160,32,NA
MUNI-ARIMA,inc case,4,Overall,1.31,1.38,0.52,0.92,-0.18,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.98,1.24,0.17,0.37,-0.55,160,32,NA
USC-SIkJalpha,inc case,4,Overall,1.63,2.32,0.15,0.24,-0.44,160,32,NA
UVA-Ensemble,inc case,4,Overall,1.57,NA,0.15,0.44,NA,160,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,3.16,3.34,0.43,0.8,-0.03,160,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.42,0.92,-0.24,160,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.38,1.41,0.39,0.81,-0.15,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.65,1.74,0.3,0.72,-0.1,155,31,NA
ILM-EKF,inc case,3,Overall,4.02,4.8,0.3,0.69,-0,159,32,NA
Karlen-pypm,inc case,3,Overall,3.26,4.03,0.28,0.66,0.11,145,29,NA
LANL-GrowthRate,inc case,3,Overall,1.26,1.25,0.3,0.76,-0.34,160,32,NA
MUNI-ARIMA,inc case,3,Overall,1.16,1.2,0.57,0.94,-0.13,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.07,1.27,0.17,0.41,-0.5,160,32,NA
USC-SIkJalpha,inc case,3,Overall,3.81,5.15,0.11,0.3,-0.26,160,32,NA
UVA-Ensemble,inc case,3,Overall,1.79,NA,0.31,0.71,NA,160,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,2.64,2.75,0.52,0.89,-0.02,160,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.45,0.94,-0.23,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.01,0.98,0.5,0.89,-0.1,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.36,1.36,0.32,0.75,0.01,155,31,NA
ILM-EKF,inc case,2,Overall,2.05,2.25,0.4,0.76,0.04,160,32,NA
Karlen-pypm,inc case,2,Overall,1.95,2.2,0.38,0.79,0.06,145,29,NA
LANL-GrowthRate,inc case,2,Overall,1.13,1.02,0.42,0.89,-0.32,160,32,NA
MUNI-ARIMA,inc case,2,Overall,0.77,0.8,0.68,0.96,-0.09,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.09,1.2,0.23,0.51,-0.42,160,32,NA
USC-SIkJalpha,inc case,2,Overall,2.38,3.05,0.07,0.35,-0.2,160,32,NA
UVA-Ensemble,inc case,2,Overall,2.4,NA,0.35,0.81,NA,160,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.92,2.01,0.59,0.94,-0.03,160,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.41,0.97,-0.22,160,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.66,0.67,0.63,0.97,-0.1,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.19,1.08,0.41,0.9,0.06,155,31,NA
ILM-EKF,inc case,1,Overall,1.05,1.02,0.47,0.87,0.05,160,32,NA
Karlen-pypm,inc case,1,Overall,1.26,1.26,0.55,0.95,0.05,145,29,NA
LANL-GrowthRate,inc case,1,Overall,0.92,0.95,0.54,0.96,-0.41,160,32,NA
MUNI-ARIMA,inc case,1,Overall,0.87,0.85,0.64,0.96,-0.07,160,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.15,1.16,0.34,0.69,-0.31,160,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.82,NA,NA,NA,NA,160,32,NA
USC-SIkJalpha,inc case,1,Overall,1.56,1.83,0.12,0.64,-0.17,160,32,NA
UVA-Ensemble,inc case,1,Overall,4.99,NA,0.26,0.76,NA,160,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.29,1.35,0.69,0.95,-0.03,160,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.18,0.53,-0.49,160,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.18,0.24,-0.5,160,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.88,0.99,-0.19,160,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.87,0.77,0.57,0.95,-0.09,160,32,NA
IEM_Health-CovidProject,inc death,4,Overall,0.77,0.75,0.37,0.81,-0.41,154,31,NA
ILM-EKF,inc death,4,Overall,1.91,1.93,0.65,0.95,0.06,159,32,NA
Karlen-pypm,inc death,4,Overall,2.06,1.86,0.31,0.84,0.08,134,29,NA
LANL-GrowthRate,inc death,4,Overall,0.82,0.81,0.27,0.68,-0.37,160,32,NA
MUNI-ARIMA,inc death,4,Overall,1.03,0.9,0.64,0.94,-0.28,160,32,NA
RobertWalraven-ESG,inc death,4,Overall,0.96,0.96,0.58,0.82,-0.42,160,32,NA
UMass-MechBayes,inc death,4,Overall,2.17,2.04,0.44,0.82,0.01,160,32,NA
USC-SIkJalpha,inc death,4,Overall,1.19,1.33,0.3,0.45,0.01,160,32,NA
USyd-OneModelMan,inc death,4,Overall,0.76,NA,NA,NA,NA,160,32,NA
epiforecasts-EpiNow2,inc death,4,Overall,2.8,2.62,0.51,0.88,0.21,156,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.89,0.99,-0.2,160,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.74,0.6,0.56,0.96,-0.16,160,32,NA
IEM_Health-CovidProject,inc death,3,Overall,0.73,0.69,0.43,0.81,-0.32,154,31,NA
ILM-EKF,inc death,3,Overall,1.2,1.17,0.75,0.96,0.08,159,32,NA
Karlen-pypm,inc death,3,Overall,1.2,1.06,0.41,0.85,-0.05,145,29,NA
