model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,4,Overall,1.48,1.51,0.41,0.82,0.15,160,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,4,Overall,1.1,1.1,0.38,0.87,-0.03,160,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,4,Overall,1.47,1.5,0.37,0.82,0.14,160,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,4,Overall,1.09,1.1,0.38,0.86,-0.04,160,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,4,Overall,1.44,1.47,0.4,0.82,0.15,160,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,4,Overall,1,1.01,0.38,0.87,-0.05,160,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.41,0.91,-0.11,160,32,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,4,Overall,1.51,1.76,0.42,0.9,-0.06,106,26,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,4,Overall,1.54,1.76,0.39,0.79,-0.17,106,26,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc case,4,Overall,1.59,1.95,0.41,0.84,-0.1,95,28,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc case,4,Overall,1.69,2.06,0.37,0.77,-0.17,95,28,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,4,Overall,1.34,1.62,0.46,0.89,-0.03,114,27,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,4,Overall,1.21,1.48,0.43,0.88,-0.13,114,27,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.96,1.01,0.44,0.88,-0.03,160,32,NA
EuroCOVIDhub-mean,inc case,4,Overall,1.52,1.56,0.42,0.82,0.18,160,32,NA
EuroCOVIDhub-median,inc case,4,Overall,0.97,0.99,0.42,0.88,-0.04,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.64,1.69,0.24,0.68,0.12,155,31,NA
ILM-EKF,inc case,4,Overall,2.2,2.3,0.37,0.81,0.22,160,32,NA
Karlen-pypm,inc case,4,Overall,1.76,2.06,0.27,0.67,-0.03,145,29,NA
LANL-GrowthRate,inc case,4,Overall,0.94,0.93,0.3,0.73,-0.22,160,32,NA
MUNI-ARIMA,inc case,4,Overall,0.97,1.04,0.61,0.98,0.01,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,1.02,1.26,0.19,0.48,-0.4,160,32,NA
USC-SIkJalpha,inc case,4,Overall,4.59,4.86,0.06,0.21,-0.17,160,32,NA
UVA-Ensemble,inc case,4,Overall,2.01,NA,0.13,0.42,NA,160,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.53,1.82,0.66,0.94,-0.03,160,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,3,Overall,1.14,1.15,0.4,0.88,0.16,160,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,3,Overall,0.93,0.93,0.43,0.87,0.02,160,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,3,Overall,1.14,1.15,0.41,0.87,0.15,160,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,3,Overall,0.93,0.93,0.43,0.87,0.01,160,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,3,Overall,1.12,1.12,0.41,0.88,0.16,160,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,3,Overall,0.88,0.87,0.43,0.89,0.01,160,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.41,0.91,-0.07,160,32,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,3,Overall,1.34,1.61,0.39,0.87,-0.01,99,25,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,3,Overall,1.36,1.64,0.37,0.82,-0.07,99,25,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc case,3,Overall,1.3,1.67,0.39,0.87,-0.01,92,29,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc case,3,Overall,1.37,1.76,0.35,0.82,-0.04,92,29,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,3,Overall,1.23,1.45,0.48,0.89,0.01,112,26,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,3,Overall,1.16,1.39,0.44,0.89,-0.07,112,26,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.84,0.84,0.44,0.9,0.03,160,32,NA
EuroCOVIDhub-mean,inc case,3,Overall,1.14,1.16,0.42,0.86,0.18,160,32,NA
EuroCOVIDhub-median,inc case,3,Overall,0.84,0.82,0.46,0.89,0.01,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.45,1.5,0.23,0.65,0.25,155,31,NA
ILM-EKF,inc case,3,Overall,1.28,1.35,0.45,0.86,0.23,160,32,NA
Karlen-pypm,inc case,3,Overall,1.38,1.57,0.3,0.77,0.01,145,29,NA
LANL-GrowthRate,inc case,3,Overall,0.79,0.78,0.38,0.82,-0.19,160,32,NA
MUNI-ARIMA,inc case,3,Overall,0.95,0.99,0.64,0.95,0.06,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.99,1.23,0.25,0.51,-0.33,160,32,NA
USC-SIkJalpha,inc case,3,Overall,3.08,3.55,0.06,0.3,-0.08,160,32,NA
UVA-Ensemble,inc case,3,Overall,2.49,NA,0.24,0.59,NA,160,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.26,1.51,0.66,0.96,-0.01,160,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.77,NA,0.8,1,NA,71,23,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,2,Overall,0.83,0.81,0.52,0.91,0.16,160,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,2,Overall,0.74,0.74,0.54,0.91,0.06,160,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,2,Overall,0.82,0.81,0.51,0.92,0.14,160,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,2,Overall,0.74,0.74,0.54,0.91,0.05,160,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,2,Overall,0.81,0.8,0.52,0.9,0.15,160,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,2,Overall,0.71,0.72,0.56,0.91,0.05,160,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.38,0.91,-0.05,160,32,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,2,Overall,0.9,0.89,0.52,0.93,0.07,94,22,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,2,Overall,0.93,0.92,0.48,0.93,0.04,94,22,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc case,2,Overall,0.85,0.91,0.46,0.89,0.05,94,28,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc case,2,Overall,0.89,0.97,0.46,0.84,0.04,94,28,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,2,Overall,0.81,0.86,0.61,0.95,0.04,111,23,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,2,Overall,0.78,0.85,0.53,0.95,-0.01,111,23,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.69,0.7,0.54,0.89,0.06,160,32,NA
EuroCOVIDhub-mean,inc case,2,Overall,0.82,0.8,0.53,0.89,0.17,160,32,NA
EuroCOVIDhub-median,inc case,2,Overall,0.67,0.68,0.55,0.91,0.05,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.27,1.29,0.23,0.68,0.35,155,31,NA
ILM-EKF,inc case,2,Overall,0.94,0.99,0.51,0.87,0.22,160,32,NA
Karlen-pypm,inc case,2,Overall,0.99,1,0.43,0.84,0.08,145,29,NA
LANL-GrowthRate,inc case,2,Overall,0.61,0.64,0.48,0.92,-0.21,160,32,NA
MUNI-ARIMA,inc case,2,Overall,0.91,0.92,0.64,0.96,0.09,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.91,1.07,0.31,0.57,-0.24,160,32,NA
USC-SIkJalpha,inc case,2,Overall,1.73,2.17,0.06,0.36,0.02,160,32,NA
UVA-Ensemble,inc case,2,Overall,2.83,NA,0.22,0.69,NA,160,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.27,1.43,0.62,0.95,0.01,160,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,1,Overall,0.57,0.59,0.62,0.95,0.06,160,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,1,Overall,0.59,0.6,0.57,0.92,0.03,160,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,1,Overall,0.58,0.6,0.63,0.95,0.05,160,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,1,Overall,0.59,0.59,0.55,0.92,0.03,160,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,1,Overall,0.56,0.59,0.64,0.96,0.05,160,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,1,Overall,0.57,0.59,0.58,0.94,0.02,160,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.28,0.95,-0.05,160,32,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,1,Overall,0.61,0.65,0.55,0.93,0.02,95,23,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,1,Overall,0.63,0.65,0.54,0.91,0.01,95,23,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc case,1,Overall,0.66,0.65,0.51,0.92,0.01,97,26,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc case,1,Overall,0.65,0.65,0.51,0.89,0,97,26,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,1,Overall,0.58,0.61,0.65,0.95,-0,111,23,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,1,Overall,0.6,0.62,0.63,0.93,-0.02,111,23,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.61,0.6,0.6,0.95,0.04,160,32,NA
EuroCOVIDhub-mean,inc case,1,Overall,0.58,0.6,0.63,0.96,0.08,160,32,NA
EuroCOVIDhub-median,inc case,1,Overall,0.59,0.59,0.59,0.95,0.02,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.09,1,0.32,0.83,0.28,155,31,NA
ILM-EKF,inc case,1,Overall,0.77,0.79,0.58,0.87,0.21,160,32,NA
Karlen-pypm,inc case,1,Overall,0.9,0.85,0.55,0.95,0.08,145,29,NA
LANL-GrowthRate,inc case,1,Overall,0.79,0.82,0.62,0.96,-0.35,160,32,NA
MUNI-ARIMA,inc case,1,Overall,0.65,0.64,0.63,0.95,0.05,160,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.93,0.98,0.36,0.71,-0.16,160,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.68,NA,NA,NA,NA,160,32,NA
USC-SIkJalpha,inc case,1,Overall,0.82,0.93,0.12,0.59,0.01,160,32,NA
UVA-Ensemble,inc case,1,Overall,3.54,NA,0.27,0.71,NA,160,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.91,1.05,0.62,0.92,0.01,160,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.25,0.68,-0.27,160,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.05,0.21,-0.27,160,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc death,4,Overall,0.79,0.71,0.61,0.99,-0.11,154,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc death,4,Overall,0.74,0.6,0.51,0.92,-0.3,154,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc death,4,Overall,0.79,0.69,0.58,0.98,-0.11,151,31,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc death,4,Overall,0.73,0.6,0.48,0.91,-0.31,151,31,NA
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc death,4,Overall,0.76,0.68,0.6,0.99,-0.1,156,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc death,4,Overall,0.71,0.58,0.51,0.92,-0.28,156,32,NA
