model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.44,0.86,-0.39,160,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,2.07,2.36,0.29,0.68,-0.3,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.66,2.01,0.14,0.39,-0.49,155,31,NA
ILM-EKF,inc case,4,Overall,8.18,10.31,0.09,0.42,-0.44,159,32,NA
Karlen-pypm,inc case,4,Overall,6.81,8.27,0.24,0.58,0.38,78,29,NA
LANL-GrowthRate,inc case,4,Overall,1.2,1.42,0.19,0.52,-0.55,160,32,NA
MUNI-ARIMA,inc case,4,Overall,1.26,1.32,0.44,0.87,-0.34,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,1.03,1.36,0.14,0.34,-0.67,160,32,NA
USC-SIkJalpha,inc case,4,Overall,1.6,2.28,0.16,0.21,-0.6,160,32,NA
UVA-Ensemble,inc case,4,Overall,1.37,NA,0.17,0.44,NA,160,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,2.88,3.13,0.22,0.58,-0.22,160,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.45,0.88,-0.33,160,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.81,1.93,0.31,0.76,-0.21,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.61,1.87,0.21,0.52,-0.34,155,31,NA
ILM-EKF,inc case,3,Overall,4.69,5.62,0.15,0.52,-0.29,159,32,NA
Karlen-pypm,inc case,3,Overall,5.06,6.33,0.27,0.64,0.29,106,29,NA
LANL-GrowthRate,inc case,3,Overall,1.38,1.51,0.26,0.65,-0.42,160,32,NA
MUNI-ARIMA,inc case,3,Overall,1.2,1.26,0.49,0.9,-0.26,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.03,1.3,0.14,0.4,-0.56,160,32,NA
USC-SIkJalpha,inc case,3,Overall,1.55,2.06,0.16,0.26,-0.44,160,32,NA
UVA-Ensemble,inc case,3,Overall,1.66,NA,0.31,0.72,NA,160,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,3.18,3.26,0.31,0.71,-0.05,160,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,1.54,NA,0.53,0.98,NA,124,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.48,0.91,-0.32,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.56,1.57,0.38,0.85,-0.16,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.47,1.56,0.28,0.68,-0.2,155,31,NA
ILM-EKF,inc case,2,Overall,3.12,3.59,0.27,0.62,-0.17,160,32,NA
Karlen-pypm,inc case,2,Overall,3.5,4.02,0.34,0.75,0.17,134,29,NA
LANL-GrowthRate,inc case,2,Overall,1.47,1.4,0.37,0.79,-0.32,160,32,NA
MUNI-ARIMA,inc case,2,Overall,1.06,1.17,0.58,0.91,-0.18,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.07,1.27,0.2,0.49,-0.47,160,32,NA
USC-SIkJalpha,inc case,2,Overall,1.46,1.75,0.19,0.33,-0.37,160,32,NA
UVA-Ensemble,inc case,2,Overall,2.12,NA,0.39,0.86,NA,160,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,3,3.21,0.4,0.83,-0.03,160,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.44,0.94,-0.27,160,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,1.18,1.05,0.51,0.92,-0.12,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.51,1.44,0.37,0.86,-0.04,155,31,NA
ILM-EKF,inc case,1,Overall,2.01,2.15,0.32,0.76,-0.1,160,32,NA
Karlen-pypm,inc case,1,Overall,1.73,1.66,0.5,0.91,0.13,145,29,NA
LANL-GrowthRate,inc case,1,Overall,1.22,1.15,0.42,0.92,-0.36,160,32,NA
