forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.3,12769.7
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.35,12848.95
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.4,12953.2
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.45,13078.55
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.5,13173.5
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.55,13281.45
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.6,13403.2
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.65,13495.05
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.7,13631.3
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.75,13789.5
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.8,13948.8
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.85,14151.2
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.9,14434.1
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.95,14879.199999999999
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.975,15147.075
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,quantile,0.99,15413.41
2022-10-10,1 wk ahead inc death,2022-10-15,DE,Germany,point,NA,4950
2022-10-10,2 wk ahead inc death,2022-10-22,DE,Germany,point,NA,7162
2022-10-10,3 wk ahead inc death,2022-10-29,DE,Germany,point,NA,9805
2022-10-10,4 wk ahead inc death,2022-11-05,DE,Germany,point,NA,13173.5
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.01,865919.51
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.025,871841.725
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.05,879008.95
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.1,885175.6
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.15,889909.8
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.2,893281.8
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.25,895816.25
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.3,898572.6000000001
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.35,901824.7999999999
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.4,904152.6
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.45,906645.2
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.5,909405
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.55,911531.75
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.6,913509.6000000001
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.65,916104.5
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.7,918664.4
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.75,921714
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.8,924805
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.85,928953.85
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.9,934036.9
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.95,941586.25
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.975,947303.175
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,quantile,0.99,954501.73
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.01,1088308.84
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.025,1102658.9749999999
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.05,1116870.1
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.1,1130659
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.15,1141605.9000000001
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.2,1149759.6
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.25,1155375
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.3,1161862.6
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.35,1168918.9500000002
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.4,1173411.4
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.45,1179183.85
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.5,1186349.5
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.55,1190620.3
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.6,1196648.2
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.65,1202474.1
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.7,1208299.1
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.75,1216375
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.8,1224550.2
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.85,1236084.25
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.9,1246930.7999999998
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.95,1270490.25
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.975,1284138.9
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,quantile,0.99,1298244.21
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.01,1389234.95
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.025,1417940.125
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.05,1441841.9
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.1,1468877.2000000002
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.15,1488841.4000000001
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.2,1505335.4000000001
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.25,1517369.5
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.3,1529910.9
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.35,1540489.6
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.4,1551421.2000000002
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.45,1563769.35
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.5,1574232
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.55,1583261.85
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.6,1596391
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.65,1606406.4500000002
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.7,1621694.8000000003
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.75,1636707
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.8,1654935
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.85,1676862.8499999999
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.9,1702631.8
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.95,1747155.2
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.975,1780044.7
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,quantile,0.99,1806995.63
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.01,1799542.32
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.025,1849458.775
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.05,1884350.8
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.1,1932620.1
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.15,1968474.25
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.2,1995036.2000000002
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.25,2014976.75
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.3,2040476.9
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.35,2057342.8
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.4,2078453.8
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.45,2101267.85
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.5,2117775
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.55,2135597.25
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.6,2158097
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.65,2178412.95
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.7,2206964.9
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.75,2233106
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.8,2271960.4
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.85,2306446.9000000004
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.9,2357915
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.95,2444782.4000000004
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.975,2505010.125
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,quantile,0.99,2552287.31
2022-10-10,1 wk ahead inc case,2022-10-15,DE,Germany,point,NA,909405
2022-10-10,2 wk ahead inc case,2022-10-22,DE,Germany,point,NA,1186349.5
2022-10-10,3 wk ahead inc case,2022-10-29,DE,Germany,point,NA,1574232
2022-10-10,4 wk ahead inc case,2022-11-05,DE,Germany,point,NA,2117775
