model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,2,CY,1700,423,346,931,1.28,2420,1.37,0.21,0.53,0.23,1,19,Cyprus
EuroCOVIDhub-relative_skill_weighted_median,inc case,3,CY,2201,398,699,1104,1.2,2954,1.22,0.16,0.47,0.15,1,19,Cyprus
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,2,CY,1409,235,406,768,1.06,2028,1.14,0.21,0.53,0.17,1,19,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean,inc case,4,CY,4973,1341,988,2644,2.25,6740,2.31,0.11,0.33,0.23,1,18,Cyprus
EuroCOVIDhub-relative_skill_weighted_median,inc case,4,CY,2683,484,1055,1144,1.19,3526,1.19,0.17,0.39,0.18,1,18,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,3,CY,3018,537,732,1749,1.59,4109,1.63,0.12,0.35,0.29,1,17,Cyprus
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,3,CY,2141,344,749,1048,1.07,2799,1.07,0.18,0.35,0.19,1,17,Cyprus
MUNI-ARIMA,inc case,1,CY,367,102,124,141,0.55,539,0.6,0.47,0.82,0.04,1,17,Cyprus
MUNI-ARIMA,inc case,2,CY,892,218,358,316,0.7,1316,0.79,0.31,0.81,0.19,1,16,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,4,CY,5287,964,1218,3105,2.43,7110,2.44,0.07,0.27,0.21,1,15,Cyprus
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,4,CY,2773,448,1279,1045,1.17,3528,1.14,0.13,0.4,0.13,1,15,Cyprus
RobertWalraven-ESG,inc case,1,CY,854,90,455,309,1.29,1066,1.22,0.16,0.44,-0.18,1,25,Cyprus
MUNI-ARIMA,inc case,3,CY,1452,304,739,409,0.79,2110,0.89,0.21,0.79,0.15,1,14,Cyprus
RobertWalraven-ESG,inc case,2,CY,1537,105,1016,416,1.2,1742,1.1,0.17,0.38,-0.18,1,24,Cyprus
MUNI-ARIMA,inc case,4,CY,2015,370,1136,510,0.89,2924,1,0.15,0.69,0.09,1,13,Cyprus
RobertWalraven-ESG,inc case,3,CY,2028,115,1505,408,1.04,2243,0.98,0.17,0.35,-0.25,1,23,Cyprus
RobertWalraven-ESG,inc case,4,CY,2569,120,2025,424,1.06,2689,0.97,0,0.32,-0.39,1,22,Cyprus
Karlen-pypm,inc case,1,CY,1129,427,39,663,1.29,1897,1.65,0.43,1,0.21,1,7,Cyprus
Karlen-pypm,inc case,2,CY,3562,787,50,2725,2.23,5373,2.43,0.17,0.83,0.38,1,6,Cyprus
Karlen-pypm,inc case,3,CY,8560,1285,38,7236,3.66,11904,3.58,0.2,0.8,0.61,1,5,Cyprus
Karlen-pypm,inc case,4,CY,15691,1349,0,14342,5.58,20588,5.08,0,0.75,0.89,1,4,Cyprus
EuroCOVIDhub-baseline,inc death,1,CY,3,0,1,1,1,4,1,0.24,0.88,-0.07,1,25,Cyprus
EuroCOVIDhub-ensemble,inc death,1,CY,2,1,1,0,0.83,4,0.88,0.6,0.96,-0.06,1,25,Cyprus
EuroCOVIDhub-mean,inc death,1,CY,2,1,1,0,0.81,3,0.85,0.6,1,-0.03,1,25,Cyprus
EuroCOVIDhub-median,inc death,1,CY,2,1,1,0,0.8,4,0.89,0.6,0.96,-0.08,1,25,Cyprus
IEM_Health-CovidProject,inc death,1,CY,3,1,2,1,1.11,5,1.19,0.4,0.76,-0.13,1,25,Cyprus
ILM-EKF,inc death,1,CY,4,4,0,0,1.63,3,0.91,0.88,1,0.06,1,25,Cyprus
LANL-GrowthRate,inc death,1,CY,3,1,2,1,1.22,5,1.36,0.29,0.88,-0.18,1,24,Cyprus
RobertWalraven-ESG,inc death,1,CY,3,0,2,1,1.04,4,0.98,0.32,0.64,-0.3,1,25,Cyprus
USC-SIkJalpha,inc death,1,CY,3,1,1,1,1.3,4,1.15,0.28,0.48,0.04,1,25,Cyprus
epiforecasts-EpiNow2,inc death,1,CY,2,1,0,0,0.91,3,0.83,0.71,1,-0.02,1,21,Cyprus
EuroCOVIDhub-baseline,inc death,2,CY,3,1,2,1,1,5,1,0.42,0.88,-0.17,1,24,Cyprus
EuroCOVIDhub-ensemble,inc death,2,CY,3,1,1,1,0.83,4,0.84,0.62,0.96,-0.04,1,24,Cyprus
EuroCOVIDhub-mean,inc death,2,CY,3,2,1,1,0.81,4,0.8,0.67,0.96,0.01,1,24,Cyprus
EuroCOVIDhub-median,inc death,2,CY,3,1,1,0,0.76,4,0.81,0.5,1,-0.07,1,24,Cyprus
IEM_Health-CovidProject,inc death,2,CY,4,1,2,1,1.31,6,1.23,0.38,0.75,-0.18,1,24,Cyprus
ILM-EKF,inc death,2,CY,5,4,0,0,1.61,4,0.91,0.83,1,0.1,1,24,Cyprus
LANL-GrowthRate,inc death,2,CY,4,1,3,1,1.38,7,1.34,0.26,0.65,-0.24,1,23,Cyprus
RobertWalraven-ESG,inc death,2,CY,4,1,3,1,1.15,5,1,0.33,0.75,-0.34,1,24,Cyprus
USC-SIkJalpha,inc death,2,CY,4,1,1,1,1.17,5,1.02,0.38,0.5,0.01,1,24,Cyprus
epiforecasts-EpiNow2,inc death,2,CY,3,2,1,1,1.03,5,0.96,0.6,0.95,0.06,1,20,Cyprus
EuroCOVIDhub-baseline,inc death,3,CY,4,1,2,1,1,6,1,0.43,0.83,-0.22,1,23,Cyprus
EuroCOVIDhub-ensemble,inc death,3,CY,3,2,1,1,0.8,4,0.64,0.52,0.96,-0,1,23,Cyprus
EuroCOVIDhub-mean,inc death,3,CY,3,2,0,1,0.8,4,0.61,0.65,0.96,0.06,1,23,Cyprus
EuroCOVIDhub-median,inc death,3,CY,3,1,1,0,0.73,5,0.73,0.39,1,-0.09,1,23,Cyprus
IEM_Health-CovidProject,inc death,3,CY,5,2,3,1,1.26,7,1.08,0.48,0.78,-0.16,1,23,Cyprus
ILM-EKF,inc death,3,CY,8,6,0,2,2.23,9,1.65,0.65,1,0.11,1,23,Cyprus
LANL-GrowthRate,inc death,3,CY,5,1,4,1,1.31,8,1.21,0.14,0.55,-0.32,1,22,Cyprus
RobertWalraven-ESG,inc death,3,CY,4,1,3,1,1.13,6,0.94,0.22,0.7,-0.52,1,23,Cyprus
USC-SIkJalpha,inc death,3,CY,4,1,2,2,1.09,6,0.9,0.39,0.52,-0.05,1,23,Cyprus
EuroCOVIDhub-baseline,inc death,4,CY,5,1,3,1,1,8,1,0.41,0.86,-0.16,1,22,Cyprus
EuroCOVIDhub-ensemble,inc death,4,CY,7,5,1,1,1.21,6,0.86,0.55,0.95,0.07,1,22,Cyprus
EuroCOVIDhub-mean,inc death,4,CY,7,5,1,1,1.26,6,0.8,0.64,0.95,0.15,1,22,Cyprus
EuroCOVIDhub-median,inc death,4,CY,4,2,1,1,0.86,7,0.83,0.5,0.91,-0.08,1,22,Cyprus
IEM_Health-CovidProject,inc death,4,CY,6,2,3,1,1.3,8,1.07,0.36,0.77,-0.09,1,22,Cyprus
ILM-EKF,inc death,4,CY,16,11,1,5,3.81,20,3.02,0.55,1,0.15,1,22,Cyprus
LANL-GrowthRate,inc death,4,CY,6,1,5,1,1.33,9,1.18,0.14,0.48,-0.3,1,21,Cyprus
RobertWalraven-ESG,inc death,4,CY,6,1,5,1,1.26,8,1.02,0.36,0.55,-0.46,1,22,Cyprus
UMass-MechBayes,inc death,1,CY,2,1,1,1,0.76,4,0.97,0.5,1,0.01,1,22,Cyprus
USC-SIkJalpha,inc death,4,CY,5,2,2,2,1.13,7,0.9,0.36,0.64,-0.07,1,22,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean,inc death,1,CY,2,1,1,0,0.78,4,0.85,0.52,1,0.02,1,21,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,1,CY,2,1,1,0,0.78,3,0.81,0.52,1,-0.01,1,21,Cyprus
EuroCOVIDhub-relative_skill_weighted_median,inc death,1,CY,2,1,1,0,0.8,4,0.94,0.43,0.95,-0.11,1,21,Cyprus
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,1,CY,2,1,1,0,0.81,4,0.92,0.48,0.95,-0.12,1,21,Cyprus
LANL-GrowthRate,inc death,5,CY,7,1,5,1,NA,10,NA,0.1,0.35,-0.29,1,20,Cyprus
UMass-MechBayes,inc death,2,CY,3,1,1,1,0.82,5,0.93,0.43,0.95,0.06,1,21,Cyprus
USC-SIkJalpha,inc death,5,CY,7,2,2,2,NA,9,NA,0.52,0.67,-0.03,1,21,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean,inc death,2,CY,3,1,1,1,0.78,4,0.79,0.6,0.9,0.04,1,20,Cyprus
EuroCOVIDhub-relative_skill_weighted_median,inc death,2,CY,3,1,1,1,0.84,5,0.92,0.35,0.95,-0.09,1,20,Cyprus
Imperial-DeCa,inc death,1,CY,2,1,1,0,0.85,4,0.94,0.5,1,-0.32,1,8,Cyprus
Imperial-RtI0,inc death,1,CY,4,2,1,0,1.43,6,1.44,0.88,1,-0.12,1,8,Cyprus
Imperial-sbkp,inc death,1,CY,5,2,0,3,1.77,8,2.02,0.38,1,0.34,1,8,Cyprus
LANL-GrowthRate,inc death,6,CY,8,1,5,2,NA,11,NA,0.11,0.37,-0.25,1,19,Cyprus
UMass-MechBayes,inc death,3,CY,4,2,1,2,1.06,6,1.05,0.4,1,0.16,1,20,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean,inc death,3,CY,3,2,0,1,0.72,4,0.58,0.53,0.95,0.12,1,19,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,2,CY,3,1,1,1,0.77,4,0.76,0.58,0.89,0.07,1,19,Cyprus
EuroCOVIDhub-relative_skill_weighted_median,inc death,3,CY,3,1,2,1,0.83,5,0.83,0.32,0.95,-0.11,1,19,Cyprus
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,2,CY,3,1,1,1,0.81,5,0.87,0.37,0.95,-0.06,1,19,Cyprus
UMass-MechBayes,inc death,4,CY,9,3,0,5,2.05,14,1.99,0.42,0.89,0.21,1,19,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean,inc death,4,CY,5,3,0,1,1.02,6,0.79,0.56,0.94,0.22,1,18,Cyprus
EuroCOVIDhub-relative_skill_weighted_median,inc death,4,CY,4,1,2,1,0.85,7,0.9,0.44,0.89,-0.07,1,18,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,3,CY,3,2,0,1,0.72,4,0.54,0.53,0.94,0.14,1,17,Cyprus
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,3,CY,3,1,1,1,0.7,5,0.75,0.35,1,-0.08,1,17,Cyprus
MUNI-ARIMA,inc death,1,CY,3,1,2,1,1.1,5,1.18,0.29,0.94,-0.1,1,17,Cyprus
MUNI-ARIMA,inc death,2,CY,4,1,2,1,1.2,6,1.24,0.38,0.88,-0.07,1,16,Cyprus
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,4,CY,5,3,1,2,1.13,7,0.86,0.53,0.87,0.29,1,15,Cyprus
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,4,CY,4,2,1,1,0.81,6,0.79,0.53,0.87,-0.03,1,15,Cyprus
MUNI-ARIMA,inc death,3,CY,5,1,3,1,1.3,8,1.25,0.29,0.79,-0.09,1,14,Cyprus
MUNI-ARIMA,inc death,4,CY,7,1,4,1,1.38,10,1.31,0.31,0.69,-0.12,1,13,Cyprus
Karlen-pypm,inc death,1,CY,3,1,1,0,0.84,4,0.82,0.57,1,-0.41,1,7,Cyprus
Karlen-pypm,inc death,2,CY,3,2,2,0,0.71,5,0.68,0.67,1,-0.42,1,6,Cyprus
Karlen-pypm,inc death,3,CY,5,3,2,1,0.9,9,1.04,0.2,1,-0.32,1,5,Cyprus
Karlen-pypm,inc death,4,CY,10,4,1,5,1.46,18,1.8,0.5,1,-0.15,1,4,Cyprus
EuroCOVIDhub-baseline,inc case,1,CZ,2465,646,8,1811,1,3412,1,0.56,1,0.4,1,25,Czechia
EuroCOVIDhub-ensemble,inc case,1,CZ,1242,968,15,258,0.4,1642,0.42,0.8,1,0.14,1,25,Czechia
EuroCOVIDhub-mean,inc case,1,CZ,1246,972,16,258,0.41,1641,0.42,0.8,1,0.12,1,25,Czechia
EuroCOVIDhub-median,inc case,1,CZ,1275,822,19,435,0.41,1977,0.52,0.8,1,0.17,1,25,Czechia
IEM_Health-CovidProject,inc case,1,CZ,2547,1453,26,1068,0.76,4251,1.09,0.56,0.96,0.24,1,25,Czechia
ILM-EKF,inc case,1,CZ,1283,706,68,508,0.43,2056,0.52,0.72,0.96,0.06,1,25,Czechia
LANL-GrowthRate,inc case,1,CZ,1973,1189,784,0,0.7,3367,1.05,0.46,1,-0.55,1,24,Czechia
MUNI_DMS-SEIAR,inc case,1,CZ,1360,821,273,267,0.49,2208,0.63,0.54,0.92,-0.08,1,24,Czechia
USC-SIkJalpha,inc case,1,CZ,2621,1194,33,1394,0.81,2978,0.83,0.32,0.4,0.44,1,25,Czechia
epiforecasts-EpiNow2,inc case,1,CZ,1597,856,39,703,0.47,2307,0.53,0.64,0.88,0.06,1,25,Czechia
EuroCOVIDhub-baseline,inc case,2,CZ,4778,1391,5,3382,1,6880,1,0.58,0.92,0.38,1,24,Czechia
EuroCOVIDhub-ensemble,inc case,2,CZ,2143,1268,33,842,0.35,3400,0.45,0.62,1,0.2,1,24,Czechia
EuroCOVIDhub-mean,inc case,2,CZ,2157,1280,32,845,0.36,3410,0.46,0.67,1,0.2,1,24,Czechia
EuroCOVIDhub-median,inc case,2,CZ,2150,1132,61,957,0.36,3543,0.49,0.54,0.96,0.16,1,24,Czechia
IEM_Health-CovidProject,inc case,2,CZ,4245,1852,59,2334,0.64,7148,0.89,0.42,0.88,0.33,1,24,Czechia
ILM-EKF,inc case,2,CZ,2449,1225,107,1116,0.4,3870,0.5,0.54,0.92,0.06,1,24,Czechia
LANL-GrowthRate,inc case,2,CZ,1891,1414,431,46,0.37,2354,0.43,0.57,0.96,-0.37,1,23,Czechia
MUNI_DMS-SEIAR,inc case,2,CZ,1456,755,130,570,0.35,2194,0.42,0.35,0.74,0.08,1,23,Czechia
USC-SIkJalpha,inc case,2,CZ,3564,1265,96,2203,0.59,4332,0.61,0.17,0.29,0.42,1,24,Czechia
epiforecasts-EpiNow2,inc case,2,CZ,2530,1314,116,1100,0.44,3886,0.56,0.54,0.83,0.06,1,24,Czechia
EuroCOVIDhub-baseline,inc case,3,CZ,7044,2030,4,5010,1,10082,1,0.61,0.87,0.38,1,23,Czechia
EuroCOVIDhub-ensemble,inc case,3,CZ,3185,1575,41,1568,0.37,5050,0.49,0.57,1,0.26,1,23,Czechia
EuroCOVIDhub-mean,inc case,3,CZ,3212,1595,40,1578,0.38,5056,0.49,0.57,1,0.28,1,23,Czechia
EuroCOVIDhub-median,inc case,3,CZ,2923,1387,82,1454,0.34,4754,0.46,0.48,0.91,0.15,1,23,Czechia
IEM_Health-CovidProject,inc case,3,CZ,6174,2279,91,3803,0.63,10142,0.91,0.39,0.74,0.3,1,23,Czechia
ILM-EKF,inc case,3,CZ,3625,1813,161,1651,0.39,5767,0.5,0.52,0.91,0.04,1,23,Czechia
LANL-GrowthRate,inc case,3,CZ,2401,1617,199,585,0.3,3604,0.37,0.5,0.95,-0.17,1,22,Czechia
MUNI_DMS-SEIAR,inc case,3,CZ,2077,709,144,1224,0.37,3464,0.46,0.27,0.68,0.21,1,22,Czechia
USC-SIkJalpha,inc case,3,CZ,4307,1327,161,2819,0.5,5399,0.54,0.13,0.3,0.31,1,23,Czechia
epiforecasts-EpiNow2,inc case,3,CZ,3043,1589,195,1259,0.43,4694,0.53,0.39,0.91,0.01,1,23,Czechia
EuroCOVIDhub-baseline,inc case,4,CZ,9009,2561,3,6445,1,12807,1,0.59,0.86,0.41,1,22,Czechia
EuroCOVIDhub-ensemble,inc case,4,CZ,4123,1910,53,2159,0.39,6471,0.55,0.5,1,0.35,1,22,Czechia
EuroCOVIDhub-mean,inc case,4,CZ,4168,1934,50,2185,0.42,6513,0.56,0.5,1,0.38,1,22,Czechia
EuroCOVIDhub-median,inc case,4,CZ,3517,1513,93,1911,0.32,6006,0.48,0.45,0.91,0.18,1,22,Czechia
IEM_Health-CovidProject,inc case,4,CZ,7986,2750,106,5131,0.63,12735,0.91,0.36,0.68,0.26,1,22,Czechia
ILM-EKF,inc case,4,CZ,4536,2492,197,1847,0.39,7179,0.53,0.45,0.91,0.04,1,22,Czechia
LANL-GrowthRate,inc case,4,CZ,3698,1924,94,1681,0.33,5833,0.45,0.48,1,0.11,1,21,Czechia
MUNI_DMS-SEIAR,inc case,4,CZ,3057,684,204,2169,0.46,4890,0.57,0.14,0.57,0.31,1,21,Czechia
USC-SIkJalpha,inc case,4,CZ,4804,1405,202,3197,0.44,6046,0.5,0.23,0.36,0.28,1,22,Czechia
epiforecasts-EpiNow2,inc case,4,CZ,3021,1582,292,1146,0.4,4777,0.5,0.32,0.82,-0.06,1,22,Czechia
EuroCOVIDhub-relative_skill_weighted_mean,inc case,1,CZ,494,423,35,36,0.41,481,0.34,0.86,1,-0,1,21,Czechia
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,1,CZ,491,417,26,48,0.41,445,0.32,0.81,1,0.03,1,21,Czechia
EuroCOVIDhub-relative_skill_weighted_median,inc case,1,CZ,418,353,24,40,0.36,415,0.3,0.86,1,0,1,21,Czechia
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,1,CZ,417,351,22,44,0.36,426,0.31,0.9,1,0.05,1,21,Czechia
LANL-GrowthRate,inc case,5,CZ,5557,2264,59,3234,NA,9368,NA,0.4,1,0.31,1,20,Czechia
USC-SIkJalpha,inc case,5,CZ,4990,1441,239,3310,NA,6263,NA,0.19,0.29,0.23,1,21,Czechia
EuroCOVIDhub-relative_skill_weighted_mean,inc case,2,CZ,679,519,54,107,0.33,729,0.32,0.75,1,0.08,1,20,Czechia
EuroCOVIDhub-relative_skill_weighted_median,inc case,2,CZ,618,458,72,87,0.3,762,0.33,0.75,0.95,-0,1,20,Czechia
LANL-GrowthRate,inc case,6,CZ,7581,2664,25,4892,NA,12509,NA,0.37,0.89,0.48,1,19,Czechia
EuroCOVIDhub-relative_skill_weighted_mean,inc case,3,CZ,920,613,74,233,0.35,1107,0.39,0.63,1,0.17,1,19,Czechia
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,2,CZ,596,423,72,102,0.34,837,0.4,0.74,1,0.07,1,19,Czechia
EuroCOVIDhub-relative_skill_weighted_median,inc case,3,CZ,828,566,124,138,0.3,1033,0.35,0.63,0.89,0,1,19,Czechia
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,2,CZ,571,394,89,88,0.32,828,0.39,0.74,0.95,-0.03,1,19,Czechia
EuroCOVIDhub-relative_skill_weighted_mean,inc case,4,CZ,1225,721,73,431,0.38,1605,0.49,0.5,0.94,0.27,1,18,Czechia
EuroCOVIDhub-relative_skill_weighted_median,inc case,4,CZ,1022,640,134,247,0.3,1334,0.39,0.61,0.89,0,1,18,Czechia
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,3,CZ,737,436,59,242,0.34,950,0.41,0.59,1,0.18,1,17,Czechia
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,3,CZ,659,414,110,135,0.3,750,0.32,0.59,0.88,-0.01,1,17,Czechia
MUNI-ARIMA,inc case,1,CZ,404,356,0,48,0.63,384,0.46,1,1,0.19,1,17,Czechia
MUNI-ARIMA,inc case,2,CZ,816,763,5,48,0.64,585,0.38,1,1,0.07,1,16,Czechia
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,4,CZ,1002,442,113,447,0.39,1550,0.55,0.33,0.87,0.21,1,15,Czechia
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,4,CZ,810,394,180,236,0.31,1293,0.45,0.33,0.87,-0.02,1,15,Czechia
RobertWalraven-ESG,inc case,1,CZ,368,233,35,99,0.78,3130,0.83,0.68,1,0.03,1,25,Czechia
MUNI-ARIMA,inc case,3,CZ,1076,1024,25,26,0.67,644,0.36,1,1,-0.02,1,14,Czechia
RobertWalraven-ESG,inc case,2,CZ,465,287,73,106,0.49,4981,0.68,0.54,1,-0.01,1,24,Czechia
MUNI-ARIMA,inc case,4,CZ,1424,1358,51,15,0.71,758,0.35,1,1,-0.06,1,13,Czechia
RobertWalraven-ESG,inc case,3,CZ,526,339,89,98,0.37,6105,0.57,0.57,1,-0.02,1,23,Czechia
RobertWalraven-ESG,inc case,4,CZ,546,389,81,76,0.3,6482,0.47,0.77,1,-0.02,1,22,Czechia
Karlen-pypm,inc case,1,CZ,257,130,62,65,0.86,354,1.07,0.43,0.86,0.04,1,7,Czechia
Karlen-pypm,inc case,2,CZ,662,248,135,279,0.93,998,1.21,0,0.67,-0.12,1,6,Czechia
Karlen-pypm,inc case,3,CZ,1373,505,146,723,1.11,1991,1.42,0.2,0.6,0.01,1,5,Czechia
Karlen-pypm,inc case,4,CZ,2717,1065,90,1563,1.55,3894,2.12,0.25,0.5,0.28,1,4,Czechia
EuroCOVIDhub-baseline,inc death,1,CZ,48,11,4,33,1,71,1,0.4,0.96,0.36,1,25,Czechia
EuroCOVIDhub-ensemble,inc death,1,CZ,22,14,2,6,0.41,28,0.36,0.64,0.96,0.08,1,25,Czechia
EuroCOVIDhub-mean,inc death,1,CZ,22,14,2,6,0.41,28,0.36,0.64,0.96,0.08,1,25,Czechia
EuroCOVIDhub-median,inc death,1,CZ,22,14,2,7,0.4,31,0.37,0.52,0.96,0.09,1,25,Czechia
IEM_Health-CovidProject,inc death,1,CZ,34,18,2,14,0.63,53,0.61,0.44,0.76,0.19,1,25,Czechia
ILM-EKF,inc death,1,CZ,32,28,1,3,0.59,25,0.33,0.8,0.96,0.1,1,25,Czechia
LANL-GrowthRate,inc death,1,CZ,28,7,17,4,0.54,44,0.56,0.17,0.75,-0.21,1,24,Czechia
MUNI_DMS-SEIAR,inc death,1,CZ,23,12,5,6,0.55,34,0.52,0.52,0.91,-0.13,1,23,Czechia
RobertWalraven-ESG,inc death,1,CZ,34,8,4,22,0.53,43,0.49,0.76,0.84,0.03,1,25,Czechia
USC-SIkJalpha,inc death,1,CZ,49,18,2,29,0.89,58,0.73,0.24,0.28,0.37,1,25,Czechia
epiforecasts-EpiNow2,inc death,1,CZ,17,9,3,5,0.34,24,0.32,0.54,0.96,0.12,1,24,Czechia
EuroCOVIDhub-baseline,inc death,2,CZ,87,22,1,63,1,129,1,0.5,0.83,0.43,1,24,Czechia
EuroCOVIDhub-ensemble,inc death,2,CZ,34,17,1,16,0.32,51,0.33,0.67,0.96,0.19,1,24,Czechia
EuroCOVIDhub-mean,inc death,2,CZ,34,17,1,16,0.32,51,0.33,0.67,0.96,0.18,1,24,Czechia
EuroCOVIDhub-median,inc death,2,CZ,37,16,1,19,0.34,59,0.36,0.62,0.96,0.2,1,24,Czechia
IEM_Health-CovidProject,inc death,2,CZ,61,24,1,35,0.57,96,0.61,0.42,0.79,0.33,1,24,Czechia
ILM-EKF,inc death,2,CZ,39,29,1,9,0.38,48,0.31,0.83,0.96,0.17,1,24,Czechia
LANL-GrowthRate,inc death,2,CZ,34,9,21,4,0.34,52,0.37,0.39,0.83,-0.15,1,23,Czechia
MUNI_DMS-SEIAR,inc death,2,CZ,34,11,8,15,0.44,56,0.51,0.41,0.95,-0.03,1,22,Czechia
RobertWalraven-ESG,inc death,2,CZ,58,10,2,47,0.45,68,0.39,0.71,0.83,0.13,1,24,Czechia
USC-SIkJalpha,inc death,2,CZ,67,21,1,45,0.61,90,0.54,0.25,0.38,0.48,1,24,Czechia
epiforecasts-EpiNow2,inc death,2,CZ,35,15,2,19,0.32,57,0.34,0.61,0.91,0.29,1,23,Czechia
EuroCOVIDhub-baseline,inc death,3,CZ,131,32,0,99,1,189,1,0.48,0.74,0.52,1,23,Czechia
EuroCOVIDhub-ensemble,inc death,3,CZ,52,21,1,30,0.31,83,0.34,0.57,0.91,0.3,1,23,Czechia
EuroCOVIDhub-mean,inc death,3,CZ,52,21,1,30,0.31,83,0.34,0.57,0.91,0.3,1,23,Czechia
EuroCOVIDhub-median,inc death,3,CZ,53,20,1,32,0.31,86,0.35,0.48,0.96,0.26,1,23,Czechia
IEM_Health-CovidProject,inc death,3,CZ,95,30,1,64,0.54,153,0.61,0.35,0.78,0.49,1,23,Czechia
ILM-EKF,inc death,3,CZ,52,32,1,19,0.33,77,0.32,0.57,0.96,0.19,1,23,Czechia
LANL-GrowthRate,inc death,3,CZ,34,12,16,6,0.25,50,0.28,0.41,0.82,-0.08,1,22,Czechia
MUNI_DMS-SEIAR,inc death,3,CZ,44,11,9,24,0.39,72,0.47,0.43,0.81,0.02,1,21,Czechia
RobertWalraven-ESG,inc death,3,CZ,86,12,1,73,0.42,94,0.33,0.7,0.78,0.16,1,23,Czechia
USC-SIkJalpha,inc death,3,CZ,97,23,2,72,0.59,131,0.54,0.13,0.39,0.38,1,23,Czechia
epiforecasts-EpiNow2,inc death,3,CZ,52,25,2,26,0.32,83,0.34,0.59,0.95,0.27,1,22,Czechia
EuroCOVIDhub-baseline,inc death,4,CZ,179,39,0,139,1,254,1,0.45,0.73,0.53,1,22,Czechia
EuroCOVIDhub-ensemble,inc death,4,CZ,69,25,0,44,0.29,108,0.33,0.59,0.86,0.35,1,22,Czechia
EuroCOVIDhub-mean,inc death,4,CZ,69,26,0,44,0.3,108,0.33,0.59,0.86,0.36,1,22,Czechia
EuroCOVIDhub-median,inc death,4,CZ,65,24,1,40,0.28,107,0.32,0.5,0.91,0.3,1,22,Czechia
IEM_Health-CovidProject,inc death,4,CZ,136,36,1,99,0.56,210,0.62,0.32,0.68,0.47,1,22,Czechia
ILM-EKF,inc death,4,CZ,68,38,1,28,0.3,106,0.31,0.5,0.95,0.21,1,22,Czechia
LANL-GrowthRate,inc death,4,CZ,33,16,7,10,0.18,47,0.2,0.38,0.86,0.05,1,21,Czechia
MUNI_DMS-SEIAR,inc death,4,CZ,47,11,4,32,0.34,75,0.41,0.2,0.8,0.07,1,20,Czechia
RobertWalraven-ESG,inc death,4,CZ,109,13,1,95,0.38,118,0.29,0.73,0.77,0.18,1,22,Czechia
UMass-MechBayes,inc death,1,CZ,17,9,5,4,0.46,25,0.51,0.27,0.73,-0.12,1,22,Czechia
USC-SIkJalpha,inc death,4,CZ,109,28,1,80,0.49,146,0.46,0.23,0.36,0.42,1,22,Czechia
epiforecasts-EpiNow2,inc death,4,CZ,63,33,2,27,0.3,102,0.34,0.52,0.95,0.16,1,21,Czechia
EuroCOVIDhub-relative_skill_weighted_mean,inc death,1,CZ,12,8,2,3,0.41,15,0.37,0.57,0.95,0.01,1,21,Czechia
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,1,CZ,12,8,1,3,0.4,15,0.35,0.57,0.95,0.02,1,21,Czechia
EuroCOVIDhub-relative_skill_weighted_median,inc death,1,CZ,11,7,2,3,0.39,14,0.33,0.62,0.95,0.01,1,21,Czechia
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,1,CZ,11,7,1,3,0.38,13,0.32,0.57,0.95,0.04,1,21,Czechia
LANL-GrowthRate,inc death,5,CZ,49,22,2,25,NA,79,NA,0.3,0.8,0.25,1,20,Czechia
UMass-MechBayes,inc death,2,CZ,20,9,6,6,0.34,32,0.41,0.14,0.86,-0.05,1,21,Czechia
