model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
USC-SIkJalpha,inc case,2,AT,1519,327,387,805,0.87,1904,0.65,0.21,0.42,0.26,1,24,Austria
epiforecasts-EpiNow2,inc case,2,AT,1713,609,290,813,1.05,2671,0.98,0.29,0.75,0.07,1,24,Austria
EuroCOVIDhub-baseline,inc case,3,AT,2416,808,467,1141,1,4077,1,0.43,1,0.15,1,23,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,1912,686,306,920,0.72,2896,0.66,0.35,0.83,0.2,1,23,Austria
EuroCOVIDhub-mean,inc case,3,AT,1981,746,209,1026,0.77,3049,0.71,0.39,0.83,0.27,1,23,Austria
EuroCOVIDhub-median,inc case,3,AT,1904,625,376,902,0.72,2872,0.65,0.39,0.78,0.11,1,23,Austria
IEM_Health-CovidProject,inc case,3,AT,2543,627,455,1462,0.96,3823,0.85,0.13,0.65,0.27,1,23,Austria
ILM-EKF,inc case,3,AT,2278,1054,326,898,0.8,3318,0.69,0.48,0.87,0.14,1,23,Austria
LANL-GrowthRate,inc case,3,AT,1822,475,702,645,0.74,2706,0.62,0.32,0.73,-0.03,1,22,Austria
USC-SIkJalpha,inc case,3,AT,2570,378,656,1536,1.08,2945,0.73,0.13,0.17,0.2,1,23,Austria
epiforecasts-EpiNow2,inc case,3,AT,3229,1152,429,1648,1.56,4751,1.28,0.3,0.57,0.04,1,23,Austria
EuroCOVIDhub-baseline,inc case,4,AT,2939,1003,406,1529,1,5012,1,0.41,1,0.19,1,22,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,2855,1004,363,1489,0.92,4363,0.82,0.23,0.73,0.28,1,22,Austria
EuroCOVIDhub-mean,inc case,4,AT,3140,1152,239,1748,1.08,4858,0.96,0.27,0.73,0.36,1,22,Austria
EuroCOVIDhub-median,inc case,4,AT,2665,847,480,1338,0.8,4163,0.72,0.27,0.73,0.16,1,22,Austria
IEM_Health-CovidProject,inc case,4,AT,3735,892,578,2265,1.1,5661,0.97,0.18,0.5,0.29,1,22,Austria
ILM-EKF,inc case,4,AT,3434,1524,509,1401,0.98,5117,0.85,0.36,0.82,0.12,1,22,Austria
LANL-GrowthRate,inc case,4,AT,2472,601,762,1109,0.82,3750,0.7,0.19,0.67,0.11,1,21,Austria
USC-SIkJalpha,inc case,4,AT,3379,481,730,2168,1.16,4017,0.78,0.23,0.27,0.26,1,22,Austria
epiforecasts-EpiNow2,inc case,4,AT,6263,2378,592,3292,2.76,9173,2.18,0.32,0.64,0.08,1,22,Austria
EuroCOVIDhub-relative_skill_weighted_mean,inc case,1,AT,477,238,76,164,0.51,736,0.51,0.62,0.95,0.11,1,21,Austria
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,1,AT,476,237,72,167,0.5,732,0.5,0.62,0.95,0.11,1,21,Austria
EuroCOVIDhub-relative_skill_weighted_median,inc case,1,AT,481,241,81,160,0.51,744,0.51,0.57,0.86,0.11,1,21,Austria
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,1,AT,476,239,76,162,0.51,728,0.5,0.57,0.86,0.1,1,21,Austria
LANL-GrowthRate,inc case,5,AT,3221,732,819,1670,NA,4690,NA,0.15,0.5,0.18,1,20,Austria
USC-SIkJalpha,inc case,5,AT,4443,608,835,3000,NA,5505,NA,0.1,0.14,0.25,1,21,Austria
EuroCOVIDhub-relative_skill_weighted_mean,inc case,2,AT,911,377,160,375,0.56,1341,0.51,0.6,0.9,0.1,1,20,Austria
EuroCOVIDhub-relative_skill_weighted_median,inc case,2,AT,924,363,244,317,0.58,1337,0.52,0.55,0.8,0.03,1,20,Austria
LANL-GrowthRate,inc case,6,AT,4108,894,955,2259,NA,5569,NA,0.21,0.32,0.22,1,19,Austria
EuroCOVIDhub-relative_skill_weighted_mean,inc case,3,AT,1487,554,287,646,0.73,2273,0.67,0.32,0.84,0.16,1,19,Austria
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,2,AT,805,332,161,312,0.56,1132,0.5,0.63,0.89,0.09,1,19,Austria
EuroCOVIDhub-relative_skill_weighted_median,inc case,3,AT,1443,430,491,521,0.71,2144,0.62,0.32,0.74,0,1,19,Austria
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,2,AT,854,320,254,280,0.59,1170,0.52,0.53,0.79,0.03,1,19,Austria
EuroCOVIDhub-relative_skill_weighted_mean,inc case,4,AT,2336,885,358,1093,1,3640,0.89,0.22,0.83,0.25,1,18,Austria
EuroCOVIDhub-relative_skill_weighted_median,inc case,4,AT,2011,499,648,863,0.8,2922,0.67,0.33,0.67,0.04,1,18,Austria
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,3,AT,1437,456,319,663,0.74,2218,0.69,0.24,0.82,0.16,1,17,Austria
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,3,AT,1469,315,632,523,0.76,2078,0.64,0.24,0.59,-0.02,1,17,Austria
MUNI-ARIMA,inc case,1,AT,320,171,54,95,0.43,470,0.42,0.59,1,0.03,1,17,Austria
MUNI-ARIMA,inc case,2,AT,666,390,141,135,0.5,930,0.43,0.69,1,-0.07,1,16,Austria
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,4,AT,2485,859,448,1178,1.16,3754,1.06,0.2,0.73,0.22,1,15,Austria
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,4,AT,1857,345,840,672,0.83,2521,0.68,0.2,0.47,-0.02,1,15,Austria
RobertWalraven-ESG,inc case,1,AT,554,184,325,44,1,1063,0.74,0.52,0.84,-0.17,1,25,Austria
MUNI-ARIMA,inc case,3,AT,911,559,295,56,0.62,1381,0.57,0.79,1,-0.2,1,14,Austria
RobertWalraven-ESG,inc case,2,AT,1086,225,842,20,1.07,1852,0.65,0.42,0.67,-0.27,1,24,Austria
MUNI-ARIMA,inc case,4,AT,1171,752,379,40,0.65,1691,0.57,0.69,1,-0.21,1,13,Austria
RobertWalraven-ESG,inc case,3,AT,1523,256,1257,10,1.06,2505,0.62,0.39,0.61,-0.29,1,23,Austria
RobertWalraven-ESG,inc case,4,AT,1904,280,1619,4,1.09,2994,0.61,0.36,0.59,-0.32,1,22,Austria
Karlen-pypm,inc case,1,AT,603,303,90,209,0.78,899,0.81,0.57,1,0.2,1,7,Austria
Karlen-pypm,inc case,2,AT,1810,632,338,840,1.16,2540,1.04,0.5,0.67,0.12,1,6,Austria
Karlen-pypm,inc case,3,AT,4555,1208,655,2692,1.86,6414,1.58,0,0.6,0.08,1,5,Austria
Karlen-pypm,inc case,4,AT,10876,3025,234,7617,3.33,15176,2.75,0,0.75,0.4,1,4,Austria
EuroCOVIDhub-baseline,inc death,1,AT,11,5,2,4,1,16,1,0.56,1,0.15,1,25,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,7,5,1,1,0.58,9,0.58,0.68,1,0.12,1,25,Austria
EuroCOVIDhub-mean,inc death,1,AT,7,5,1,1,0.59,9,0.58,0.76,1,0.14,1,25,Austria
EuroCOVIDhub-median,inc death,1,AT,7,4,1,1,0.59,10,0.63,0.48,1,0.08,1,25,Austria
IEM_Health-CovidProject,inc death,1,AT,9,5,2,2,0.84,15,0.87,0.48,0.92,0.1,1,25,Austria
ILM-EKF,inc death,1,AT,13,12,0,1,1.11,11,0.67,0.92,1,0.13,1,25,Austria
LANL-GrowthRate,inc death,1,AT,8,2,3,2,0.7,12,0.72,0.33,0.92,0.12,1,24,Austria
RobertWalraven-ESG,inc death,1,AT,7,3,2,2,0.64,12,0.74,0.52,1,0.06,1,25,Austria
USC-SIkJalpha,inc death,1,AT,11,3,1,7,1.04,12,0.77,0.28,0.44,0.3,1,25,Austria
epiforecasts-EpiNow2,inc death,1,AT,7,4,0,3,0.62,11,0.61,0.52,1,0.22,1,25,Austria
EuroCOVIDhub-baseline,inc death,2,AT,17,9,1,6,1,24,1,0.67,1,0.17,1,24,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,8,6,0,2,0.45,11,0.46,0.67,1,0.26,1,24,Austria
EuroCOVIDhub-mean,inc death,2,AT,8,6,0,2,0.46,11,0.45,0.67,1,0.26,1,24,Austria
EuroCOVIDhub-median,inc death,2,AT,8,5,1,2,0.44,12,0.49,0.58,1,0.17,1,24,Austria
IEM_Health-CovidProject,inc death,2,AT,14,7,3,5,0.77,22,0.83,0.38,0.92,0.21,1,24,Austria
ILM-EKF,inc death,2,AT,15,13,0,2,0.78,16,0.62,0.88,1,0.2,1,24,Austria
LANL-GrowthRate,inc death,2,AT,10,3,4,4,0.58,17,0.66,0.13,0.74,0.04,1,23,Austria
RobertWalraven-ESG,inc death,2,AT,10,4,3,3,0.55,16,0.64,0.62,0.96,0.03,1,24,Austria
USC-SIkJalpha,inc death,2,AT,14,4,1,9,0.82,15,0.62,0.25,0.29,0.45,1,24,Austria
epiforecasts-EpiNow2,inc death,2,AT,11,4,0,7,0.58,17,0.61,0.42,0.96,0.33,1,24,Austria
EuroCOVIDhub-baseline,inc death,3,AT,23,13,1,9,1,33,1,0.7,1,0.2,1,23,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,11,7,0,4,0.44,14,0.45,0.57,1,0.38,1,23,Austria
EuroCOVIDhub-mean,inc death,3,AT,11,7,0,4,0.46,14,0.47,0.52,1,0.43,1,23,Austria
EuroCOVIDhub-median,inc death,3,AT,10,6,0,4,0.4,16,0.48,0.74,1,0.26,1,23,Austria
