model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
IEM_Health-CovidProject,inc case,1,CH,1827,679,1149,0,1.87,1.83,0.5,0.75,-0.6,1,4,Switzerland
ILM-EKF,inc case,1,CH,756,511,233,12,0.77,0.73,0.75,1,-0.28,1,4,Switzerland
LANL-GrowthRate,inc case,1,CH,1548,779,437,332,1.58,1.92,0.5,1,-0.2,1,4,Switzerland
USC-SIkJalpha,inc case,1,CH,1645,639,1006,0,1.68,1.69,0,1,-0.7,1,4,Switzerland
epiforecasts-EpiNow2,inc case,1,CH,753,580,49,124,0.77,0.54,0.75,1,0.08,1,4,Switzerland
EuroCOVIDhub-baseline,inc death,1,CH,17,7,3,7,1,1,0.5,1,0.08,1,4,Switzerland
EuroCOVIDhub-ensemble,inc death,1,CH,15,7,3,4,0.86,0.91,0.5,1,0.08,1,4,Switzerland
IEM_Health-CovidProject,inc death,1,CH,20,8,10,1,1.16,1.42,0.75,1,-0.35,1,4,Switzerland
ILM-EKF,inc death,1,CH,20,13,2,6,1.21,1.04,0.75,1,0.12,1,4,Switzerland
LANL-GrowthRate,inc death,1,CH,11,5,1,6,0.68,0.83,0.5,1,0.38,1,4,Switzerland
RobertWalraven-ESG,inc death,1,CH,16,8,5,4,0.97,1.18,0.25,1,0,1,4,Switzerland
USC-SIkJalpha,inc death,1,CH,14,5,4,5,0.8,0.93,0.5,0.5,0.03,1,4,Switzerland
epiforecasts-EpiNow2,inc death,1,CH,20,7,1,12,1.19,1.28,0.25,0.75,0.34,1,4,Switzerland
EuroCOVIDhub-baseline,inc case,1,CY,243,27,181,36,1,1,0,1,-0.07,1,4,Cyprus
EuroCOVIDhub-ensemble,inc case,1,CY,346,228,40,78,1.42,1.29,0.25,1,0.1,1,4,Cyprus
IEM_Health-CovidProject,inc case,1,CY,566,71,194,301,2.33,2.3,0,0.25,0.05,1,4,Cyprus
ILM-EKF,inc case,1,CY,542,168,195,179,2.23,2.41,0.25,0.75,0.21,1,4,Cyprus
LANL-GrowthRate,inc case,1,CY,315,60,195,60,1.3,1.35,0.25,0.75,-0.29,1,4,Cyprus
USC-SIkJalpha,inc case,1,CY,752,661,76,15,3.09,0.72,0.75,0.75,-0.17,1,4,Cyprus
epiforecasts-EpiNow2,inc case,1,CY,485,253,83,148,1.99,2.31,0.5,1,0.17,1,4,Cyprus
EuroCOVIDhub-baseline,inc death,1,CY,2,0,2,0,1,1,0,1,-0.45,1,4,Cyprus
EuroCOVIDhub-ensemble,inc death,1,CY,2,1,1,0,0.84,0.86,1,1,-0.27,1,4,Cyprus
IEM_Health-CovidProject,inc death,1,CY,2,1,1,0,1.05,1.29,0.5,1,-0.5,1,4,Cyprus
ILM-EKF,inc death,1,CY,3,3,1,0,1.48,0.79,1,1,-0.1,1,4,Cyprus
LANL-GrowthRate,inc death,1,CY,2,1,2,0,1.07,1.29,0.25,1,-0.42,1,4,Cyprus
RobertWalraven-ESG,inc death,1,CY,1,1,1,0,0.53,0.57,0.75,1,-0.35,1,4,Cyprus
USC-SIkJalpha,inc death,1,CY,2,1,1,0,1.05,0.93,0.5,0.75,-0.52,1,4,Cyprus
epiforecasts-EpiNow2,inc death,1,CY,1,1,0,0,0.66,0.64,0.75,1,0.05,1,4,Cyprus
EuroCOVIDhub-baseline,inc case,1,CZ,7867,718,0,7149,1,1,0,1,0.88,1,4,Czechia
EuroCOVIDhub-ensemble,inc case,1,CZ,5403,3847,0,1556,0.69,0.66,0.75,1,0.4,1,4,Czechia
IEM_Health-CovidProject,inc case,1,CZ,10984,5783,0,5201,1.4,1.59,0.5,1,0.55,1,4,Czechia
ILM-EKF,inc case,1,CZ,5774,2597,35,3142,0.73,0.84,0.5,1,0.48,1,4,Czechia
LANL-GrowthRate,inc case,1,CZ,6050,4121,1928,0,0.77,0.76,1,1,-0.35,1,4,Czechia
USC-SIkJalpha,inc case,1,CZ,11325,5983,0,5342,1.44,1.05,0.5,0.5,0.68,1,4,Czechia
epiforecasts-EpiNow2,inc case,1,CZ,7766,3320,0,4446,0.99,1.03,0.75,0.75,0.52,1,4,Czechia
EuroCOVIDhub-baseline,inc death,1,CZ,100,11,25,64,1,1,0,1,0.38,1,4,Czechia
EuroCOVIDhub-ensemble,inc death,1,CZ,72,44,1,27,0.72,0.61,0.75,1,0.32,1,4,Czechia
IEM_Health-CovidProject,inc death,1,CZ,121,59,7,54,1.22,1.39,0.5,1,0.35,1,4,Czechia
ILM-EKF,inc death,1,CZ,98,87,1,10,0.98,0.51,1,1,0.1,1,4,Czechia
LANL-GrowthRate,inc death,1,CZ,72,23,44,5,0.72,0.81,0,0.75,-0.4,1,4,Czechia
RobertWalraven-ESG,inc death,1,CZ,149,8,11,129,1.49,1.17,0,0.25,0.51,1,4,Czechia
USC-SIkJalpha,inc death,1,CZ,161,85,0,76,1.62,1.24,0.5,0.75,0.48,1,4,Czechia
epiforecasts-EpiNow2,inc death,1,CZ,45,19,10,15,0.45,0.5,0.5,1,0.2,1,4,Czechia
DSMPG-bayes,inc case,1,DE,13295,5291,376,7627,1.18,1.11,0.75,0.75,0.2,1,4,Germany
