model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
IEM_Health-CovidProject,inc case,1,HU,9450,2846,14,6590,1.35,1.65,0.25,1,0.61,1,4,Hungary
ILM-EKF,inc case,1,HU,6903,2162,0,4741,0.98,1.1,0.5,0.75,0.63,1,4,Hungary
LANL-GrowthRate,inc case,1,HU,3002,2251,320,432,0.43,0.43,1,1,0.1,1,4,Hungary
USC-SIkJalpha,inc case,1,HU,8497,5669,1961,867,1.21,1.37,0.75,1,-0.2,1,4,Hungary
epiforecasts-EpiNow2,inc case,1,HU,5529,2878,0,2651,0.79,0.81,0.5,1,0.42,1,4,Hungary
EuroCOVIDhub-baseline,inc death,1,HU,178,7,171,0,1,1,0,0.5,-0.94,1,4,Hungary
EuroCOVIDhub-ensemble,inc death,1,HU,67,56,4,7,0.38,0.35,1,1,0.1,1,4,Hungary
IEM_Health-CovidProject,inc death,1,HU,81,44,11,26,0.46,0.55,0.75,1,-0.05,1,4,Hungary
ILM-EKF,inc death,1,HU,138,97,2,38,0.78,0.9,1,1,0.3,1,4,Hungary
LANL-GrowthRate,inc death,1,HU,82,22,60,0,0.46,0.54,0.5,0.75,-0.57,1,4,Hungary
RobertWalraven-ESG,inc death,1,HU,121,8,106,7,0.68,0.66,0,0.25,-0.55,1,4,Hungary
USC-SIkJalpha,inc death,1,HU,160,142,6,12,0.9,0.51,1,1,0.18,1,4,Hungary
epiforecasts-EpiNow2,inc death,1,HU,188,38,0,150,1.06,1.17,0.25,0.5,0.74,1,4,Hungary
EuroCOVIDhub-baseline,inc case,1,IE,289,181,63,44,1,1,0.75,1,0.15,1,4,Ireland
EuroCOVIDhub-ensemble,inc case,1,IE,262,222,30,10,0.91,0.81,1,1,-0.07,1,4,Ireland
IEM_Health-CovidProject,inc case,1,IE,306,193,112,1,1.06,1.39,0.5,1,-0.38,1,4,Ireland
ILM-EKF,inc case,1,IE,352,240,105,7,1.22,1.7,0.75,1,-0.28,1,4,Ireland
LANL-GrowthRate,inc case,1,IE,267,125,139,4,0.93,1.45,0.25,1,-0.45,1,4,Ireland
USC-SIkJalpha,inc case,1,IE,256,162,78,16,0.89,1.03,0.75,1,-0.13,1,4,Ireland
epiforecasts-EpiNow2,inc case,1,IE,581,345,87,148,2.01,2.99,0.5,1,0.02,1,4,Ireland
EuroCOVIDhub-baseline,inc death,1,IE,17,4,2,10,1,1,0.5,1,0.03,1,4,Ireland
EuroCOVIDhub-ensemble,inc death,1,IE,13,7,1,4,0.75,0.72,0.75,1,0.05,1,4,Ireland
IEM_Health-CovidProject,inc death,1,IE,16,12,4,0,0.97,0.73,0.75,1,-0.25,1,4,Ireland
ILM-EKF,inc death,1,IE,16,11,2,3,0.97,0.9,0.75,1,0.05,1,4,Ireland
LANL-GrowthRate,inc death,1,IE,13,4,3,6,0.79,0.8,0.5,1,-0.11,1,4,Ireland
RobertWalraven-ESG,inc death,1,IE,11,6,2,2,0.62,0.73,0.75,1,-0.12,1,4,Ireland
USC-SIkJalpha,inc death,1,IE,15,5,1,10,0.91,0.77,0.75,0.75,0.15,1,4,Ireland
epiforecasts-EpiNow2,inc death,1,IE,14,7,0,6,0.8,0.75,0.75,1,0.42,1,4,Ireland
EuroCOVIDhub-baseline,inc case,1,IS,11,5,6,0,1,1,0.5,1,-0.32,1,4,Iceland
EuroCOVIDhub-ensemble,inc case,1,IS,10,6,4,0,0.85,0.88,0.5,1,-0.38,1,4,Iceland
IEM_Health-CovidProject,inc case,1,IS,15,4,12,0,1.37,1.58,0.25,1,-0.79,1,4,Iceland
ILM-EKF,inc case,1,IS,22,3,19,0,1.99,2.32,0.25,1,-0.75,1,4,Iceland
LANL-GrowthRate,inc case,1,IS,23,2,22,0,2.05,1.9,0.25,0.25,-0.85,1,4,Iceland
USC-SIkJalpha,inc case,1,IS,14,5,9,0,1.26,1.72,0.25,0.75,-0.68,1,4,Iceland
epiforecasts-EpiNow2,inc case,1,IS,18,7,8,4,1.63,2.02,0,1,-0.51,1,4,Iceland
EuroCOVIDhub-baseline,inc death,1,IS,0,0,0,0,NA,NA,1,1,0,1,4,Iceland
EuroCOVIDhub-ensemble,inc death,1,IS,0,0,0,0,NA,Inf,1,1,0.02,1,4,Iceland
IEM_Health-CovidProject,inc death,1,IS,1,0,0,0,NA,Inf,1,1,0.17,1,4,Iceland
ILM-EKF,inc death,1,IS,0,0,0,0,NA,Inf,1,1,0.08,1,4,Iceland
LANL-GrowthRate,inc death,1,IS,0,0,0,0,NA,NA,1,1,0,1,4,Iceland
RobertWalraven-ESG,inc death,1,IS,0,0,0,0,NA,NA,1,1,0,1,4,Iceland
USC-SIkJalpha,inc death,1,IS,0,0,0,0,0,NA,1,1,0,1,4,Iceland
epiforecasts-EpiNow2,inc death,1,IS,0,0,0,0,NA,NA,1,1,0,1,4,Iceland
EuroCOVIDhub-baseline,inc case,1,IT,6622,1391,2455,2776,1,1,0.5,1,-0.02,1,4,Italy
EuroCOVIDhub-ensemble,inc case,1,IT,6752,4994,0,1758,1.02,0.95,0.75,1,0.32,1,4,Italy
IEM_Health-CovidProject,inc case,1,IT,10770,4747,0,6023,1.63,1.98,0.25,1,0.58,1,4,Italy
ILM-EKF,inc case,1,IT,9550,6866,20,2664,1.44,1.38,1,1,0.3,1,4,Italy
LANL-GrowthRate,inc case,1,IT,6003,4261,1715,27,0.91,0.84,0.75,1,-0.28,1,4,Italy
UNIPV-BayesINGARCHX,inc case,1,IT,9739,1761,0,7978,1.47,1.07,0.25,0.25,0.8,1,4,Italy
USC-SIkJalpha,inc case,1,IT,10209,9395,219,596,1.54,0.61,1,1,0.05,1,4,Italy
epiforecasts-EpiExpert,inc case,1,IT,9501,3353,0,6148,1.43,1.72,0.25,0.75,0.7,1,4,Italy
epiforecasts-EpiNow2,inc case,1,IT,7014,4053,1023,1937,1.06,1.28,0.5,1,0.15,1,4,Italy
EuroCOVIDhub-baseline,inc death,1,IT,167,58,109,0,1,1,0.25,1,-0.65,1,4,Italy
EuroCOVIDhub-ensemble,inc death,1,IT,116,84,21,10,0.69,0.68,1,1,-0.07,1,4,Italy
IEM_Health-CovidProject,inc death,1,IT,222,104,112,7,1.33,1.37,0.5,1,-0.37,1,4,Italy
ILM-EKF,inc death,1,IT,144,138,2,4,0.86,0.26,1,1,0.05,1,4,Italy
LANL-GrowthRate,inc death,1,IT,126,30,94,2,0.76,0.76,0.25,0.75,-0.55,1,4,Italy
RobertWalraven-ESG,inc death,1,IT,191,39,153,0,1.14,1.05,0.5,0.5,-0.7,1,4,Italy
USC-SIkJalpha,inc death,1,IT,190,158,32,0,1.13,0.62,0.75,1,-0.25,1,4,Italy
epiforecasts-EpiExpert,inc death,1,IT,418,59,7,352,2.5,2.09,0.75,0.75,0.32,1,4,Italy
epiforecasts-EpiNow2,inc death,1,IT,52,39,1,12,0.31,0.28,1,1,0.23,1,4,Italy
EuroCOVIDhub-baseline,inc case,1,LI,6,2,2,2,1,1,0,1,-0.02,1,4,Liechtenstein
EuroCOVIDhub-ensemble,inc case,1,LI,4,3,1,0,0.71,0.7,1,1,-0.28,1,4,Liechtenstein
IEM_Health-CovidProject,inc case,1,LI,4,3,1,0,0.66,0.7,1,1,-0.32,1,4,Liechtenstein
ILM-EKF,inc case,1,LI,8,3,5,0,1.39,1.7,0.5,1,-0.58,1,4,Liechtenstein
LANL-GrowthRate,inc case,1,LI,3,2,1,0,0.47,0.52,0.75,1,-0.4,1,4,Liechtenstein
USC-SIkJalpha,inc case,1,LI,8,4,3,1,1.39,0.7,0.25,0.5,-0.1,1,4,Liechtenstein
epiforecasts-EpiNow2,inc case,1,LI,4,3,0,1,0.75,0.7,0.75,1,0.15,1,4,Liechtenstein
EuroCOVIDhub-baseline,inc death,1,LI,0,0,0,0,1,1,0.5,1,0,1,4,Liechtenstein
EuroCOVIDhub-ensemble,inc death,1,LI,1,0,0,0,1.44,1,0.75,1,-0.12,1,4,Liechtenstein
IEM_Health-CovidProject,inc death,1,LI,1,1,0,0,4.14,3,0.25,0.75,0.07,1,4,Liechtenstein
ILM-EKF,inc death,1,LI,1,0,0,0,1.96,0.5,0.75,1,-0.24,1,4,Liechtenstein
LANL-GrowthRate,inc death,1,LI,0,0,0,0,0.74,1,1,1,-0.1,1,4,Liechtenstein
RobertWalraven-ESG,inc death,1,LI,0,0,0,0,0.9,1.5,1,1,-0.03,1,4,Liechtenstein
USC-SIkJalpha,inc death,1,LI,1,0,0,0,2.19,1.5,0.25,0.25,-0.25,1,4,Liechtenstein
epiforecasts-EpiNow2,inc death,1,LI,0,0,0,0,0.86,1,1,1,-0.12,1,4,Liechtenstein
EuroCOVIDhub-baseline,inc case,1,LT,610,90,316,204,1,1,0,1,-0.35,1,4,Lithuania
EuroCOVIDhub-ensemble,inc case,1,LT,470,217,240,13,0.77,0.81,0.5,1,-0.38,1,4,Lithuania
IEM_Health-CovidProject,inc case,1,LT,555,262,294,0,0.91,0.96,0.5,1,-0.48,1,4,Lithuania
ILM-EKF,inc case,1,LT,589,202,297,90,0.97,1.15,0.25,1,-0.32,1,4,Lithuania
LANL-GrowthRate,inc case,1,LT,775,235,540,0,1.27,1.55,0.25,1,-0.72,1,4,Lithuania
USC-SIkJalpha,inc case,1,LT,459,276,175,9,0.75,0.57,0.5,1,-0.35,1,4,Lithuania
epiforecasts-EpiNow2,inc case,1,LT,606,194,317,94,0.99,1.09,0.25,0.75,-0.17,1,4,Lithuania
EuroCOVIDhub-baseline,inc death,1,LT,7,2,1,4,1,1,0.25,1,0.23,1,4,Lithuania
EuroCOVIDhub-ensemble,inc death,1,LT,6,4,1,1,0.94,0.95,0.75,1,0.1,1,4,Lithuania
IEM_Health-CovidProject,inc death,1,LT,8,6,2,0,1.1,0.97,0.75,1,-0.15,1,4,Lithuania
ILM-EKF,inc death,1,LT,12,11,0,1,1.79,0.87,1,1,-0.03,1,4,Lithuania
LANL-GrowthRate,inc death,1,LT,7,2,2,3,1.05,1.08,0.25,0.75,-0.2,1,4,Lithuania
RobertWalraven-ESG,inc death,1,LT,5,3,2,1,0.71,0.82,0.5,1,-0.12,1,4,Lithuania
USC-SIkJalpha,inc death,1,LT,6,3,0,4,0.93,0.92,0.5,0.75,0.42,1,4,Lithuania
epiforecasts-EpiNow2,inc death,1,LT,7,3,0,4,1.05,1.18,0.5,1,0.3,1,4,Lithuania
EuroCOVIDhub-baseline,inc case,1,LU,86,45,41,0,1,1,0.5,1,-0.48,1,4,Luxembourg
EuroCOVIDhub-ensemble,inc case,1,LU,110,87,23,0,1.27,1.16,1,1,-0.28,1,4,Luxembourg
IEM_Health-CovidProject,inc case,1,LU,167,107,60,0,1.94,2.11,0.75,1,-0.4,1,4,Luxembourg
ILM-EKF,inc case,1,LU,110,101,5,4,1.27,0.73,1,1,-0.05,1,4,Luxembourg
LANL-GrowthRate,inc case,1,LU,219,97,122,0,2.54,3.56,0.25,1,-0.6,1,4,Luxembourg
USC-SIkJalpha,inc case,1,LU,164,73,91,0,1.9,2.32,0.5,0.75,-0.55,1,4,Luxembourg
epiforecasts-EpiNow2,inc case,1,LU,162,91,1,70,1.88,1.94,0.75,1,0.3,1,4,Luxembourg
EuroCOVIDhub-baseline,inc death,1,LU,7,1,3,3,1,1,0,1,0.05,1,4,Luxembourg
EuroCOVIDhub-ensemble,inc death,1,LU,8,2,3,2,1.17,1.33,0,1,-0,1,4,Luxembourg
IEM_Health-CovidProject,inc death,1,LU,11,4,4,3,1.64,1.97,0,1,-0.02,1,4,Luxembourg
ILM-EKF,inc death,1,LU,9,5,2,2,1.37,1.41,0.5,1,0.05,1,4,Luxembourg
LANL-GrowthRate,inc death,1,LU,8,1,5,2,1.13,1.05,0.25,0.75,-0.28,1,4,Luxembourg
RobertWalraven-ESG,inc death,1,LU,9,1,5,3,1.34,1.18,0,0.25,-0.08,1,4,Luxembourg
USC-SIkJalpha,inc death,1,LU,12,1,7,4,1.8,1.49,0,0,0,1,4,Luxembourg
epiforecasts-EpiNow2,inc death,1,LU,7,2,2,3,1.11,1.23,0.25,0.75,-0.08,1,4,Luxembourg
EuroCOVIDhub-baseline,inc case,1,LV,249,29,24,195,1,1,0,1,0.44,1,4,Latvia
EuroCOVIDhub-ensemble,inc case,1,LV,234,168,31,34,0.94,0.97,1,1,-0.02,1,4,Latvia
IEM_Health-CovidProject,inc case,1,LV,349,319,25,5,1.4,0.72,1,1,-0.08,1,4,Latvia
ILM-EKF,inc case,1,LV,256,187,27,42,1.03,0.97,1,1,-0.02,1,4,Latvia
LANL-GrowthRate,inc case,1,LV,386,254,131,1,1.55,1.35,0.5,1,-0.3,1,4,Latvia
USC-SIkJalpha,inc case,1,LV,359,128,10,221,1.44,1.29,0.75,0.75,0.3,1,4,Latvia
epiforecasts-EpiNow2,inc case,1,LV,199,87,37,75,0.8,0.96,0.5,1,0.05,1,4,Latvia
EuroCOVIDhub-baseline,inc death,1,LV,4,1,0,3,1,1,0.25,1,0.6,1,4,Latvia
EuroCOVIDhub-ensemble,inc death,1,LV,4,4,0,0,1.05,0.59,1,1,0,1,4,Latvia
IEM_Health-CovidProject,inc death,1,LV,7,6,1,0,1.83,1.41,1,1,-0.18,1,4,Latvia
ILM-EKF,inc death,1,LV,10,10,0,0,2.53,1.09,1,1,0.02,1,4,Latvia
LANL-GrowthRate,inc death,1,LV,3,2,1,1,0.83,1.05,0.75,1,0.02,1,4,Latvia
RobertWalraven-ESG,inc death,1,LV,4,2,2,0,0.97,1.09,0.5,1,-0.43,1,4,Latvia
USC-SIkJalpha,inc death,1,LV,4,3,0,1,0.86,0.77,0.75,1,0.22,1,4,Latvia
epiforecasts-EpiNow2,inc death,1,LV,4,3,0,1,0.95,0.95,1,1,0.32,1,4,Latvia
EuroCOVIDhub-baseline,inc case,1,MT,340,18,5,317,1,1,0,0.25,0.59,1,4,Malta
EuroCOVIDhub-ensemble,inc case,1,MT,326,104,0,222,0.96,1.15,0.25,0.75,0.75,1,4,Malta
IEM_Health-CovidProject,inc case,1,MT,482,85,1,396,1.42,1.55,0.25,0.5,0.71,1,4,Malta
ILM-EKF,inc case,1,MT,625,122,15,487,1.84,2.03,0.25,0.5,0.6,1,4,Malta
LANL-GrowthRate,inc case,1,MT,219,62,2,154,0.64,0.73,0.5,0.75,0.4,1,4,Malta
USC-SIkJalpha,inc case,1,MT,331,238,8,85,0.97,1.03,0.75,1,0.23,1,4,Malta
epiforecasts-EpiNow2,inc case,1,MT,312,76,0,236,0.92,1.12,0.25,0.5,0.74,1,4,Malta
EuroCOVIDhub-baseline,inc death,1,MT,2,0,1,1,1,1,0,1,0.28,1,4,Malta
EuroCOVIDhub-ensemble,inc death,1,MT,3,2,0,1,1.36,1.14,1,1,0.18,1,4,Malta
IEM_Health-CovidProject,inc death,1,MT,4,3,1,0,2,1.57,0.75,1,-0.15,1,4,Malta
ILM-EKF,inc death,1,MT,6,5,1,1,2.82,2,1,1,0.1,1,4,Malta
LANL-GrowthRate,inc death,1,MT,2,1,0,1,0.77,0.71,0.75,1,0.15,1,4,Malta
RobertWalraven-ESG,inc death,1,MT,3,0,1,2,1.33,1.14,0.25,0.75,0.25,1,4,Malta
USC-SIkJalpha,inc death,1,MT,4,2,0,2,1.86,1.64,0.5,0.75,0.25,1,4,Malta
epiforecasts-EpiNow2,inc death,1,MT,3,2,0,1,1.17,0.93,0.75,1,0.27,1,4,Malta
EuroCOVIDhub-baseline,inc case,1,NL,3245,678,2564,3,1,1,0.25,1,-0.6,1,4,Netherlands
EuroCOVIDhub-ensemble,inc case,1,NL,2369,1352,207,810,0.73,0.8,0.75,1,0.05,1,4,Netherlands
IEM_Health-CovidProject,inc case,1,NL,3057,1247,70,1740,0.94,0.96,0.5,1,0.32,1,4,Netherlands
ILM-EKF,inc case,1,NL,2799,1707,353,739,0.86,0.81,0.75,1,0.02,1,4,Netherlands
LANL-GrowthRate,inc case,1,NL,3241,918,1779,544,1,1.18,0,1,-0.4,1,4,Netherlands
USC-SIkJalpha,inc case,1,NL,4208,2142,1806,260,1.3,0.91,0.5,0.75,-0.38,1,4,Netherlands
epiforecasts-EpiExpert,inc case,1,NL,1715,781,544,390,0.53,0.6,0.25,1,-0.17,1,4,Netherlands
epiforecasts-EpiNow2,inc case,1,NL,2528,1087,582,858,0.78,0.86,0.5,1,0.05,1,4,Netherlands
EuroCOVIDhub-baseline,inc death,1,NL,20,12,0,8,1,1,0.75,1,0.5,1,4,Netherlands
EuroCOVIDhub-ensemble,inc death,1,NL,26,14,0,11,1.31,1.56,0.75,1,0.52,1,4,Netherlands
IEM_Health-CovidProject,inc death,1,NL,25,21,4,0,1.26,0.93,1,1,-0.2,1,4,Netherlands
ILM-EKF,inc death,1,NL,40,29,0,11,1.99,2.01,0.75,1,0.4,1,4,Netherlands
LANL-GrowthRate,inc death,1,NL,10,7,0,3,0.51,0.52,1,1,0.15,1,4,Netherlands
RobertWalraven-ESG,inc death,1,NL,8,6,1,0,0.38,0.34,1,1,-0.1,1,4,Netherlands
USC-SIkJalpha,inc death,1,NL,45,21,0,24,2.25,2.74,0.5,0.75,0.58,1,4,Netherlands
epiforecasts-EpiExpert,inc death,1,NL,17,4,1,12,0.83,1.01,0.25,0.75,0.61,1,4,Netherlands
epiforecasts-EpiNow2,inc death,1,NL,81,13,0,68,4.1,4.61,0,0.25,0.98,1,4,Netherlands
EuroCOVIDhub-baseline,inc case,1,NO,681,56,507,118,1,1,0,0.5,-0.09,1,4,Norway
EuroCOVIDhub-ensemble,inc case,1,NO,688,359,83,246,1.01,1.15,0.25,1,0.2,1,4,Norway
IEM_Health-CovidProject,inc case,1,NO,998,311,303,385,1.47,1.63,0.25,0.75,0.13,1,4,Norway
ILM-EKF,inc case,1,NO,1396,311,318,768,2.05,2.3,0.25,0.75,0.15,1,4,Norway
LANL-GrowthRate,inc case,1,NO,754,290,19,444,1.11,1.32,0.5,1,0.44,1,4,Norway
USC-SIkJalpha,inc case,1,NO,1002,766,137,100,1.47,1.38,0.75,1,-0.08,1,4,Norway
epiforecasts-EpiNow2,inc case,1,NO,741,285,70,386,1.09,1.26,0.25,1,0.32,1,4,Norway
EuroCOVIDhub-baseline,inc death,1,NO,2,1,1,0,1,1,0.75,1,-0.12,1,4,Norway
EuroCOVIDhub-ensemble,inc death,1,NO,2,2,0,0,0.95,0.67,1,1,0.08,1,4,Norway
IEM_Health-CovidProject,inc death,1,NO,3,2,1,0,1.26,1.47,0.75,1,-0.38,1,4,Norway
ILM-EKF,inc death,1,NO,5,4,0,1,2.05,1.13,0.75,1,0.2,1,4,Norway
LANL-GrowthRate,inc death,1,NO,3,2,1,0,1.16,0.93,0.75,1,-0.07,1,4,Norway
RobertWalraven-ESG,inc death,1,NO,4,1,2,0,1.59,1.2,0.75,0.75,-0.15,1,4,Norway
USC-SIkJalpha,inc death,1,NO,3,1,2,0,1.28,1.47,0.5,0.75,-0.3,1,4,Norway
epiforecasts-EpiNow2,inc death,1,NO,4,2,0,1,1.43,1.53,0.75,1,0.3,1,4,Norway
EuroCOVIDhub-baseline,inc case,1,Overall,3568,495,2323,750,1,1,0.17,0.87,-0.16,32,127,Overall
EuroCOVIDhub-ensemble,inc case,1,Overall,2926,1544,790,593,0.82,0.9,0.66,0.98,-0.01,32,127,Overall
IEM_Health-CovidProject,inc case,1,Overall,4191,1972,1095,1124,1.16,1.33,0.51,0.93,-0.04,32,127,Overall
ILM-EKF,inc case,1,Overall,4037,1300,1277,1460,1.13,1.2,0.53,0.91,0.02,32,127,Overall
LANL-GrowthRate,inc case,1,Overall,3362,1816,1299,248,0.95,1.09,0.58,0.94,-0.25,32,127,Overall
USC-SIkJalpha,inc case,1,Overall,4658,2240,2012,407,1.3,1.13,0.54,0.8,-0.18,32,127,Overall
epiforecasts-EpiExpert,inc case,1,Overall,3493,871,1177,1445,0.83,0.93,0.31,0.8,0.09,32,87,Overall
epiforecasts-EpiNow2,inc case,1,Overall,3402,1511,876,1015,0.93,1.11,0.5,0.94,0.16,32,127,Overall
DSMPG-bayes,inc case,1,Overall,5073,1509,661,2902,1.15,1.27,0.39,0.85,0.42,25,66,Overall
EuroCOVIDhub-baseline,inc death,1,Overall,78,14,34,30,1,1,0.3,0.95,-0.05,32,128,Overall
EuroCOVIDhub-ensemble,inc death,1,Overall,54,26,14,14,0.69,0.67,0.74,0.99,0.06,32,128,Overall
IEM_Health-CovidProject,inc death,1,Overall,73,38,27,8,0.95,0.97,0.67,0.98,-0.2,32,128,Overall
ILM-EKF,inc death,1,Overall,86,41,14,31,1.08,0.93,0.85,0.98,0.12,32,128,Overall
LANL-GrowthRate,inc death,1,Overall,48,10,27,11,0.61,0.6,0.41,0.91,-0.09,32,128,Overall
RobertWalraven-ESG,inc death,1,Overall,65,15,40,10,0.84,0.82,0.41,0.77,-0.26,32,128,Overall
USC-SIkJalpha,inc death,1,Overall,79,36,19,24,1.01,0.8,0.56,0.8,0.05,32,128,Overall
epiforecasts-EpiExpert,inc death,1,Overall,92,15,27,50,1.03,0.94,0.32,0.7,0.1,32,88,Overall
epiforecasts-EpiNow2,inc death,1,Overall,81,21,8,52,1.05,1.06,0.43,0.84,0.39,32,128,Overall
EuroCOVIDhub-baseline,inc case,1,PL,20687,883,19804,0,1,1,0,0.75,-0.92,1,4,Poland
EuroCOVIDhub-ensemble,inc case,1,PL,11052,6868,2044,2141,0.53,0.59,0.75,1,-0.13,1,4,Poland
ICM-agentModel,inc case,1,PL,29940,21391,8549,0,1.45,1.53,0.75,1,-0.38,1,4,Poland
IEM_Health-CovidProject,inc case,1,PL,14675,6953,1090,6632,0.71,0.8,0.5,1,0.12,1,4,Poland
ILM-EKF,inc case,1,PL,11633,5120,413,6100,0.56,0.66,0.75,1,0.3,1,4,Poland
ITWW-county_repro,inc case,1,PL,34941,1408,0,33533,1.69,1.45,0,0,1,1,4,Poland
LANL-GrowthRate,inc case,1,PL,11751,6468,3361,1922,0.57,0.73,0.5,1,-0.2,1,4,Poland
MIMUW-StochSEIR,inc case,1,PL,9566,1438,7985,143,0.46,0.51,0.25,0.25,-0.62,1,4,Poland
MOCOS-agent1,inc case,1,PL,8514,6656,1742,116,0.41,0.31,1,1,-0.25,1,4,Poland
USC-SIkJalpha,inc case,1,PL,19379,9865,9217,298,0.94,0.85,0.5,0.75,-0.45,1,4,Poland
epiforecasts-EpiExpert,inc case,1,PL,8854,2785,4038,2032,0.43,0.52,0.25,1,-0.2,1,4,Poland
epiforecasts-EpiNow2,inc case,1,PL,10104,4254,0,5849,0.49,0.54,0.5,1,0.49,1,4,Poland
EuroCOVIDhub-baseline,inc death,1,PL,259,20,238,0,1,1,0,0.75,-0.88,1,4,Poland
EuroCOVIDhub-ensemble,inc death,1,PL,149,118,27,4,0.58,0.44,0.75,1,-0.15,1,4,Poland
ICM-agentModel,inc death,1,PL,551,473,38,40,2.13,1.86,1,1,-0.08,1,4,Poland
IEM_Health-CovidProject,inc death,1,PL,328,213,115,0,1.27,1.35,0.75,1,-0.4,1,4,Poland
ILM-EKF,inc death,1,PL,165,132,0,33,0.64,0.52,1,1,0.3,1,4,Poland
ITWW-county_repro,inc death,1,PL,407,13,0,394,1.57,1.22,0,0,1,1,4,Poland
LANL-GrowthRate,inc death,1,PL,135,36,99,0,0.52,0.61,0,0.75,-0.8,1,4,Poland
MIMUW-StochSEIR,inc death,1,PL,153,5,149,0,0.59,0.46,0,0.25,-0.98,1,4,Poland
MIT_CovidAnalytics-DELPHI,inc death,1,PL,358,86,273,0,1.39,1.57,0,0.75,-0.84,1,4,Poland
MOCOS-agent1,inc death,1,PL,132,95,37,1,0.51,0.34,0.75,1,-0.2,1,4,Poland
RobertWalraven-ESG,inc death,1,PL,232,34,199,0,0.9,0.91,0,0.5,-0.94,1,4,Poland
USC-SIkJalpha,inc death,1,PL,174,161,2,11,0.67,0.24,1,1,0.07,1,4,Poland
epiforecasts-EpiExpert,inc death,1,PL,148,52,96,0,0.57,0.56,0.5,1,-0.54,1,4,Poland
epiforecasts-EpiNow2,inc death,1,PL,295,54,0,240,1.14,1.2,0.25,0.75,0.82,1,4,Poland
EuroCOVIDhub-baseline,inc case,1,PT,655,409,6,239,1,1,0.5,1,0.32,1,4,Portugal
EuroCOVIDhub-ensemble,inc case,1,PT,325,225,91,9,0.5,0.57,0.75,1,-0.25,1,4,Portugal
IEM_Health-CovidProject,inc case,1,PT,657,371,241,46,1,1.55,0.25,1,-0.4,1,4,Portugal
ILM-EKF,inc case,1,PT,433,188,246,0,0.66,1.07,0.5,1,-0.55,1,4,Portugal
LANL-GrowthRate,inc case,1,PT,456,238,218,0,0.7,1.13,0.75,1,-0.52,1,4,Portugal
USC-SIkJalpha,inc case,1,PT,467,245,26,197,0.71,0.79,0.25,0.75,0.2,1,4,Portugal
epiforecasts-EpiNow2,inc case,1,PT,395,191,87,117,0.6,0.86,0.5,1,-0.02,1,4,Portugal
EuroCOVIDhub-baseline,inc death,1,PT,32,10,0,22,1,1,0.25,1,0.65,1,4,Portugal
EuroCOVIDhub-ensemble,inc death,1,PT,6,6,0,0,0.18,0.05,1,1,0.02,1,4,Portugal
IEM_Health-CovidProject,inc death,1,PT,13,5,2,5,0.4,0.47,0.75,1,-0.1,1,4,Portugal
ILM-EKF,inc death,1,PT,15,12,3,0,0.46,0.27,1,1,-0.08,1,4,Portugal
LANL-GrowthRate,inc death,1,PT,10,3,7,1,0.31,0.36,0.5,1,-0.22,1,4,Portugal
RobertWalraven-ESG,inc death,1,PT,12,7,5,0,0.39,0.42,0.5,1,-0.5,1,4,Portugal
USC-SIkJalpha,inc death,1,PT,11,5,0,5,0.34,0.32,0.25,0.75,0.6,1,4,Portugal
epiforecasts-EpiNow2,inc death,1,PT,7,4,0,3,0.21,0.18,0.5,1,0.45,1,4,Portugal
EuroCOVIDhub-baseline,inc case,1,RO,2518,359,2025,133,1,1,0,1,-0.44,1,4,Romania
EuroCOVIDhub-ensemble,inc case,1,RO,1923,1413,70,440,0.76,0.69,1,1,0.15,1,4,Romania
IEM_Health-CovidProject,inc case,1,RO,2377,1526,140,711,0.94,0.99,0.75,1,0.15,1,4,Romania
ILM-EKF,inc case,1,RO,2420,1327,66,1027,0.96,1,0.5,1,0.28,1,4,Romania
LANL-GrowthRate,inc case,1,RO,1637,1216,387,35,0.65,0.56,1,1,-0.2,1,4,Romania
USC-SIkJalpha,inc case,1,RO,2762,2285,353,124,1.1,0.73,1,1,-0.05,1,4,Romania
epiforecasts-EpiNow2,inc case,1,RO,2051,1098,0,953,0.81,0.92,0.5,1,0.5,1,4,Romania
EuroCOVIDhub-baseline,inc death,1,RO,72,8,64,0,1,1,0.25,0.75,-0.82,1,4,Romania
EuroCOVIDhub-ensemble,inc death,1,RO,35,25,10,0,0.5,0.43,0.75,1,-0.35,1,4,Romania
IEM_Health-CovidProject,inc death,1,RO,59,37,22,0,0.83,0.88,1,1,-0.35,1,4,Romania
ILM-EKF,inc death,1,RO,60,59,1,1,0.84,0.2,1,1,-0,1,4,Romania
LANL-GrowthRate,inc death,1,RO,29,13,11,5,0.4,0.48,0.25,1,-0.1,1,4,Romania
RobertWalraven-ESG,inc death,1,RO,63,9,53,0,0.88,0.91,0,0.25,-0.95,1,4,Romania
USC-SIkJalpha,inc death,1,RO,66,25,41,0,0.92,0.79,0.5,0.75,-0.55,1,4,Romania
epiforecasts-EpiNow2,inc death,1,RO,26,16,0,9,0.36,0.3,0.75,1,0.22,1,4,Romania
EuroCOVIDhub-baseline,inc case,1,SE,1898,369,1198,331,1,1,0.25,1,-0.2,1,4,Sweden
EuroCOVIDhub-ensemble,inc case,1,SE,2628,2199,338,91,1.38,1.03,1,1,-0.13,1,4,Sweden
